milliseconds,f
0,0.0
100,2.790018462307026e-07
200,5.58007354357532e-07
300,8.370165130224471e-07
400,1.116029337689326e-06
500,1.3950458172795838e-06
600,1.6740659517932208e-06
700,1.953089748918148e-06
800,2.2321172106870887e-06
900,2.5111483309356616e-06
1000,2.790183109663866e-06
1100,3.069221546871702e-06
1200,3.348263642559171e-06
1300,3.6273093967262712e-06
1400,3.906358809373002e-06
1500,4.185411890852217e-06
1600,4.464468635138307e-06
1700,4.7435290394580885e-06
1800,5.022593103811562e-06
1900,5.301660828198725e-06
2000,5.580732212619581e-06
2100,5.859807257074129e-06
2200,6.138885961562368e-06
2300,6.417968326084299e-06
2400,6.697054350639921e-06
2500,6.976144035229235e-06
2600,7.2552373798522386e-06
2700,7.534334384508936e-06
2800,7.813435049199324e-06
2900,8.092539373923404e-06
3000,8.371647358681175e-06
3100,8.650759013055839e-06
3200,8.929874340437337e-06
3300,9.208993329131764e-06
3400,9.48811597913912e-06
3500,9.767242290459404e-06
3600,1.0046372263092614e-05
3700,1.0325505897038755e-05
3800,1.0604643192297825e-05
3900,1.0883784148869827e-05
4000,1.1162928766754754e-05
4100,1.1442077045952609e-05
4200,1.1721228986463395e-05
4300,1.2000384588287109e-05
4400,1.227954385142375e-05
4500,1.2558706775873322e-05
4600,1.2837873361635822e-05
4700,1.3117043608711253e-05
4800,1.3396217517099608e-05
4900,1.3675395086800896e-05
5000,1.3954576317815111e-05
