milliseconds,FeIII,FeII,FeII_O2,FeIII_star,FeII_star,FeII_star_O2,FeIII_NO,FeII_NO,FeIII_t
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,0.7714138839237037,0.016251073679094993,0.07708707289595809,0.12336940606787178,0.0022679497599487927,0.005830187655682785,0.003584655393591587,0.00019577043681009705,0.8947832899915755
200,0.6011102236330361,0.012644380520933304,0.06698267975828287,0.2626920570969296,0.005238525386835259,0.02031725724873497,0.02726913433895229,0.003745741832598869,0.8638022807299657
300,0.4833972917096774,0.010135694816536412,0.053535310855375315,0.33916677116582833,0.006909303146306912,0.030612422913999928,0.06117483162744997,0.015068373581135235,0.8225640628755058
400,0.40706645812458914,0.008501965155735735,0.04410323567226474,0.3720660906225561,0.007644871079269206,0.03580047796952774,0.09030599054939092,0.03451091064299201,0.7791325487471452
500,0.35921358342036935,0.007476075418129294,0.03805574880000589,0.38010189801984684,0.007841473245908389,0.03769576036291663,0.10973720788336104,0.05987825266591088,0.7393154814402162
600,0.32918214110556143,0.0068331630053877985,0.034263190585897364,0.37534312401428893,0.007758328557806094,0.03778034718774243,0.12024407071472212,0.08859563464513932,0.7045252651198504
700,0.3095482038841735,0.006414848012777312,0.03183996755451827,0.36476500423190794,0.007546358142145236,0.03697555772843094,0.12429795795420784,0.1186121023084202,0.6743132081160814
800,0.2956660305672331,0.0061212595558067144,0.030197578737523573,0.35208006854630125,0.00728643809877698,0.035796843444641104,0.12429061824859114,0.14856116261778554,0.6477460991135344
900,0.2848555639960002,0.005894422171891472,0.028980689615742346,0.3390975898004958,0.007018303038200656,0.03450915885336888,0.1220021716325936,0.17764210070835704,0.623953153796496
1000,0.2756777506755064,0.005703022656757244,0.027990437181023533,0.326599048111729,0.00675932710514896,0.03323586651477006,0.11859014102275436,0.20544440654890161,0.6022767987872354
1100,0.26741294581005437,0.005531306344590011,0.02712310260272157,0.31485519871135204,0.006515691697808825,0.03202644854381442,0.11473708893697081,0.2317982171692058,0.5822681445214064
1200,0.25972793972162156,0.005371928533092241,0.02632835572858192,0.3039073115925991,0.006288499124059387,0.03089504813265158,0.11081198441638548,0.25666893256747614,0.5636352513142207
1300,0.25248140492354226,0.005221749684730484,0.02558364832178684,0.29370875492237036,0.006076871884625975,0.029840802126199856,0.10699564344441499,0.28009112450877793,0.5461901598459127
1400,0.24561850898582652,0.00507954322701748,0.024879715656537252,0.28418982620346206,0.005879384841362259,0.028857712880153714,0.10336483855760438,0.30213046946449285,0.5298083351892886
1500,0.23911814295248837,0.004944839623639162,0.02421296438650492,0.27528350583941635,0.00569464281963891,0.027938944666610243,0.09994347055803009,0.3228634889701257,0.5144016487919048
