miliseconds,S,ES
0,0.0352056559867783,0.03413608061025059
100,0.09186442272913385,-0.12941977624686402
200,0.19967555937518375,-0.16398849302198615
300,0.3099502676171841,-0.23345884618647872
400,0.4473111761018393,-0.3491732333884625
500,0.42818607320400315,-0.49506587461188795
600,0.6147721916510804,-0.6298481277112996
700,0.639160923545229,-0.6371417637691823
800,0.794540398488254,-0.7830025912261349
900,0.9511238678735436,-0.8219115865370366
1000,1.0319725407528755,-1.0356543602271056
1100,1.1303725718790332,-1.0802049375916043
1200,1.2348730893400828,-1.1328023949202146
1300,1.326034625623071,-1.3250624647454472
1400,1.357585156297979,-1.4447735278755498
1500,1.498270050021426,-1.4662969769851357
1600,1.6207386698011832,-1.5037631329619765
1700,1.682699465940514,-1.6079293760555737
1800,1.7900642114827843,-1.7422437940469957
1900,1.8363101231589676,-1.9026396677215875
2000,1.9800790371910728,-2.0094115874411713
2100,2.0332588725176377,-1.9833097978174228
2200,2.1895707986540507,-2.1342795513442496
2300,2.246012466950445,-2.1903696105973194
2400,2.3382557205884966,-2.2716754825695835
2500,2.3906112184168213,-2.4136458061484123
2600,2.546839644613409,-2.502560546861346
2700,2.5892132099579683,-2.6176442555106565
2800,2.769216630219346,-2.6791499596800668
2900,2.79258307141784,-2.832499224820335
3000,2.836841881202419,-2.839617921864952
3100,3.0005252303025713,-3.0471510276678133
3200,3.0235291395209414,-3.0196714794138106
3300,3.2269942469891872,-3.2060668818261226
3400,3.258183436883705,-3.2453178135953236
3500,3.3421370860190907,-3.329184481854172
3600,3.374942407780143,-3.394445791746853
3700,3.5109243184070005,-3.5690397689155904
3800,3.6000770140141087,-3.5647869485233974
3900,3.7485458219216743,-3.7093734576791038
4000,3.8189263189699725,-3.8220328215441595
4100,3.886124237245696,-3.919555367346066
4200,3.928878347881754,-4.017581850095583
4300,4.018423561936774,-4.127151428243374
4400,4.139686550164263,-4.1925619845574875
4500,4.210704460502743,-4.226636407573739
4600,4.319392101652294,-4.345932321571394
4700,4.406117303291007,-4.369964274513618
4800,4.481007549594281,-4.5925966010558605
4900,4.677790958311,-4.614376250934292
5000,4.68999636832591,-4.6319750364555095
