miliseconds,S,ES
0,-0.040954446606762465,0.056826908082768385
100,0.053055357998095284,-0.15432647197138258
200,0.24536752095170916,-0.17023757859394803
300,0.28199122478641303,-0.2385753640078594
400,0.4249553366814579,-0.34952341986711066
500,0.43896322161442514,-0.5253010537699586
600,0.5565618916212711,-0.6339371946562637
700,0.7182286818836318,-0.7393584462889699
800,0.7316968023217953,-0.7807223595813922
900,0.8448028342044838,-0.8910482366247352
1000,1.0213188400994502,-0.9967796757336083
1100,1.041721773074966,-1.0386851696442538
1200,1.1368847999214706,-1.1487617685343476
1300,1.2592906204725556,-1.245207246635174
1400,1.3822746752786768,-1.3406549603839029
1500,1.4627999007977537,-1.4787220250968782
1600,1.508871104289832,-1.612742017116201
1700,1.6048160071692228,-1.723634839391807
1800,1.7596398290135196,-1.734009955183287
1900,1.8260014239971392,-1.8698949640555627
2000,1.9693074906757317,-1.9764195092281083
2100,2.029742337703809,-1.998928750345282
2200,2.1695139085193667,-2.1243431428693786
2300,2.281600763343779,-2.166897884425867
2400,2.3978041450324796,-2.2714335591623827
2500,2.3558702927887545,-2.3796690227694928
2600,2.5534561143446712,-2.5357852001571355
2700,2.645520528119883,-2.597192756418516
2800,2.7613904447096953,-2.7618698749533297
2900,2.7376299381721347,-2.860679889512503
3000,2.860516693633916,-2.8462026864539056
3100,3.0256536151255093,-2.964902775718835
3200,3.0640755709535306,-3.1142137833729175
3300,3.2182579602699506,-3.204484078179545
3400,3.22090782379558,-3.321786774380338
3500,3.354673713128525,-3.3581104756740134
3600,3.374703203730477,-3.4049461322334413
3700,3.5503560005779486,-3.542426966754384
3800,3.5986350933549742,-3.65076429127638
3900,3.655768152798459,-3.668619492308625
4000,3.7612021191214184,-3.8112306201206554
4100,3.957824851993142,-3.9124881199981334
4200,3.996776430123875,-3.95416750867042
4300,4.047907870753545,-4.0200061177503645
4400,4.230987703734907,-4.2036562527870185
4500,4.226276714254685,-4.229634818178719
4600,4.292409927263555,-4.377621522818305
4700,4.4460368671642305,-4.465752685924999
4800,4.482490036412384,-4.578059000049962
4900,4.678199762664612,-4.562468729923623
5000,4.658740111336684,-4.675194350778563
