milliseconds,S,ES
0,0.05395870928938564,0.0659655146613566
100,0.09556565580572232,-0.10229340313772069
200,0.1898597910773806,-0.19828006193889705
300,0.3309294422724074,-0.32228598447800255
400,0.4390324234340003,-0.36717301786051426
500,0.44540569631608634,-0.4791948286952229
600,0.652869468136499,-0.6384900268450008
700,0.7226887146415718,-0.6845562557724539
800,0.7230237985742782,-0.7894214309725924
900,0.9161093414740397,-0.927627058112037
1000,0.9560825729673565,-1.023504960219363
1100,1.136837234950776,-1.1220919748525089
1200,1.2125469372944455,-1.178246001892602
1300,1.2712336419555772,-1.2463549913939547
1400,1.4234985377484264,-1.4396222153060254
1500,1.517208415886184,-1.487677914110973
1600,1.5098543343156603,-1.5819909489780448
1700,1.595145618484566,-1.619481546724169
1800,1.8285753273477698,-1.7005337986571463
1900,1.8987809927807568,-1.9114220423031818
2000,2.0127539512526753,-1.9856674022285972
2100,2.106468961352534,-2.107307649562203
2200,2.075708431531705,-2.1589234905777737
2300,2.1866957502446907,-2.2392879067672333
2400,2.3034377001026347,-2.3644413927507437
2500,2.3694983949426485,-2.393675906554087
2600,2.4860751016523657,-2.5658035343522463
2700,2.6074096319384985,-2.6520527817636204
2800,2.693063330313026,-2.6770485106683446
2900,2.7805663733040102,-2.8040654772541354
3000,2.9249942455989872,-2.890489069378692
3100,3.040501405185145,-3.0355614529604122
3200,3.0783256543820023,-3.0612576983127706
3300,3.172801943094321,-3.177743890112675
3400,3.25240821143748,-3.3210755477832183
3500,3.397042732445317,-3.407026759833122
3600,3.4274959310081834,-3.4549733135543694
3700,3.5631271403724223,-3.488119126443198
3800,3.5967999874485694,-3.651383307492268
3900,3.7800492605666385,-3.669298102291954
4000,3.809646347668146,-3.7662205197388405
4100,3.9572587479950903,-3.8819431192218357
4200,3.9875284021447785,-4.006477718323727
4300,4.0598459701727245,-4.125659715166838
4400,4.149006694322639,-4.226397140421088
4500,4.201174799829075,-4.19042551209399
4600,4.323458612146673,-4.351718673034987
4700,4.407050044433275,-4.455440181373211
4800,4.582186502385821,-4.4583186359708975
4900,4.66864199783775,-4.668561547628313
5000,4.709906341318761,-4.720710873808423
