miliseconds,S,ES
0,0.018019667637960292,-0.0279364062176535
100,0.060978257301539454,-0.13720192524945063
200,0.1973810757032227,-0.24787447235717702
300,0.32654055490411005,-0.3271369290850721
400,0.43822263633931596,-0.4276668659930939
500,0.44063781885587755,-0.4808006362909055
600,0.5715298137066699,-0.6176727737886619
700,0.6926422589772483,-0.7299401094646747
800,0.784984144441298,-0.7497933371700031
900,0.8522872627717829,-0.8613517289626651
1000,0.9323214225587336,-1.0376356030004785
1100,1.13542994164913,-1.150492027364561
1200,1.2331599735066816,-1.2454174060911205
1300,1.3250892632881268,-1.2915679125229254
1400,1.3336107384151168,-1.3218774642977442
1500,1.4981644771716423,-1.5067547932872472
1600,1.5075090200643533,-1.5173871336101572
1700,1.6604787273241335,-1.6663405744035793
1800,1.7764523331403446,-1.7984418474443873
1900,1.8069392386245673,-1.825170930887468
2000,1.9822649568306223,-1.9641914933273843
2100,2.0483900081281097,-2.0577202333642495
2200,2.132545245531373,-2.0941801357670307
2300,2.238729710761609,-2.2183288459727386
2400,2.314596383055936,-2.268660206258328
2500,2.357331263943348,-2.4061810852250525
2600,2.5197388392892486,-2.47204956090361
2700,2.564938711683482,-2.581306702494944
2800,2.7286279947059,-2.6777370839281724
2900,2.818263464167582,-2.8603611617970777
3000,2.9136330706377067,-2.9462104351139775
3100,3.0508717717057525,-2.976955994626793
3200,3.090584944717854,-3.0247263807573472
3300,3.1394748858270907,-3.1105483202682658
3400,3.2508822338515007,-3.260284821422524
3500,3.3552628861487896,-3.4073653327937987
3600,3.4726770830620923,-3.498757926916883
3700,3.542153603610541,-3.5692090578173072
3800,3.694024857684074,-3.5756939825644722
3900,3.7575184204746006,-3.6782298071505477
4000,3.8247134965847684,-3.8215772950908034
4100,3.8795380875897987,-3.9017291032305113
4200,3.95704288545993,-4.002912447710562
4300,4.125003403515858,-4.011334853557232
4400,4.1324176393435295,-4.161586825404921
4500,4.2772316925440235,-4.280038028669279
4600,4.384461629855325,-4.311457901385151
4700,4.383269407625363,-4.46227087125436
4800,4.490540694890759,-4.494483562878571
4900,4.563506456366542,-4.624461900719479
5000,4.719747592332337,-4.757661097295714
