milliseconds,Mrbc
0,2.7505661262120276
100,1.2796757373184169
200,-1.0073996689767188
300,1.1204345206670814
400,0.9521941549998818
500,4.415744583846966
600,5.611185647410541
700,7.435334000933782
800,8.208233586796375
900,8.147275547867082
1000,11.575668362454984
1100,13.069630544617473
1200,17.078829700193722
1300,20.89492301979974
1400,24.39462469250226
1500,26.683356326607253
1600,25.21693668300074
1700,27.253719793514055
1800,28.280359941703768
1900,31.742329762142706
2000,33.7722113165974
2100,36.11872779223611
2200,42.769732773018305
2300,46.819646151570275
2400,47.41669703506218
2500,46.306742525214595
2600,49.37484734520904
2700,55.00437104285004
2800,57.8319617997201
2900,56.478030043569696
3000,63.51333955493274
3100,62.43234829933142
3200,68.0893770334909
3300,66.83577933766067
3400,72.07472804417264
3500,74.5501597888855
3600,75.22042906055535
3700,73.93404760031088
3800,77.11906420289549
3900,81.32763973341774
4000,84.54404621952803
4100,86.67972177424048
4200,84.54356051394082
4300,91.43600189989388
4400,92.11855159626568
4500,91.06585940738364
4600,91.45615138310389
4700,95.20599055795847
4800,96.55499348085594
4900,100.78314372369206
5000,99.40238253459079
