milliseconds,SAM,A,P,S,D,aS,aD,Vmaxodc,Vmaxssat,Vmaxsamdc,Antz
0,-0.016581413032716756,0.0100456901067482,-1.3420292975184347,0.009945754376472151,0.005708106703233045,0.010032601482457972,0.009864736656137994,1.3798468672581623,0.6862440991576313,0.3587473029817605,0.575665929324824
100,0.03702383636566296,0.009976736581697754,0.7858433264517672,0.010009627714259128,0.01749987680725716,0.0018871859979238143,0.009266005381973011,1.8736456823047145,0.6731148766300262,0.5052082323634118,0.5746802190375826
200,0.0874570854209525,0.009811288998648249,-0.56768972334082,0.010023776767938723,0.01958236110085309,0.0004073990839411037,0.008835014884070382,2.1645663972956806,0.643277674707464,0.6752820773681312,0.5708247852290993
300,0.08790082523093266,0.009743820771525198,-0.7333917186241424,0.00999113990777801,0.024182945511600083,0.0001970050615334452,0.008274624525092865,2.841075387638163,0.6421196316812494,0.6746333083448433,0.5721856251219107
400,0.07869662581737359,0.009618603130071736,-0.36826713955589807,0.010094077266299059,0.023857759026009236,5.814148887326844e-05,0.00735493010730014,2.902527195251019,0.6196828968138193,0.7895321054694545,0.5704290266504992
500,0.13913376369364175,0.009448246522963428,2.277763956586429,0.010103770257442751,0.017299722435699414,-8.377079555370589e-05,0.006883746708337432,3.7240782092747367,0.6173787015755907,0.9553582339839596,0.5673347049964086
600,0.16644330574548943,0.009170740025851045,2.281991799181996,0.010036198730330589,0.01638471145608407,0.00013811110659538324,0.006628173507245464,3.698823549700298,0.6044386263498858,1.0579088865431958,0.5690588621684617
700,0.20552379348125477,0.008941617453416694,1.6574669023771973,0.010028694740194015,0.01671108225312904,6.233542395569063e-07,0.006001550398385578,5.004480803672358,0.5893203936629277,1.1640292398428276,0.5666431099822598
800,0.19390909134425985,0.008714387892857174,3.1695342472368804,0.010047401779141455,0.02267910477991116,2.231890257985039e-05,0.005383603161458238,5.583925881372395,0.5763337683788317,1.061432574150166,0.5659509723620959
900,0.21960888044516097,0.00842980995868885,2.3334696359499465,0.010129515116235926,0.02397600302949171,5.758381151940753e-07,0.005345814071978789,5.680040588670692,0.5767225000057234,1.1372887627262296,0.5635240300824474
1000,0.28325869828078604,0.008298453914815167,2.4463737096502856,0.010091566918036431,0.026935138608131192,5.9029546611361283e-05,0.004693666528708406,5.802334879287139,0.5622603887385755,1.3070960151082536,0.5629625391975708
1100,0.26629352104091947,0.00794100386429303,3.825301950562686,0.01012230077214135,0.01983130941786496,-0.00011122405974701978,0.004707139022532307,6.246204352037503,0.5461476538439601,1.304400490458624,0.5630904672664556
1200,0.3243703485552925,0.007646973617992358,5.640538564604075,0.010140253958477745,0.028229897918770328,-8.277730396452034e-05,0.004103617196908143,7.223151333384844,0.5339031226180649,1.5362230016901994,0.5619240977482253
