milliseconds,T,I,VI,VNI
0,984381.4259888452,998952.374797377,10031782.64290071,992821.5513986548
100,597260.7334566234,1000039.7992170935,5620577.699751555,637843.8938524718
200,885319.5180326691,976672.1028539515,3218711.6029470842,442673.43386737007
300,1154345.8730459185,924406.4753662703,1879730.0865923783,314293.1254188943
400,1751166.0944361505,872144.7250738357,1184841.3436708283,258082.70999027306
500,1986946.360762816,800723.2603601293,664713.5085332231,215754.01723394642
600,2491261.1776738637,751958.724387372,552304.2418406866,176386.02123670516
700,2522612.7242757184,693446.0017026945,347460.5609873292,164460.7471132727
800,3464669.4847210837,640353.5781431573,331197.1789282462,154489.37615342473
900,4309264.819974094,598099.635529038,195587.07034986332,133741.23700466758
1000,4865230.587772683,554824.9037400029,267437.107414669,129330.72207135173
1100,5651162.3040018035,508264.0659646544,147581.825701369,116674.31996274015
1200,6355143.743123208,468512.6429380964,223148.8840381185,111271.7521830592
1300,8211020.706506291,448198.9736628377,94176.71790257115,100854.08610595163
1400,9059601.386319818,410658.01898268686,113673.97767619736,92428.0399798185
1500,10493110.768822756,401052.7929814964,108552.80974757794,90327.7788655372
1600,12344817.849203926,366222.01825878356,191315.56119582115,83575.21001245508
1700,13608863.78798543,354793.50620619534,175428.50738270782,83625.28199781805
1800,16080197.047130581,336986.804602451,131834.65019526804,66509.78029833012
1900,17774108.44939685,327108.5156597462,161525.94418530556,66147.45702681608
2000,19369706.733660903,323354.2778859292,57837.76639809236,61983.02568057661
2100,20288491.906699065,329717.8335593154,139659.81817003572,70246.76310703368
2200,22716788.976378497,316135.7957083497,70204.74785278473,68355.3586962796
2300,23530357.681320608,318541.8502726393,78015.23083570802,69511.31866475455
2400,24950219.683058463,311182.57871047815,114205.88550463422,54240.05975520967
2500,27311620.913195115,307861.83458257705,143168.74172338663,57693.21683628035
2600,27723632.91160336,316916.301658554,47472.00402661172,63785.58713527931
2700,29643635.2941893,326350.22115651873,125319.15690897286,59005.88991373159
2800,29722902.27208355,333802.8629701388,133715.81823094052,67048.54580806536
2900,30787030.780190844,336246.75800059456,147746.377717592,66255.41185846688
3000,31797138.635543905,335249.26914858614,145860.93789863423,56415.84155871549
3100,32687319.837222464,349734.6275353662,17970.29282593314,61255.98276888252
3200,32737066.58011643,346226.93577447475,137564.85881436802,64588.98136654869
3300,33614915.531138234,357764.1652570718,172335.6502036596,73976.3093324624
3400,34125172.316384725,373434.338039203,175788.6246478986,75816.54757417855
3500,34632263.98125012,379643.7380753818,52900.96681535638,71175.23746134731
3600,34110633.49022422,391948.0250507151,61152.13399341501,78674.08202317939
3700,34383133.02622493,410559.33251620346,160870.2222361965,78380.05349522013
3800,34957577.83499995,427854.9775305584,73265.67066293776,79274.56662371798
3900,34292730.0443295,426813.6214445681,145132.46206310307,76216.84510998869
4000,34459054.9089912,452666.6172723553,133801.61046089954,79454.08413631798
4100,35080868.9735714,452101.4936907161,74299.50617181814,76730.30838179315
4200,35516355.65929641,468361.4416613056,125262.07904448455,91927.11235484025
4300,34712145.16072049,489478.97064812353,134031.16736064287,93358.04688009364
4400,35050405.60246415,494464.07916252763,163397.17021458843,90819.12625927998
4500,35827414.74851088,525851.4534206357,92509.38839822853,98320.90181014141
4600,35791452.15958001,543550.1593583118,201761.85847756048,98989.35535616224
4700,35691004.280940674,543957.2558967206,98612.07887854324,94820.50045690259
4800,35328133.6056076,567528.536641945,158546.70017155752,100826.45544632594
4900,34722265.71386224,592991.9025847191,206743.79132301564,107465.48335756772
5000,35501353.6974759,600384.1832373202,90231.44455317488,106266.58188574684
