miliseconds,T,I,VI,VNI
0,1386940.5895346615,991458.581014552,10036866.388384389,996338.1831461965
100,1089284.6089779737,1012780.266299726,5657165.742179963,642368.3366942941
200,951865.1755223668,975357.0088143336,3142719.8140694406,428991.28533441684
300,1164267.4360727062,918936.3591847304,1840996.2249403626,318499.79416371224
400,2343581.519811846,863206.3214425133,1203616.626102506,250050.34335895654
500,2367670.012359597,797713.3642811278,713707.012230428,204312.76452169148
600,2361259.8821839592,742993.9428887562,521442.5214736569,189296.14345968698
700,3370554.8045322485,698159.476818849,423709.0556382809,168145.9209220363
800,4168420.645002938,634638.743069301,252343.25190281947,141627.1874899718
900,4122980.3483308284,594389.4049138944,174889.40339920393,128474.69901958347
1000,4613737.998189148,554687.1929861276,132117.38626544224,127815.2795579155
1100,5354673.461567537,500581.98951454717,258161.25598039862,121311.01785916742
1200,6993299.638474889,465713.839458575,178362.7137192479,99718.43489802699
1300,8036056.959386695,434604.41060746805,169197.0375357647,91611.8715968225
1400,9027418.466928367,410550.0137204356,58083.1214340532,98829.21706215566
1500,10958785.620127965,397012.0205956596,133116.19290739656,88126.38860795331
1600,12436250.86111162,367850.2961656678,120536.09296852547,81049.49985966344
1700,13898858.362915862,358184.01683588617,84443.08665362358,73518.45891983421
1800,15771049.671591375,342815.3213219825,161209.2983190695,67161.60367673617
1900,17513355.83020078,334211.1066670219,78876.90796503163,67185.57404551943
2000,18475615.57788416,320139.01251628454,129001.78040341483,71566.138104476
2100,20415787.72527885,327053.3883798485,123339.47965242088,68265.84868921143
2200,22540762.514680084,323942.5704472128,134890.8596563998,63427.55347258706
2300,23473266.092089813,309631.9975157765,77844.9139909428,57375.82646383211
2400,25991680.70065356,314428.32130345266,112337.80702199183,60529.12144320227
2500,26639698.88801557,313863.7749841589,141948.327802997,65680.85123290095
2600,28393626.379107833,318165.46825338725,51921.40034778099,60055.750972713526
2700,29387986.575751465,327564.81590462767,163173.89846579102,54814.65206890858
2800,30358526.349353924,324336.78596402647,20591.20000650575,68381.6594984514
2900,30516445.2931838,329337.8091834679,130936.89418818761,63917.50681843247
3000,31051293.636449143,342919.7963238037,141149.37297717383,63576.58859909142
3100,32676570.07996168,344515.78738507396,76035.13363247366,64011.82974967219
3200,33367032.339867238,346718.519533239,146101.2142864559,69488.90381211569
3300,33136835.416272055,358004.3261579589,157503.3597851911,68704.1071435281
3400,33614877.89907007,369420.2075029237,95937.87050268849,64342.585078539356
3500,33574985.293550946,378339.6493298969,37479.71586246512,65637.50879682717
3600,34150981.00135278,404852.0348879653,134136.10356480602,69277.60129299421
3700,34052390.4345702,398813.3600164802,42165.92452141318,77037.0626000896
3800,34606412.33512728,419730.8737674137,132482.92582371132,84579.60870308324
3900,35262459.08479667,434075.8382158913,151449.2460314856,84403.6646644616
4000,34609875.51228973,449100.22266309505,153117.61594091973,78407.21098440519
4100,35226619.902171165,459658.1739246033,75652.6559877613,82407.94987191298
4200,35137512.66081676,479227.8314365805,78430.65910138324,80361.45995794184
4300,34704985.49150092,491331.8582879155,200996.12139825866,82608.88606305352
4400,34775124.62634292,513085.28100265854,186909.724346685,98152.33712541252
4500,35857478.54060483,525235.7410501613,95808.32253903346,94689.26403997817
4600,35756079.145302065,542251.9717348946,74912.14668213794,98282.29941591063
4700,35711408.45091494,555872.5455483107,168351.13188779852,102666.82099544168
4800,34769671.22759943,566540.7486516972,224587.6694751774,104270.40704028987
4900,35048459.45894186,592570.2384691259,236653.15437717532,112438.44631692194
5000,35566518.59477823,607316.8217484481,158229.00161945468,112885.26440348622
