milliseconds,T,I,VI,VNI
0,1321008.3623301988,1007415.305252373,10011136.62804288,1004594.5772688835
100,1382698.5175495907,999385.8609833791,5670579.312763555,636647.1792589568
200,898573.9179610665,974565.7208308489,3155059.2494782936,437650.40256191755
300,1567490.3882771616,916340.5812918544,1868163.106158186,321757.4293430982
400,2131702.955069184,858821.4883087083,1150231.4785799298,255509.02881020046
500,2094265.806998786,797825.6844260562,671062.9053542392,216145.43756871164
600,2015927.9970743945,747479.9034931237,429389.32986359514,190766.0742060662
700,2461163.0116934646,689845.6816494432,426619.2573502409,159913.00292565138
800,3780841.94546588,647229.167221886,330337.32089618803,148091.25051530715
900,4736397.236478827,588029.1713864551,258869.56487262642,137518.09477527396
1000,4459235.114271157,551965.0398999833,231526.88344270457,117777.40078596995
1100,5279419.588033365,509159.6074574759,193093.01426557265,114601.00652314918
1200,7155011.27874445,469142.156592119,126494.53039755637,100681.02077508195
1300,8437811.08218598,445302.32928308734,106588.2449980024,91894.25102787823
1400,9018452.586755311,426609.73377990746,139668.9992712117,96005.7150656472
1500,10554211.257948536,400374.7159429214,71619.07174512578,85774.4606708374
1600,12366580.72965522,379324.5869854812,103020.36934282859,87023.73404849731
1700,13659263.394156732,353583.5042782641,87747.89395048514,82230.06242909691
1800,15416353.928853717,341859.9408088235,108562.67292730388,73171.86306412255
1900,17129637.106383324,334710.54141818744,184901.87628660968,73515.21889828148
2000,19455223.84326386,334867.6048959045,131455.26102510036,65266.42702817898
2100,21049477.23161261,327540.25879748253,36119.873635198055,58010.62964052355
2200,22775653.66100066,321993.47969375,95949.48261204221,63680.83508429915
2300,23827797.676968813,309995.8503056442,86154.01319622318,63288.66208307474
2400,25888030.520840123,320692.09592818696,87347.06205303367,61898.966500507304
2500,26900861.108764596,322544.1142762853,42105.20545679824,57299.444919898495
2600,28698885.680770192,322917.6491798883,142892.83499909216,66304.23974351044
2700,28930220.69326092,318979.6148615365,141109.38688656318,57061.95074707203
2800,30460115.39991744,325577.7065923708,35630.01035331836,69985.1675432571
2900,30491824.908332817,335651.98599047726,90474.02302867883,68517.64152759426
3000,31921921.125109565,340470.9429746583,65785.65542034866,65984.63361458138
3100,31796363.569123767,343355.98376280844,20652.506951263815,68400.22282662085
3200,33451353.281505503,350450.5770789803,85360.71743527247,58844.13054680014
3300,33121247.442985535,369509.0791563173,80671.2847054406,61908.46058371472
3400,34114669.24449793,369306.7114190905,109480.84805803942,70655.44668139615
3500,34394043.49334752,381109.6525780445,115988.06510067378,72515.20490190347
3600,34780793.30349508,395168.5004648605,149686.69363278005,76618.40569803274
3700,35154549.08830605,398344.14987267373,87728.97823119521,75896.09524643622
3800,34476167.32332662,423326.9156284612,125786.03278174369,82313.70272833656
3900,34208825.23870127,439993.54162723536,166473.14207173695,86031.78619885801
4000,35183828.370788686,451018.5900454334,195290.63385980978,87047.93192664349
4100,34808993.78862521,462501.07528762723,46161.32432708079,85512.48396762196
4200,34884226.85801074,480826.130816816,59206.46903531531,87375.43576316333
4300,35408454.29311382,484907.15968358645,93029.25343739093,86292.69794693739
4400,34870679.36298461,513050.72981969843,158686.85405381658,89234.79492963952
4500,34754829.75665047,514226.492143852,175301.39207498258,90426.02520293019
4600,34966897.89774042,529767.9700886495,192200.8703667684,93435.94666105957
4700,35674753.73446072,562809.9327140568,120647.68717684929,95266.545043741
4800,35893586.18119518,574079.3024257781,87204.06957486042,105278.55909860726
4900,35963871.6452929,589628.7958443874,123112.4259652938,114253.5359692989
5000,35341565.042335995,602998.5784766192,204473.78979814143,105303.08234726125
