miliseconds,T,I,VI,VNI
0,787383.820056132,1004467.8754311136,9970213.101983724,1004755.0381774668
100,1696676.8169616032,1002013.032110797,5603271.82896077,639761.1028044294
200,1671527.7478870235,982289.1013792082,3180895.9065880147,431453.2783477604
300,2048537.4686597746,915324.7024930491,1920735.1730442692,319452.5916639934
400,1733407.6683206114,861106.227195685,1167758.0223256657,251036.6469481178
500,2662685.203855491,801390.6638383946,747250.50819916,212956.0478444801
600,2813719.099741099,748320.4899126309,430365.88095192006,189716.38272228395
700,2496653.3656527624,686497.093003191,346325.9190188817,159404.4720393006
800,3255517.3813096723,633622.0142831365,232225.85477988774,148353.11646372973
900,4805760.0915040765,594024.386969035,227512.0990748837,140566.48846966893
1000,5084169.166357972,543904.458371033,161015.0208348721,130870.51235652574
1100,5454373.758341632,504770.0918263227,218729.418695938,108991.64325089358
1200,7104800.529318443,470745.4331694665,219434.483802733,109237.32915786875
1300,8079356.7377438005,435190.93092100025,195379.37901819102,89692.84058935675
1400,9296628.31299677,421455.6517972393,153529.3664135768,87307.15378877988
1500,10433029.419503676,392042.8403389988,164430.17847423922,92469.39587916732
1600,11747469.734200636,378493.1323800885,119943.752807181,85904.39300205595
1700,14154627.404174399,360390.58885801124,90260.48112739166,76555.35911133488
1800,15467198.98476206,342166.4717780229,111029.22880267599,71288.87752163628
1900,17176707.436100896,336368.2026094292,66984.15503109468,64977.227107723884
2000,18611908.57772337,322899.3603780633,31096.729346611944,73695.20991880079
2100,20886657.91461954,317142.16832316754,105842.09975315895,62381.945156287504
2200,22611545.02784644,314172.2272658997,150809.32718756938,66590.15035873267
2300,23901850.47077356,325308.84194254444,18311.557171304725,61554.97177575064
2400,25572438.511471666,305994.5997992703,50622.543772179364,57589.56656976182
2500,26351339.418283433,321151.42388624116,61842.920229184696,60895.49747550095
2600,28210356.99735526,319589.61709621764,86167.17679041483,55629.48478257011
2700,28941737.21869166,328185.0808626381,132431.70875788687,64354.643235451134
2800,29580210.211118087,317832.6607844908,89856.22928140177,54967.01978550612
2900,31145508.577460833,336168.79271199065,80464.31885630003,69606.11836345354
3000,31696294.974202834,337808.916922591,21997.0105191372,65638.19071802752
3100,32451182.273559332,354697.35847645253,102160.35662438396,63336.36942232199
3200,33214591.520649288,346886.543659836,18775.38093401937,65489.17497323566
3300,33320616.951403115,359741.8155258104,24973.91941315231,72807.42761599457
3400,33429494.385746412,380060.47677529923,133695.67785251842,76461.38575962855
3500,33790570.91388626,391361.72431871406,81463.51987486449,71501.8982309013
3600,34116827.00215606,389276.02293551323,59597.511308323876,81034.20178380123
3700,34038244.79391381,403983.0049389069,94620.36500780443,73289.46932900805
3800,34098024.73959254,420910.88310606085,154170.69266750186,75957.69179263132
3900,34714524.4301545,434980.41219196,38423.567443540815,81876.5809259215
4000,34630851.07880548,439986.3849819787,117348.84472319241,87506.91772997938
4100,34505174.20722517,455983.68204938684,115149.98325296429,82454.94512560894
4200,35054832.520108916,472328.9450651246,100652.93196871322,94003.30738752418
4300,35418816.29117363,494297.3060779029,156043.12816624888,93365.29767387976
4400,35420029.38629355,495142.64920624375,196182.22971125206,94490.32037971771
4500,34755009.55835731,512557.6584054203,208079.63711829126,101421.80920219545
4600,35239566.980833195,526866.607391386,169283.1082399545,95583.66001849048
4700,34929411.30094335,556286.1087992532,87813.27280267485,103904.08519669439
4800,35888915.702791244,565326.4758477842,195278.20659669937,102390.39307218726
4900,35306797.84874248,584834.6803324743,219692.68693230464,107378.4313286311
5000,35789275.79856443,612391.406123798,184057.9461481251,119382.89602324326
