miliseconds,T,I,VI,VNI
0,879996.2188623835,990829.5785189372,10063078.012945388,1002881.8809382753
100,978422.2572046369,1012416.114257713,5698370.963855269,635851.3811117646
200,1446341.51049875,977102.1435053804,3186242.87904638,439756.80920175137
300,1498724.7583980006,932467.51436133,1926466.7356891,324044.4519107308
400,1355377.257424916,858928.5208190167,1111177.8431675527,258830.55290505922
500,1873011.6124783535,806665.9485110475,715529.6237686564,206343.46406458362
600,2548968.7937178835,737869.7695355464,564497.1441492947,189936.14207769453
700,2690913.98206608,697445.409419111,441767.9906831608,170145.3102665409
800,4174733.5074394997,642918.3742329146,364280.49867304903,152221.30432106482
900,4425571.58037186,583398.0939216664,248516.2475274991,139052.44360724516
1000,5532712.864015044,539758.8651848433,143563.28667614918,126472.01696243856
1100,5528153.351507386,509575.0898935937,107979.32606138669,108414.00343443545
1200,6928574.008541764,472114.1363970628,194242.82748252086,103092.20506072165
1300,7961625.654926521,449701.50752946746,158293.44131508484,101933.39574919178
1400,9522868.213277543,419770.62734719546,108397.36761833788,94161.46468833831
1500,10218561.702024955,402443.9117495459,186248.77163448808,84662.72153865176
1600,12705681.089398691,374926.3512248067,123681.29374153774,83766.5324809822
1700,14480339.29385603,355690.960037958,92829.86966500207,69160.07969077179
1800,15898981.785963912,351206.9267023486,100726.57470588585,66654.46659115957
1900,17830255.4218214,343226.7433111727,133955.84725360115,65116.76320372034
2000,18950854.418065824,337200.28974735626,174666.89773613994,68562.4336017692
2100,21294378.473134242,317599.985748698,146448.85816605072,69330.43205485067
2200,22843389.34833324,321121.78602433734,32865.9039305848,63644.89402515648
2300,23924695.480278227,308929.37271297467,151087.62625053452,55067.09941125299
2400,25213146.467742626,319478.44706566515,13080.150092299868,56604.859253084935
2500,26828771.23787833,323407.9834716578,54916.57224126664,54978.25943242553
2600,28027078.0840807,323279.86858237785,63922.54731487397,56224.865653721004
2700,29156347.590316713,330802.82344050065,121367.30826949423,63244.738993123836
2800,30072490.160639904,328221.10573085176,66553.9452779032,68693.88447518485
2900,31585336.181258358,337636.9928140647,130623.73149231965,57319.19406802918
3000,31968356.070286393,345076.07745651226,117120.88665404393,64754.66677412657
3100,32465019.962086175,352800.4342224215,162125.31313562457,63384.68217341354
3200,32353172.81601634,364817.650218047,103792.26602619182,71613.17709165893
3300,33972689.60722071,364268.96372775285,111429.59996913903,73230.1420212809
3400,33088198.151802465,381991.98472131114,166297.5410190822,70774.3317823615
3500,34507504.28005566,378678.8225920334,41980.65481203839,66986.65778098885
3600,33776335.67938253,394290.5825250107,106398.6268119918,80565.55237854687
3700,34444944.379612766,409852.6199824503,59441.99259568763,77596.17487457051
3800,34654347.901994884,417255.0641744541,174969.45007914453,84777.94617643127
3900,34701508.06067647,434808.1828097294,46341.96113368317,80627.5540527975
4000,35103933.20689335,443509.72071651206,133055.87993534666,77537.31569448709
4100,35611134.88431208,452693.5265908018,104207.15952328884,79618.05477641909
4200,35663133.8147186,482167.00783811935,152609.79498272808,94402.22580923083
4300,35109283.767012194,486855.40623946564,155542.7562702959,84029.54818068136
4400,34949444.03825364,505518.8877994782,152640.85581476547,99941.1973873892
4500,35015974.91421948,522033.80584361247,199942.10380803983,97226.36833839181
4600,35915915.08309009,529757.1220177227,100489.45190133808,106212.2803726354
4700,35635724.386703596,544209.4674369543,128730.52623866957,109215.21608652118
4800,34890265.49588574,572044.8425754426,170631.32273815988,97006.18708628794
4900,35010863.19406642,597050.3159282856,215586.19918485364,101323.93330239614
5000,35817387.82895916,605269.2882677042,147193.4651219185,115277.12102758203
