milliseconds,H1,H2,M1,M2
0,0.0,0.0,100.0,0.0
100,0.12903190320479474,2.4870104343501088e-05,99.50348771399258,0.4960204369535599
200,0.4423792866490158,9.918397483519545e-05,99.01389008997134,0.9841629412058314
300,1.2000167255713599,0.00022298773065939194,98.53113195508148,1.4645481012765922
400,3.0240448157072257,0.0003969697409949789,98.05518101658345,1.9372950443215755
500,7.396884690637608,0.000622457252726212,97.58610510639564,2.402521787430588
600,17.836597429237877,0.0009014267051696197,97.12420789791898,2.860346040641157
700,42.65845351204551,0.001236527604017965,96.67034929340095,3.3108870744203
800,101.43995799153488,0.0016311203616149834,96.22669883756976,3.7542700907087023
900,240.10503985201828,0.002089329232749828,95.79850083176377,4.190636464854635
1000,566.0306924152663,0.0026161126950119008,95.39819628317424,4.6201677114075395
1100,1329.7077660596494,0.0032173560826197953,95.05502704484411,5.04314144876926
1200,3115.4221059143774,0.003899996799724563,94.83741316458645,5.4600618948225605
1300,7292.708561923976,0.004672205534899324,94.90535745959872,5.871964411138627
1400,17124.238809159648,0.005543679058360235,95.63523913029373,6.281131024682125
1500,40714.20189849353,0.006526181798986148,97.92987480824263,6.692806007974062
1600,100244.65751219504,0.0076346916853581035,104.06682326544065,7.119524427088716
1700,270758.6155937457,0.008890150192129787,120.53569206066243,7.593409837141163
1800,953736.7527515509,0.010327055855324162,172.2025559688184,8.211870911822823
1900,10023242.190089693,0.012013804885671501,492.4623715500861,9.4779252026644
2000,99995502.0965877,0.013706574366052358,7597.385017486346,25.00962806852161
2100,99998015.4012933,0.01886604017888279,17534.720400524984,87.28923557721272
2200,99998723.01793593,0.03266378935936407,27423.401236119746,198.18594553603086
2300,99999107.83429708,0.05989064921294788,37264.019542324946,356.94005293686763
2400,99999250.38431981,0.10524891724423636,47057.21783431423,562.8223324862031
2500,99999432.46335898,0.1733569728216815,56803.643827267806,815.1483010520976
2600,99999335.25028975,0.2687533420240428,66503.9365206182,1113.2964236135701
2700,99999538.84919555,0.39590865539900727,76158.73520184343,1456.7297316403246
2800,99999609.3638152,0.5592293834467651,85768.66754530219,1845.0214163726766
2900,99999624.77089928,0.7630725842743555,95334.35677131859,2277.883007085381
3000,99999690.51365438,1.0117728355061912,104856.42347465508,2755.1966807184235
3100,99999706.4870509,1.3096350764729583,114335.48158296163,3277.050695444341
3200,99999724.75532486,1.660991189315165,123772.14749958982,3843.779110108465
3300,99999764.85925102,2.070207955827302,133167.03719355003,4456.006343452974
3400,99999766.01878199,2.541692280108217,142520.76993263257,5114.696675437509
3500,99999772.82244362,3.079969114666025,151833.97317104955,5821.210350206525
3600,99999789.1517795,3.689734462709062,161107.2863419678,6577.367924258587
3700,99999800.89536045,4.375864777711375,170341.3637646703,7385.524829929099
3800,99999809.2921975,5.143480682427523,179536.88009983208,8248.657857670525
3900,99999817.47927858,5.99799323331258,188694.5364920067,9170.46779135643
4000,99999827.63823108,6.945330562908709,197815.0684897988,10155.503057899909
4100,99999834.01648714,7.991759510270698,206899.2520056551,11209.308329967429
4200,99999834.11628114,9.144238006299188,215947.91466318525,12338.605085758238
4300,99999841.0686442,10.410428298828418,224961.94630940145,13551.518381787413
4400,99999846.7443534,11.798841464552513,233942.31248320758,14857.854502770448
4500,99999849.5189571,13.319087709674884,242890.07102662825,16269.453970958835
4600,99999852.75213614,14.982052646479808,251806.39237682364,17800.655105212612
4700,99999855.37270226,16.800158748695896,260692.58217404142,19468.828418600348
4800,99999857.67975573,18.78773884592637,269550.1118253087,21295.128244738706
4900,99999859.26140197,20.96139598863642,278380.65218124684,23305.37713240067
5000,99999859.81278546,23.340612984694133,287186.12894721865,25531.537158830237
