milliseconds,P,I,M,T,U
0,1.0,1.0,1.0,1.0,1.0
100,1.0252491268870236,0.9257792842607984,1.231864248534218,1.4509221931485148,1.0852268507586496
200,1.0509800121700503,0.8551494379783574,1.4675085744155458,1.8841621451511676,1.2218685079327076
300,1.077170621681339,0.7870102205378767,1.7070082665777087,2.300414870079715,1.406029682624772
400,1.1038015885554906,0.7206984982935396,1.9504323623549231,2.7003461137978495,1.6346908229900725
500,1.1308543979566636,0.6558948695882141,2.1978447513300257,3.0845958339725423,1.9055530174004423
600,1.1583098935893779,0.5925555546836496,2.4493042202227855,3.453778915693052,2.216929367060531
700,1.1861469541753331,0.5308532359256526,2.704864185751507,3.808486130069187,2.5676456100628444
800,1.2143413506474,0.4711220420478638,2.964572138850311,4.149285083986931,2.9569422641105
900,1.2428648172020276,0.413804573632513,3.228468845792688,4.476721128163166,3.3843748809306002
1000,1.2716843383406469,0.35940015119766966,3.4965873050115364,4.791318106442819,3.8497118836073523
1100,1.3007617337141983,0.30841451771434697,3.768951565569374,5.093579106963874,4.352830332041606
1200,1.3300539434236,0.2613162006859061,4.045576300980834,5.383988625973166,4.893614622212998
1300,1.3595127360007329,0.21849198869460404,4.326464663337689,5.663011187981395,5.4718659947171
1400,1.389085582882518,0.18021707280539848,4.611607892280005,5.931093341303201,6.087224156359978
1500,1.4187164583857523,0.1466274287450141,4.900984103102477,6.188663855377414,6.739098869806976
1600,1.4483470884029481,0.11771418373879085,5.194558065320435,6.436134869583222,7.426642830095159
1700,1.4779181446799416,0.09332532863880118,5.492280906900661,6.673902435191801,8.148742932777342
1800,1.5073705136643,0.07317835979696533,5.794090028125777,6.902346996557316,8.904034979363677
1900,1.536646726900947,0.056887601901197245,6.099909492818295,7.121834112410793,9.690948673277104
2000,1.5656919817249628,0.04399561430835246,6.409650717273399,7.33271501721406,10.507766167705249
2100,1.5944550326594868,0.03400769693444738,6.723213316343298,7.53532716275313,11.352688950361332
2200,1.6228888464239881,0.0264259041503111,7.040486161281119,7.729994772231503,12.223906245188443
2300,1.650950946850008,0.020777701667091586,7.361348539185113,7.917029355680635,13.119655077194185
2400,1.6786035141644948,0.01663730433349097,7.685671350034771,8.096730207897252,14.038267001230956
2500,1.705813275763452,0.01363879771158955,8.013318296368801,8.269384888843993,14.978199108252866
2600,1.7325512459791261,0.011481168692205038,8.344147019676866,8.435269687043155,15.938048906856537
2700,1.7587923970704973,0.009926924632223201,8.678010106928,8.59465004506212,16.916555753097153
2800,1.7845152628558827,0.008795675545618106,9.014756096440054,8.747781008827687,17.912591863559324
2900,1.8097015838471922,0.007955442328096857,9.354230293279164,8.894907622027548,18.925147550886425
3000,1.8343359747260155,0.00731297609549202,9.696275526145058,9.03626531765017,19.953313761631932
3100,1.8584056352447862,0.006804383058660437,10.040732828611835,9.172080297348028,20.996264476933167
3200,1.881900111461589,0.006387006487496364,10.387442047617478,9.302569895306188,22.053240968318942
3300,1.9048111037648414,0.006033065406037216,10.736242386486218,9.427942922957776,23.12353909012139
3400,1.9271323058065282,0.005724712084700969,11.086972907403041,9.548400003860163,24.206499082924353
3500,1.9488592697722553,0.00545050236864493,11.43947299278289,9.664133895080562,25.301497968598134
3600,1.969989289298364,0.005203026982026174,11.793582771443925,9.775329795507224,26.407944132214666
3700,1.9905212927623714,0.004977354828076314,12.149143514211817,9.882165642285397,27.525273452127912
3800,2.0104557427066334,0.004770066631023842,12.505998000488841,9.984812395396455,28.65294657758313
3900,2.0297945381144045,0.004578683423051263,12.863990858690352,10.083434311575054,29.790446992560515
4000,2.0485409177701532,0.00440123942755373,13.222968879646851,10.178189207278782,30.937279368646244
4100,2.0666993652450336,0.004236223681236931,13.582781301668343,10.269228710416964,32.09296868565849
4200,2.0842755128764527,0.004082386502125069,13.943280073324933,10.356698503547273,33.2570591008418
4300,2.101276047068759,0.003938646755018044,14.304320089611304,10.440738557057616,34.429113042365394
4400,2.1177086151888416,0.0038040044518650126,14.665759402631322,10.521483352941447,35.608710331261825
4500,2.133581734526484,0.0036776983723866927,15.027459409084637,10.599062100119989,36.79544783862746
4600,2.148904701627179,0.003558979630403185,15.38928501353502,10.673598941088661,37.98893838293794
4700,2.1636875061412537,0.003447196046013825,15.751104769727545,10.74521315076122,39.188810278168496
4800,2.1779407471530052,0.0033418175857147904,16.112790999032548,10.814019327084857,40.39470679267103
4900,2.1916755520843343,0.0032422911314895744,16.474219889467236,10.880127574679463,41.60628527885853
5000,2.2049035008913966,0.0031481787122069837,16.83527157356154,10.943643680791832,42.82321690246413
