milliseconds,Tumor_cells,NK_cells,CD8_T_cells,CD4_T_cells,Circulating_lymphocytes,IL_2
0,9989852.256660769,979.2645710209373,-31607.24469414512,986603.1867488562,59998359613.17212,97196.67761968834
100,10137238.447457764,771.0523400662012,2078898.0817059102,901853.4299078835,60000880469.29692,361443.55550177733
200,9469000.954548027,586.7820747785817,2487184.924498406,844959.5346113718,60005406637.05345,433921.0044668973
300,8910024.85763766,299.5777365507442,2645250.9797139405,805697.2070074611,60010043566.42971,438543.66469822585
400,8280767.861355751,541.6095537854122,2609190.604672862,766022.8422121418,60010429975.15916,429956.45365073817
500,7796180.228412324,279.99429240589274,2651057.1393433944,721427.6044630802,60015553649.270294,409864.11120062403
600,7081100.660747681,42.03128087107484,2576923.193893417,715269.5995522143,60017185995.60336,391323.7424789796
700,6480314.874972023,207.73628288409878,2636356.069224348,682100.1466017406,60022196102.448364,378934.38247456535
800,5538736.069628559,1039.0961867793224,2541759.6265644846,675260.8243470885,60023084807.10052,375503.3750797514
900,4870634.915678709,875.348395450867,2521478.182855574,664673.9585373539,60028661828.01047,362701.8042765924
1000,4167317.788136178,727.4704691953528,2497314.3233465347,650872.3205161925,60028812918.25768,358079.58406648546
1100,3744341.844839141,1332.3200089518202,2417705.9353391947,640289.6164262921,60031383301.2414,351591.5477858625
1200,3098714.09009014,656.7203977528363,2397336.969967412,645117.3040089415,60037405109.68187,350854.069891589
1300,2831380.815621178,926.947358430573,2286233.3783478546,657921.2961252246,60037348317.4719,351056.7436444023
1400,2312952.019358296,888.4507634749667,2254215.7754692053,647335.3526269177,60043350137.64208,354970.65482954215
1500,1782555.9411658654,1081.620340398768,2209492.9729019287,657392.860415438,60044407255.75293,358199.6800723061
1600,1476185.5711702,1666.760348810015,2099977.2146413126,667435.5756186552,60046926818.236725,355824.9698400443
1700,1185188.1333278972,1958.3788958909342,1894156.3213810443,678957.8052178993,60048434370.42417,369546.7213360863
1800,1166435.2287629882,2419.15475482542,1829864.3354852926,718263.5828671876,60054461152.43886,376260.6638709627
1900,958759.8065778101,2936.816096981962,1640026.8978902956,724969.0611583613,60057775941.16405,379056.7950046151
2000,658841.6945113611,3435.3659274864513,1560998.2608700767,758975.7791478955,60057810436.64369,395804.1652559357
2100,607896.9785525433,3698.4903955890063,1454987.836559621,773984.3222575175,60061768814.21932,405018.34569667216
2200,609181.801358125,4279.463869045919,1262300.2526659681,789517.7811327542,60063092733.140175,415019.09914576303
2300,537182.7373560669,4591.474482511075,1143976.0078383891,800973.1936487975,60067184265.543434,422964.55197584437
2400,410971.380172351,4951.585435909972,1036918.3392622243,827562.4493618287,60069768214.34254,431367.0009208413
2500,119207.9968035485,6179.83871888084,971436.1512685402,850760.3736466847,60074568232.70982,445079.41993937537
2600,342367.2186150183,7073.886210379786,806572.9753451032,883391.7867801895,60078708380.50118,465760.8752228754
2700,180790.21306473564,7918.866976234341,705186.0339534988,912946.8341606571,60077580963.99137,477061.4776837197
2800,30149.5237709395,7946.604731340213,657541.8814084507,958071.7059159054,60084017404.8001,495831.71774614725
2900,113607.1917864841,9483.320760484088,548730.4759672843,983744.4123928677,60084336556.932465,503066.0466514425
3000,161640.50401546486,9913.828102369604,564768.3733054087,1015758.3988154379,60087779321.652695,518803.33166399214
3100,185219.81515198987,10590.152033069928,428019.5701245016,1051452.267692511,60091181265.328995,538775.7137392039
3200,48657.405713441934,11784.608702400059,390897.70786652213,1067379.8995536093,60093286629.977295,553885.2989082303
3300,133141.24637329183,12653.880601519013,312825.8964943046,1102505.9651085278,60095299378.00552,574003.0010984166
3400,179072.69644979358,13968.802235501544,272599.3107728742,1133897.248334933,60098368440.34873,582400.429867259
3500,-67936.1465191443,14974.415048228693,311380.9824316219,1192431.5420147185,60103938660.25959,593231.2803870167
3600,-125436.26341987566,15850.973384795825,239979.46643234068,1202299.001894252,60103770450.86677,607875.6872217688
3700,93618.91090134202,17589.46498550225,201443.71199978655,1259871.3402686398,60108123785.390045,617356.6204599822
3800,41839.219945012956,18406.44279040497,247064.04979291116,1292990.6710873472,60111272952.1841,627539.5285791927
3900,3712.474013088652,19514.086252886667,153407.61886640653,1313727.598008399,60115154604.30641,616109.3051405883
4000,-46839.04103828798,20560.952136749125,133937.11484482174,1355694.2689720744,60117745385.59174,614156.9779998678
4100,16970.94587270877,21646.811135472744,178403.9307214643,1382210.192649939,60119303284.91528,604594.9250233537
4200,32732.54493483852,23400.229136623475,99882.27456827265,1390910.5304401491,60121346715.64848,576404.6407591025
4300,-141228.42521543012,24505.373855956164,112372.0319807561,1424233.726028251,60126312061.53726,548928.7759379828
4400,-156275.5300393612,25814.740242845455,113478.16730014498,1433264.672979326,60129519737.07124,503655.7554742148
4500,57841.21724075215,26490.16052391852,70786.16235286748,1432378.4774167358,60129993439.59095,452579.0414664964
4600,75622.92335160033,28141.962875751622,132574.61362415744,1434849.8613288677,60132989794.4594,401305.88348264573
4700,-90010.1455948876,28888.052797051707,81463.91037532642,1439583.4166977843,60138044380.11478,352905.2419994934
4800,41307.05819057854,29879.628650192746,70811.22215546279,1425989.1568319716,60138533352.26301,301053.71321989753
4900,24304.18007709229,31000.808455138456,18852.05989404292,1422941.973892357,60144003625.55838,255698.38173326102
5000,-35779.375255808554,32478.57305927244,84255.16874970682,1422982.0804781069,60147515812.03998,220199.83912697693
