miliseconds,Tumor_cells,NK_cells,CD8_T_cells,CD4_T_cells,Circulating_lymphocytes,IL_2
0,9896677.059480784,566.7752020689948,-30830.415147254764,989040.5747585273,60002084147.684685,101578.82943999363
100,10051144.518213602,244.84320494357183,2083446.134468813,911617.0354057576,60003249427.04697,363499.495394602
200,9712110.69102098,-91.63416201810708,2535521.9476045407,855258.8025726095,60006124190.9385,437256.2627326444
300,9007444.162569698,550.4565966555285,2633916.322609748,796818.8893822853,60010766890.77484,440101.91865029227
400,8359569.279883629,824.6245831512854,2590090.28605639,755789.160266081,60012263450.7514,423056.062323198
500,7717826.265215876,148.1692425961284,2623173.6635536132,718716.4228155942,60014672009.45368,409157.1934090014
600,7004463.885550517,958.6868110149787,2640690.3825932853,702743.682797388,60019953853.83684,397088.3638600523
700,6288082.718106221,900.4393753137414,2614284.3157751076,674371.484425374,60022953905.17916,376549.1482114772
800,5670125.491928367,432.4852514464328,2609739.3645819654,665833.8798721869,60022377063.553635,373664.37755155517
900,5056203.84110468,262.2433501679943,2576520.793813257,666697.5590559026,60024991971.72917,359130.18277254986
1000,4330087.883397185,278.46819262672676,2528673.9931608834,636399.3406426694,60027950478.97284,352738.8433024905
1100,3678772.2343479665,615.6092717289891,2447199.933153361,646290.5334432222,60034323723.38521,348006.90426834434
1200,3266767.205393481,851.7727796322362,2444194.6639944282,662320.4222304955,60034363007.54568,346151.7636068313
1300,2656564.4594845264,848.5807316626069,2294473.0685855267,640642.4445956608,60038675754.58294,353118.6692664419
1400,2209478.393612907,1837.732924651415,2255967.8688464384,670303.7812867148,60041515167.763084,353265.9830063919
1500,1904648.8668267333,1569.991875131208,2208493.012913131,677889.8329744865,60042514384.503426,360409.7547365404
1600,1571773.4144979634,2002.7380085419727,2099171.961748669,689951.1782093917,60047602972.77789,364292.7279080828
1700,1239606.2396513023,1790.2210691924147,1897981.554424818,700093.0961460727,60051213527.45233,370043.02823775075
1800,1022375.6232643485,2533.7779150754595,1836233.787075247,708301.7812800938,60054681673.391556,371025.8235473678
1900,756128.1951290298,3124.1880003815663,1703549.1262822524,734375.9765659984,60057835825.33576,378463.90363801847
2000,796172.2685776958,3696.0005126332335,1571884.3453790862,754806.1203877686,60059869720.86692,388716.42937330884
2100,595123.8491231356,3245.342796357949,1387785.3496257237,777194.1679802112,60062008091.53718,400271.30412164965
2200,630075.4256665964,3714.4873877372024,1255400.7055593724,792326.8414955864,60064233670.76481,409198.0102309637
2300,452212.36261146836,4232.799361956582,1204109.9554430996,810278.424741481,60068822772.36289,425011.5575096876
2400,242094.61186521588,5803.397202868474,1072237.0431454096,836719.7960707986,60070906503.32081,439053.70126990025
2500,301416.819326919,6034.690291727512,907076.2094750585,850678.183814881,60072616307.02673,444389.37572673155
2600,271075.70119494066,6293.401936582436,876250.5685827296,888650.8890647702,60077117506.49044,468222.4928037054
2700,139408.414909625,7304.548565504318,780173.5792589977,921116.1547812433,60080513950.88238,480111.0743295888
2800,61369.15322877526,8618.36295929531,676533.6299559099,943658.141867409,60081035117.51507,495893.2233644867
2900,257592.8650444848,9138.661926122297,627364.5294418972,979991.9948252081,60085083831.39643,508595.4533322299
3000,-41711.39602109061,9994.038007376965,561446.2600812267,995279.3796645298,60088048023.268135,519528.2846239181
3100,-70482.31794477206,10831.365366162081,436911.28347989544,1047955.9485956721,60091765755.68811,541346.7804779977
3200,-17232.738506422284,11669.022087215853,356682.37040954235,1074319.1654247702,60094355183.698265,550898.7369589349
3300,-110243.93480513613,13214.688984956014,367526.15380405064,1103492.0932546568,60098557992.43025,569192.2229152684
3400,179634.75093888817,13922.101098221327,269388.6967062163,1158262.2936728627,60099824391.358795,586547.6453415633
3500,-71253.89130012695,14743.727286190611,276054.73089129565,1182766.7185420443,60103619122.09949,601632.9559054279
3600,152307.5255771645,16607.39405651975,247207.83448935166,1226184.642401464,60106254822.734406,603721.606550281
3700,-18356.246436682362,16889.246527037172,245742.94490185866,1236073.8760979571,60109036172.39958,621231.4282398279
3800,-84911.89832126787,18546.10503656077,180657.0333816465,1284789.0179890704,60111881617.52414,622669.0305008998
3900,41491.39982829912,19874.634051618552,180626.6878784924,1318677.8188371544,60114885745.3589,621894.3929068953
4000,-94759.26160244165,20996.22252320582,112909.25270440805,1346511.8856397646,60115045748.65811,620153.6502623814
4100,113895.66965180723,22309.214013219516,166054.5041837513,1364887.940861186,60119570087.55667,605341.7770004967
4200,45930.178139983254,23421.796816087182,163937.65112892765,1404434.3405333252,60123142031.96872,574836.8468355509
4300,-96277.3350895571,24724.464039862287,160655.06268230328,1410744.9065789364,60124876996.174515,545373.2999129324
4400,325.5035956367576,25214.888988339004,100747.37820804765,1418388.5049860429,60127362598.830444,501183.46468130284
4500,16837.528239328367,26316.79566395966,139414.76199447896,1427349.4897401459,60132919919.5948,460112.2634035073
4600,129957.85077551259,27311.879513428015,85435.85253808582,1455255.278175684,60133819448.24161,399228.9060343
4700,-53753.99432135832,28298.107954441817,116682.711229165,1437694.5648611179,60136441538.59175,355602.1679268667
4800,-98486.49257463077,29911.407802773832,97125.11556768205,1426549.4936612274,60141313434.6019,305767.64415333164
4900,75925.24200317515,31409.20925926576,65402.33299317632,1428747.386576318,60142020900.83083,254528.46471086732
5000,-16114.917451673684,32640.839435352882,69417.05132260009,1433840.6271814036,60147129213.844055,215531.17502076313
