miliseconds,Tumor_cells,NK_cells,CD8_T_cells,CD4_T_cells,Circulating_lymphocytes,IL_2
0,10026905.09190511,894.4832927825539,-40940.839034002434,994571.3408980876,60000915985.55721,98180.49444065381
100,10017947.281452116,622.921081088501,2072942.2158809316,907816.331526629,60001384075.04784,362746.8770479253
200,9492816.322855828,524.4360096921034,2492893.598353142,867497.0455394866,60003966665.873474,429382.8209067886
300,9177218.111199744,431.02218040267826,2614540.76075957,813695.8126429219,60008935877.38929,437620.65367691114
400,8486347.474024037,501.78412566027276,2617477.626944473,768098.349968579,60011776958.30548,424082.465309842
500,7816134.506511233,374.2446806281932,2649456.834249483,727019.0811746862,60014242900.5454,407135.1674343063
600,6944143.025082845,106.34412562987234,2611763.7393461666,716466.1237490374,60018563085.1273,400400.3852664271
700,6370387.589621079,217.44254383206288,2601376.094473874,678432.5941830663,60020226840.23884,381081.46553001314
800,5602948.805188909,424.02090839749906,2610793.6288721985,674663.8111993251,60025605605.58892,374378.90574120515
900,4866325.365938164,1192.5879769223716,2528658.707828975,666516.7725552327,60028062489.41322,362519.0649331693
1000,4178619.387052811,746.3897085096135,2548907.3335821256,641445.7993557444,60028971778.70374,360735.6173341231
1100,3617861.4210022804,655.844095223604,2482030.6780101117,655220.1122062112,60032699930.25177,350985.72266315063
1200,3118784.2410938907,556.0665448985917,2365271.3468907992,645113.6895150207,60036335408.42574,350986.93907239917
1300,2532113.531742092,1561.2690694526566,2353857.613930949,639382.3265725925,60037740781.44765,355571.4951294538
1400,2136442.655619753,1698.0854397849675,2205319.595191754,661107.8545426104,60042334084.021965,347542.10514513607
1500,1960822.556456902,1290.1412391218619,2145272.8766616117,660811.4050727857,60045531121.87322,355499.60406573396
1600,1719475.922801581,2187.591796595154,2018512.3033361952,687122.0590508843,60048517529.49397,355647.7861760501
1700,1284532.7343298367,1654.205485281433,1927518.5398547512,703318.537320295,60050878334.817764,368346.9470468157
1800,1095570.511021218,2177.973498863876,1775978.9655843484,708879.6570662196,60054688663.301346,371811.1858148568
1900,1039725.0454188631,2640.6553758084074,1641927.605274297,729569.205496856,60056312640.950874,385969.5187506649
2000,718650.5250598523,3447.1957093369465,1507302.4145718452,741931.5082324258,60060463268.44954,395009.8089862581
2100,639547.9426505627,3902.7280878010743,1451558.9551521477,773707.0200530145,60063477784.609665,400477.2779064893
2200,429553.5723299186,3689.614954797778,1296058.6806718376,773498.3766591802,60063769957.76843,408756.0664994716
2300,357203.51754964126,4937.233249142338,1140117.940833034,804392.5121424333,60066008392.800095,429067.02546537085
2400,381425.76889620465,5292.229358789616,1041546.5123568578,823769.3230107063,60071988462.370415,437067.7178536874
2500,281559.67383633286,6495.305984037662,898814.6946833137,860647.5142139107,60075787317.34932,447478.88718387915
2600,247939.92967359844,6960.862324197682,816736.0336945952,899133.7855213903,60075360959.83501,458261.1449577573
2700,208635.35463114432,7912.671749569641,763639.2022135938,924450.3423302302,60080573174.489,473507.35992511606
2800,45866.34428698203,8162.381415935904,626914.8675149176,933710.2189385303,60081038844.68909,491144.831259865
2900,155507.1027245421,9047.420587182072,537788.0345732857,984337.0548675024,60084562333.86074,502661.3343744672
3000,168909.84263056994,9619.980851342852,491499.0755051607,1016957.9190667724,60089454179.62554,522688.2183006018
3100,211415.42890037544,10643.917664962491,448043.30254536873,1026575.7568706338,60092657146.70232,539877.5563195731
3200,183807.59865034357,11769.136446022758,440120.2518858424,1063757.0853299848,60095240364.256256,553130.8052389951
3300,-9904.680007995972,12870.081432614965,346552.84987469856,1113999.771281834,60095247741.36795,571812.5369913661
3400,78447.84787103816,13891.230457732387,314622.5072600048,1138544.9476913495,60100578505.20121,585202.7128073137
3500,167340.27746567022,15522.278525594336,304961.4607624049,1181821.5110538136,60101357397.00973,598287.4390403205
3600,141591.68719988593,16305.20634572969,213159.50830621444,1227734.98879884,60107799077.55227,610070.8802355907
3700,-65079.1239862024,16999.93039048033,205603.08502494704,1239299.989623289,60108532250.592606,612416.2324222378
3800,24349.53957914945,18440.439124708486,213872.268745613,1281420.0975019664,60112234403.82013,623330.934030465
3900,-40115.75761167522,19898.6617900715,179303.2192522901,1328032.2626951043,60114312779.01923,624611.0977892318
4000,-85743.79037456296,20641.793567784287,192827.36613366383,1334744.7337954007,60118493768.99958,613091.0905154924
4100,76971.4967034728,21643.191359781416,111567.84265502458,1378848.8282885067,60119720544.334915,597865.8514806692
4200,-133649.95491174128,23481.882639475327,144648.14476150167,1412882.8660613357,60123913447.803055,577613.0874328999
4300,49631.008795849935,23890.584203100825,102875.68738724163,1424009.2823589316,60123708271.046,537783.1591757414
4400,-2710.831500240356,25767.577187354673,135732.77057055713,1416707.315172019,60129855582.389885,502970.34048682585
4500,148429.5724450309,26170.031959434713,128792.0439807349,1450479.5815475876,60132811362.250656,453131.3326589499
4600,121228.01994695759,27632.452189345215,39946.07069134591,1451828.2960178521,60132899791.78281,407226.42830083275
4700,151178.10501052428,29038.8227165204,121586.56585853142,1428511.55826619,60137750920.87433,353758.29528059775
4800,35161.41312179372,30091.79290105034,114912.64859090606,1438888.436552102,60141087919.478134,306742.60794227856
4900,11689.379626541278,31401.06304975324,46546.929786599234,1433416.2397831175,60142638153.08665,255201.5877728715
5000,-40519.111469443174,32587.472483514313,36373.32404100884,1432145.6982566677,60147638574.349815,216386.2033068634
