milliseconds,Abeta,AbDim,AbP,Nep
0,9.44394049154275e-07,8.153284392377062e-14,1.2760727172007994e-18,999.9999999892556
100,3.163777071834282e-06,-6.571231683502863e-14,-4.0308581894199665e-19,999.9999999720263
200,3.472998221230432e-06,-1.96574765828331e-13,-3.2777749702621077e-19,999.9999999678465
300,4.696384018954897e-06,-1.9123000444805225e-13,7.224840766315143e-20,999.999999943313
400,7.124154337256362e-06,5.924425628670065e-14,-1.033166603583722e-18,999.9999999175384
500,8.005222064060666e-06,-1.0139514950966345e-13,2.7886497837052777e-18,999.9999999167467
600,1.159350951601678e-05,-3.132986663111812e-13,-3.222154887565891e-19,999.9999998873271
700,1.3053595004831896e-05,-2.044495548472608e-13,1.4167756093033576e-18,999.9999998658743
800,1.513390709063783e-05,-4.426593488930107e-13,4.728775527599449e-19,999.999999857408
900,1.649798714537009e-05,-3.2829870349893166e-13,1.4010061268298746e-18,999.9999998385789
1000,1.730889176975901e-05,-4.636419848855615e-13,3.3157904781100687e-18,999.9999998097514
1100,1.9748016147696835e-05,-7.460607358783889e-13,7.557316576032263e-19,999.9999997945176
1200,2.1391731215132686e-05,-7.428579414415507e-13,4.576220491891307e-18,999.9999997848382
1300,2.4290931636200405e-05,-1.047902805708754e-12,2.05038426815784e-18,999.9999997748812
1400,2.732859302692932e-05,-9.023101017832662e-13,5.434164315669639e-18,999.9999997479189
1500,2.7529895035737836e-05,-1.0270033991039892e-12,3.715570945971023e-18,999.999999727572
1600,3.0250506851277596e-05,-1.3730893057883635e-12,4.808753699641382e-18,999.9999996991085
1700,3.0668716138596956e-05,-1.752246906944752e-12,4.139391002648523e-18,999.9999996887055
1800,3.2657986553530013e-05,-1.925570270610367e-12,8.055585320615253e-18,999.9999996723376
1900,3.5970018506828986e-05,-1.955615087101628e-12,8.280429267946724e-18,999.9999996673118
2000,3.7535493857412774e-05,-2.285830213769444e-12,1.353257012808041e-17,999.9999996515763
2100,3.9317246425559506e-05,-2.429279308497352e-12,1.2998222670752254e-17,999.9999996087769
2200,4.128781686610625e-05,-2.527114750858316e-12,1.764532395830127e-17,999.999999593879
2300,4.211170023528796e-05,-2.992306147664424e-12,2.3306689483361066e-17,999.9999995941839
2400,4.361564845544122e-05,-3.252377170221519e-12,2.455078402756145e-17,999.9999995784647
2500,4.7015199436586565e-05,-3.3080902746724773e-12,2.4499355199642113e-17,999.9999995485248
2600,4.734425911102988e-05,-3.5729763883344466e-12,3.272399644275756e-17,999.9999995373363
2700,5.083979279286899e-05,-4.070800930388363e-12,3.551447690016732e-17,999.9999995017713
2800,5.222686998961161e-05,-4.4442558473030866e-12,3.724683694407503e-17,999.9999994940077
2900,5.505180242529667e-05,-4.744306147721148e-12,3.9393820847930785e-17,999.9999994794744
3000,5.598898137841073e-05,-4.7675384742284336e-12,4.479437325437697e-17,999.9999994675849
3100,5.739110085573448e-05,-5.283163263637488e-12,5.042083334512055e-17,999.9999994303561
3200,5.880576055120532e-05,-5.769374605246893e-12,5.153467884356768e-17,999.9999994318935
3300,6.112992713305081e-05,-6.134632598940008e-12,5.594839527844593e-17,999.9999994036752
3400,6.22925313869589e-05,-6.389519198526804e-12,5.983578268925904e-17,999.9999993965047
3500,6.564657739471028e-05,-6.601955774049358e-12,6.72143612491841e-17,999.9999993686778
3600,6.823956511560653e-05,-7.27742899793964e-12,7.358514163019253e-17,999.9999993616274
3700,6.828712490659225e-05,-7.522076928127335e-12,7.451082934694143e-17,999.9999993227459
3800,7.011864250615388e-05,-8.122853032949451e-12,8.31863593737012e-17,999.9999993134604
3900,7.148805388925541e-05,-8.424471545472884e-12,8.663890546900284e-17,999.99999929536
4000,7.309794792133888e-05,-8.670665835995405e-12,9.106165257810968e-17,999.9999992740729
4100,7.587936613030118e-05,-9.235541333566351e-12,9.983291732533904e-17,999.9999992752756
4200,7.714628519843606e-05,-9.54149323356029e-12,1.0155994552675328e-16,999.9999992461557
4300,8.058659096788847e-05,-9.992298613073874e-12,1.119475931058901e-16,999.999999229015
4400,8.291471040376237e-05,-1.0782362870553896e-11,1.144518955975314e-16,999.9999992087663
4500,8.496955552499817e-05,-1.1013467669417349e-11,1.1922772122737348e-16,999.9999991990948
4600,8.597113658501826e-05,-1.1755446030862606e-11,1.327210326388286e-16,999.9999991668338
4700,8.817672794133478e-05,-1.2018813353756971e-11,1.4699857703454767e-16,999.9999991482605
4800,8.871385492217062e-05,-1.2670157896975798e-11,1.621424421434465e-16,999.9999991421387
4900,9.201015289573926e-05,-1.3342909392155163e-11,1.7775679164584019e-16,999.999999117436
5000,9.213365106443326e-05,-1.3751479093250609e-11,1.9596810691147762e-16,999.9999990946187
