milliseconds,Abeta,AbDim,AbP,Nep
0,1.9102803081240194e-07,-1.5676690888478374e-13,-1.2108686547040753e-18,1000.0000000016865
100,3.2232986817338167e-06,2.0293767027524523e-13,-7.703646520353767e-19,999.9999999821174
200,4.694751743053893e-06,6.149634152646783e-14,-1.9048008978480952e-18,999.9999999659049
300,5.466087616420201e-06,-1.9202360667960725e-13,-2.4833255355921e-18,999.9999999562473
400,7.90804829147058e-06,-2.429690333583657e-13,2.592504534338997e-19,999.99999993367
500,1.066130757291982e-05,-2.917505128335792e-13,-1.5891819688457598e-18,999.9999998998287
600,1.0691855704334018e-05,-1.5851304710219814e-13,2.5069656409735376e-18,999.9999998895381
700,1.364450848482313e-05,-4.084638132301363e-13,8.592688199716586e-19,999.9999998619393
800,1.3823061810607247e-05,-4.107570035512476e-13,-8.768625732060791e-20,999.9999998610652
900,1.7764219241150043e-05,-3.7387732967412157e-13,1.4523384787310216e-18,999.9999998393048
1000,1.7713489965163715e-05,-4.0496201941727457e-13,1.2175691651485502e-18,999.9999998249974
1100,1.9439126630778398e-05,-6.009608395026353e-13,-3.9114335115936696e-19,999.9999998146559
1200,2.1077335089456184e-05,-9.789945874907056e-13,5.190093871406356e-18,999.9999997909558
1300,2.361061811617621e-05,-7.73084826942906e-13,8.879884792673546e-19,999.9999997660874
1400,2.699275370944506e-05,-1.162186720665387e-12,5.635934091415759e-18,999.9999997488793
1500,2.8817926154939323e-05,-1.3195534232486934e-12,7.604134637371183e-18,999.9999997331565
1600,2.8652823351936383e-05,-1.5716487465605646e-12,7.62184089472137e-18,999.9999997206081
1700,3.0500722426461524e-05,-1.6894383347256239e-12,4.136341806420556e-18,999.99999969554
1800,3.4011659979063374e-05,-1.8166267738932518e-12,5.1152943252445185e-18,999.9999996835289
1900,3.4947434946753326e-05,-1.8159448592710011e-12,1.2076326012590047e-17,999.9999996526827
2000,3.7894371851745535e-05,-2.0789423077195865e-12,1.0499596383272032e-17,999.9999996416976
2100,3.979345004963761e-05,-2.573262669330997e-12,1.253492018853338e-17,999.9999996173747
2200,3.96034468961867e-05,-2.6478850893340835e-12,1.630582549016011e-17,999.9999996101742
2300,4.3548925984924443e-05,-2.848805045502958e-12,1.9893746630398597e-17,999.9999995805091
2400,4.5023869524177174e-05,-3.1068865354589827e-12,2.3664647639885682e-17,999.999999555343
2500,4.655137002043058e-05,-3.4597641274574895e-12,2.7158685675450804e-17,999.9999995496526
2600,4.796002612066186e-05,-3.5439159656284332e-12,3.144704964451884e-17,999.9999995267748
2700,4.90272885448533e-05,-3.938323877695501e-12,3.10802985336338e-17,999.9999995216948
2800,5.255629802116797e-05,-4.216370375828855e-12,3.557268966166797e-17,999.9999995021243
2900,5.273711261120252e-05,-4.495481453490852e-12,3.9673829804010195e-17,999.999999486322
3000,5.593028591051331e-05,-4.971263603973498e-12,4.560998811826188e-17,999.9999994705773
3100,5.671930071896995e-05,-5.424231216756426e-12,4.8579389079669685e-17,999.9999994390417
3200,5.9730453297527626e-05,-5.61034646595374e-12,5.126520817622521e-17,999.999999428521
3300,6.1021987667852435e-05,-6.165589854293476e-12,5.994825763361816e-17,999.9999993998979
3400,6.263119676182343e-05,-6.507653504984662e-12,6.169452092590518e-17,999.999999394285
3500,6.578851148819352e-05,-6.51193892516304e-12,6.74512020323004e-17,999.9999993782278
3600,6.603943600375974e-05,-7.1805865585591866e-12,6.939788177187216e-17,999.9999993561662
3700,6.844747566652786e-05,-7.607583428813724e-12,7.666978464154152e-17,999.9999993285769
3800,7.145902984103564e-05,-7.868552167479942e-12,7.977141758719922e-17,999.9999993068462
3900,7.369845792051443e-05,-8.188012107394978e-12,8.689063771144468e-17,999.9999992947463
4000,7.432763398708266e-05,-8.721476911212302e-12,9.158026789255584e-17,999.9999992779965
4100,7.706688356055932e-05,-9.381768336548564e-12,9.995047264638935e-17,999.9999992498124
4200,7.832811658073256e-05,-9.474411456629078e-12,1.058152370218527e-16,999.9999992491881
4300,8.128961539363534e-05,-1.0287312981486215e-11,1.1193016610676134e-16,999.9999992149628
4400,8.295658195021599e-05,-1.0705731664952901e-11,1.1390394243886024e-16,999.9999992199223
4500,8.266245380867273e-05,-1.1071104918059405e-11,1.2346552756193727e-16,999.9999991979148
4600,8.515417294941479e-05,-1.1735446298137221e-11,1.3604080589853283e-16,999.9999991845085
4700,8.626738879534448e-05,-1.2277610439275728e-11,1.4758072970623438e-16,999.9999991501642
4800,9.006426006785668e-05,-1.2550710609349189e-11,1.6341024110384247e-16,999.9999991432637
4900,9.033875001853449e-05,-1.3051025266448438e-11,1.8219606124343582e-16,999.9999991204759
5000,9.382979890400461e-05,-1.35245424499639e-11,1.99178316856279e-16,999.9999991046382
