miliseconds,Abeta,AbDim,AbP,Nep
0,1.8763764732903412e-07,-5.3650686445650926e-14,5.858144338688312e-19,999.9999999979951
100,1.3952081207713366e-06,-4.127862630466766e-15,1.5927889707162678e-18,999.9999999763135
200,2.6751980158403663e-06,-1.4136578678011707e-13,-1.609103817508354e-18,999.9999999583714
300,4.329113005247723e-06,-3.8957657297130074e-14,-1.7705932123461085e-18,999.9999999525113
400,7.4081439119522234e-06,-4.226528463795353e-14,-1.6509398636208415e-18,999.9999999212838
500,9.62387166709613e-06,-2.352925978806573e-13,1.110542695088167e-18,999.9999999220993
600,1.1621955168527212e-05,-2.1559151367645705e-13,-1.2023024283471125e-18,999.9999998980718
700,1.2348088535008595e-05,-3.576960182943677e-13,2.242028775743905e-18,999.9999998670297
800,1.5972253762929336e-05,-2.183012203144995e-13,-1.7440551521330025e-18,999.9999998666506
900,1.6707544272217954e-05,-6.472272440923581e-13,-1.396554984817781e-18,999.9999998384109
1000,1.9772109145866373e-05,-5.638943638047993e-13,1.0761333314996756e-18,999.9999998147389
1100,1.9452892679689696e-05,-5.983961397486931e-13,3.69885164581289e-18,999.9999998028953
1200,2.3668930175561326e-05,-8.205179644917308e-13,4.332239485657508e-18,999.9999997752151
1300,2.5249752022584618e-05,-9.54511988354807e-13,4.4220314629999176e-18,999.9999997728645
1400,2.6365028230326482e-05,-1.0288911252830463e-12,5.7577631241546924e-18,999.9999997372487
1500,2.7553861658957247e-05,-1.402027857552189e-12,5.084892465577918e-18,999.9999997385265
1600,3.0689314987736534e-05,-1.4887507858873394e-12,3.716738173610131e-18,999.9999997096622
1700,3.1156442717884126e-05,-1.5450912084185484e-12,4.912760570791286e-18,999.9999997034423
1800,3.480944326633158e-05,-1.610474910863529e-12,9.473443808349872e-18,999.999999685968
1900,3.6359802130725904e-05,-1.7820504187328882e-12,1.239993888980288e-17,999.9999996538355
2000,3.602233248218862e-05,-2.0790514301182097e-12,1.0089939826499519e-17,999.9999996510995
2100,3.955800339852802e-05,-2.2497048020530832e-12,1.539675973688863e-17,999.9999996325462
2200,4.0661531622491616e-05,-2.4564130468666186e-12,1.6435090921938195e-17,999.9999996047464
2300,4.312636571819674e-05,-3.0022615285715383e-12,2.0202565195967345e-17,999.999999582629
2400,4.401852107054637e-05,-3.0788057688422763e-12,2.193494034786679e-17,999.99999957984
2500,4.773874723231629e-05,-3.2164562812456943e-12,2.632601354673182e-17,999.9999995526771
2600,4.731828713275178e-05,-3.660193683575011e-12,3.2195014895523023e-17,999.9999995379633
2700,4.981857421555206e-05,-4.0204716427279235e-12,3.5064184374586435e-17,999.9999995097866
2800,5.326587597203534e-05,-4.448989579533163e-12,3.6379057729003833e-17,999.9999995061105
2900,5.4820250493190874e-05,-4.571161026335102e-12,4.104545093584148e-17,999.9999994838764
3000,5.679787729042586e-05,-5.061197034254673e-12,4.293279092208479e-17,999.999999447876
3100,5.800099149940531e-05,-5.411455623205797e-12,4.6845223553979895e-17,999.9999994427283
3200,5.99020278753489e-05,-5.455230504288437e-12,5.59942984756397e-17,999.9999994247215
3300,6.194168971774812e-05,-5.777429621808831e-12,5.587101289096431e-17,999.999999419244
3400,6.304568232201316e-05,-6.356832951056342e-12,6.358855543134377e-17,999.9999993942849
3500,6.621030315334037e-05,-6.872562121357684e-12,6.745782500484989e-17,999.9999993722774
3600,6.626954772091864e-05,-7.2046788446933566e-12,7.34456764631665e-17,999.9999993474298
3700,6.85880164117026e-05,-7.523449086446934e-12,7.666622364974412e-17,999.9999993433125
3800,6.98746304464773e-05,-7.746655721100472e-12,8.090619359891393e-17,999.9999993209597
3900,7.206733383797456e-05,-8.481802692716243e-12,8.666081889890626e-17,999.9999992988505
4000,7.31985862382006e-05,-8.727494417188218e-12,9.361784645394299e-17,999.9999992854987
4100,7.504282667460619e-05,-9.227806424584789e-12,9.77895148530689e-17,999.9999992732168
4200,7.67354762733667e-05,-9.54346236172869e-12,1.0493141594116388e-16,999.9999992503526
4300,7.908194208661003e-05,-1.01251617878767e-11,1.116027032806093e-16,999.9999992225278
4400,8.253538911472779e-05,-1.0813630427370392e-11,1.178331088273635e-16,999.9999992157356
4500,8.237057598898035e-05,-1.1146589632872525e-11,1.2176911461645257e-16,999.9999991894796
4600,8.568674874374488e-05,-1.1385519248939518e-11,1.337792158919056e-16,999.9999991617916
4700,8.764644416783872e-05,-1.193563264059242e-11,1.478992804721449e-16,999.9999991456837
4800,8.920679854981803e-05,-1.2822234181237965e-11,1.6348197542445508e-16,999.9999991393126
4900,9.104400725291872e-05,-1.3211704573666995e-11,1.8166225811644282e-16,999.9999991046549
5000,9.277788011907477e-05,-1.3814996814352215e-11,1.9923178138666784e-16,999.9999990921486
