miliseconds,Abeta,AbDim,AbP,Nep
0,3.319543701267533e-07,-4.0162007589694814e-14,-2.7616822504010635e-19,999.9999999977373
100,1.4059871063012854e-06,-2.5635133574769228e-14,-1.2377048419543055e-18,999.9999999813211
200,4.560789930614789e-06,-4.512756378640492e-14,1.6006345578688295e-18,999.9999999560405
300,4.430498022456147e-06,1.604175314635945e-13,-9.530412604879494e-19,999.9999999380452
400,8.054373248173984e-06,-1.4237989602573738e-13,1.4121921172786613e-18,999.9999999288899
500,8.998674618333133e-06,-3.2880654070262463e-13,2.188591528500423e-18,999.9999999016399
600,1.1737953726332443e-05,-1.3977192820218099e-13,-6.447363851711922e-19,999.9999999009164
700,1.2369697937990448e-05,-2.2661284692961445e-13,7.961447861593631e-19,999.9999998755632
800,1.3744580179892235e-05,-5.596300309180743e-13,-1.1541129822495666e-18,999.9999998497568
900,1.7972605032302227e-05,-3.752725227373794e-13,-8.82695098889953e-19,999.9999998302483
1000,1.9654988140766733e-05,-7.103870006331327e-13,5.4605455183959995e-19,999.9999998223617
1100,1.940792048263811e-05,-7.871718720357517e-13,2.106382366078331e-18,999.9999997967506
1200,2.235487378964463e-05,-6.674162746089276e-13,2.9617446833661753e-18,999.9999997721246
1300,2.3344808182412224e-05,-8.206418469875494e-13,5.021514095702592e-18,999.9999997665434
1400,2.545313876545235e-05,-9.691129655514499e-13,2.8012300887836877e-18,999.999999754685
1500,2.7170375220349612e-05,-1.1573694305454964e-12,3.2564474296198143e-18,999.9999997178189
1600,2.8692541003876784e-05,-1.504872683483077e-12,8.093629705268254e-18,999.9999997247909
1700,3.2487651467121537e-05,-1.6040308363448448e-12,6.786500013834473e-18,999.9999996946678
1800,3.4292786058101445e-05,-1.6827388160530177e-12,5.960512600119774e-18,999.999999678813
1900,3.550149712864877e-05,-1.9393125091955156e-12,9.06224626828018e-18,999.9999996644766
2000,3.7472134256437974e-05,-2.095200255923001e-12,1.1494582779615069e-17,999.9999996420099
2100,3.793798823198959e-05,-2.393016698742023e-12,1.302913821332941e-17,999.9999996231745
2200,4.161657601439787e-05,-2.7385314414588816e-12,2.0286814928433453e-17,999.9999996168984
2300,4.297861628733552e-05,-3.0424958253996446e-12,2.1238152798140446e-17,999.9999995852861
2400,4.419891155438303e-05,-2.9922464478220996e-12,2.173359831091207e-17,999.9999995548671
2500,4.7160771924543236e-05,-3.5771628446588493e-12,2.6139140730231005e-17,999.9999995614228
2600,4.856872533660719e-05,-3.8360969025097835e-12,2.931039113482304e-17,999.999999519609
2700,5.0421323023258645e-05,-4.106818002607899e-12,3.584953282140668e-17,999.9999995033264
2800,5.180291173232798e-05,-4.445959727271511e-12,3.946178626680766e-17,999.9999995022174
2900,5.2693866266546375e-05,-4.664226631300281e-12,4.2075869182366616e-17,999.9999994902671
3000,5.4787755806451275e-05,-5.025110314745163e-12,4.543547339302385e-17,999.9999994531637
3100,5.761152220358893e-05,-5.137457163779745e-12,4.922379724942575e-17,999.9999994407159
3200,5.909874611775221e-05,-5.5749321055480405e-12,5.561812437391583e-17,999.9999994363988
3300,6.0440360684704886e-05,-6.050187435568284e-12,5.664137891483416e-17,999.9999993977613
3400,6.42749203614078e-05,-6.279086350644816e-12,6.488047236366081e-17,999.9999993896145
3500,6.400269031613253e-05,-6.636673970750612e-12,6.479062659619596e-17,999.9999993771263
3600,6.611952395246518e-05,-7.021708646619684e-12,6.979160657410009e-17,999.9999993496176
3700,6.912048265805475e-05,-7.450319187119177e-12,7.726969446378758e-17,999.9999993449705
3800,7.024547961565988e-05,-7.736710961691767e-12,7.983646121009171e-17,999.9999993143139
3900,7.18570221058441e-05,-8.286980862394179e-12,8.773397768202001e-17,999.9999993029634
4000,7.443943726254107e-05,-8.614135217697498e-12,9.451790571860808e-17,999.9999992899008
4100,7.586894672648715e-05,-9.401295096690858e-12,9.725511576304649e-17,999.9999992735429
4200,7.696668487284028e-05,-9.529534390716757e-12,1.0368112309333796e-16,999.9999992386515
4300,8.109521405700027e-05,-1.009429331846574e-11,1.11174969050787e-16,999.9999992242617
4400,8.164582980296162e-05,-1.0681258717749663e-11,1.1569269577622483e-16,999.9999992202722
4500,8.477590589559468e-05,-1.0974172312364082e-11,1.2252622473269863e-16,999.9999991890097
4600,8.519453832204589e-05,-1.1473140524029957e-11,1.3244177546847448e-16,999.9999991602723
4700,8.850527331864507e-05,-1.2070454326412143e-11,1.4742497197093062e-16,999.9999991410564
4800,8.850607804296624e-05,-1.2607478036732716e-11,1.6376827620218173e-16,999.9999991298097
4900,9.001737602148113e-05,-1.3172843613823396e-11,1.8288132735771398e-16,999.9999991168308
5000,9.23207180477615e-05,-1.3597806085119776e-11,1.9415972619472107e-16,999.9999990926251
