miliseconds,Abeta,AbDim,AbP,Nep
0,3.3961764479455354e-07,-1.857590395232542e-13,-2.4078478733589235e-18,999.9999999947737
100,3.055398734410536e-06,1.019738688028323e-13,-1.1654625551893958e-18,999.9999999695139
200,2.7523468875996945e-06,3.169698265070569e-14,-6.300329846174663e-19,999.9999999727576
300,6.237409236826424e-06,-1.9673675611173058e-13,-2.179516245373491e-18,999.9999999387243
400,6.206322369018993e-06,-1.6196168419143993e-14,3.018173164189472e-19,999.9999999341469
500,1.0643455637206009e-05,2.2336669409422366e-14,2.842219250500645e-19,999.9999999180541
600,1.2281695298179525e-05,-3.156059646148079e-14,-1.5137275713456235e-18,999.9999998925094
700,1.3412167213877815e-05,-4.133107988098359e-13,8.434855241876083e-19,999.9999998753929
800,1.4801035606486294e-05,-1.4169391340095697e-13,-1.6427500075047774e-19,999.9999998426866
900,1.564657696437778e-05,-6.322982817342465e-13,1.63006482171229e-18,999.9999998316729
1000,1.9423300005027805e-05,-4.453184800017376e-13,2.184861276910946e-18,999.9999998321998
1100,2.1077690214262712e-05,-7.912537603856474e-13,2.3888565925695787e-18,999.9999997978148
1200,2.15243515853637e-05,-9.987879205051567e-13,3.473262524279625e-18,999.9999997884389
1300,2.4528478984291923e-05,-1.0862118187853023e-12,5.497442222192836e-18,999.9999997549046
1400,2.5117298345182798e-05,-9.362773173475563e-13,5.551521990210191e-18,999.9999997590559
1500,2.8000528127690607e-05,-1.109290779036045e-12,6.444781924729729e-18,999.9999997248517
1600,2.9185955731061013e-05,-1.3546267732337446e-12,7.603990142803634e-18,999.9999997086644
1700,3.179448252621523e-05,-1.5220217241085354e-12,6.483227852379317e-18,999.9999996896544
1800,3.4576541178416996e-05,-1.613893245364495e-12,5.9028898937334394e-18,999.9999996745818
1900,3.639409476114248e-05,-2.1724385190005587e-12,1.0523599368635478e-17,999.9999996490013
2000,3.631851302258362e-05,-2.1169353710435356e-12,1.1786761870629377e-17,999.9999996428539
2100,3.778990574378283e-05,-2.3342773531642232e-12,1.2723109344696635e-17,999.9999996186594
2200,3.9591126759754915e-05,-2.671703070934931e-12,1.6799874865418574e-17,999.9999996170387
2300,4.3397582074016114e-05,-2.8036582208984964e-12,2.2937371243371148e-17,999.9999995954372
2400,4.418096305920449e-05,-2.9723793005104426e-12,2.396634813432143e-17,999.9999995552605
2500,4.698975239812167e-05,-3.286203759363663e-12,2.741646648308222e-17,999.9999995481121
2600,4.753027769358248e-05,-3.81249427120905e-12,3.291751591509028e-17,999.99999954218
2700,5.059020384767385e-05,-3.97372265648549e-12,3.1066097418181564e-17,999.9999995099585
2800,5.25161989488225e-05,-4.476154775168731e-12,3.542440473392416e-17,999.9999994997797
2900,5.2834593069183854e-05,-4.7879157593680854e-12,3.9730388759094024e-17,999.9999994810584
3000,5.707634646933072e-05,-4.9987098560493775e-12,4.391593631913112e-17,999.9999994675763
3100,5.8373483840037275e-05,-5.4166038634694666e-12,4.972047121183905e-17,999.999999436205
3200,5.839705317608423e-05,-5.542876197749094e-12,5.09489198531134e-17,999.99999942256
3300,6.04874149016276e-05,-5.7693255701001996e-12,5.690006478341222e-17,999.999999399076
3400,6.203114966383444e-05,-6.180291377682925e-12,6.262606475876985e-17,999.999999378044
3500,6.626673602069062e-05,-6.587478266298225e-12,6.891704317644608e-17,999.9999993770806
3600,6.574829525961284e-05,-7.303799058633698e-12,7.140296403550763e-17,999.999999339694
3700,6.859315349453761e-05,-7.42150645595295e-12,7.703565293479498e-17,999.999999326423
3800,7.135587305831218e-05,-7.961405246208344e-12,8.246786788964111e-17,999.9999993218593
3900,7.236908354544834e-05,-8.269502926086223e-12,8.511813458807616e-17,999.9999993084438
4000,7.356167347340439e-05,-8.732212932640577e-12,9.482558064697017e-17,999.9999992683922
4100,7.750139916716327e-05,-9.038474850182195e-12,9.746436750250998e-17,999.9999992714831
4200,7.807130297647527e-05,-9.76837226973023e-12,1.035587194881073e-16,999.9999992522028
4300,8.072239469045261e-05,-1.0024018543683724e-11,1.1063623762341846e-16,999.9999992208017
4400,8.074437619813831e-05,-1.043338104991831e-11,1.1780352976967368e-16,999.9999992070601
4500,8.349820566518953e-05,-1.1110221088464487e-11,1.2431115064549434e-16,999.9999992004892
4600,8.451833837037133e-05,-1.1748822069132448e-11,1.3435492737832154e-16,999.9999991822631
4700,8.678059357925582e-05,-1.2055607520067473e-11,1.5034495496316847e-16,999.9999991504569
4800,9.045692316545475e-05,-1.2610481149041192e-11,1.6667783159752944e-16,999.9999991298729
4900,9.18548455562896e-05,-1.2995492126049495e-11,1.7890435299128452e-16,999.9999991242805
5000,9.294996147228722e-05,-1.3734744009890158e-11,1.948847444417742e-16,999.999999103424
