milliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593443.6020118368,7783.6243934050335
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596527.738141716,7801.04068431033
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594606.0920960702,7778.735903430425
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598216.291356099,7829.408923267639
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598131.1707330819,7859.44245622422
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598340.0550203468,7881.203693950582
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599379.0860692121,7889.808998632975
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602139.2984394622,7914.907908694548
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601279.04860508,7939.454179519086
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604934.7024535625,7936.1499899945675
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605577.5473556503,7965.631180185818
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604817.8132435865,7996.326462773292
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608023.9461450736,8010.723676815199
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609635.062822634,8022.74464944273
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607834.7178318026,8098.023063055316
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610051.732689426,8100.68016983973
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612765.1284622485,8150.383255437885
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613979.3534525732,8117.797407084822
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612794.7351830258,8151.802717272375
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615163.6156013093,8164.828946367293
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614522.4963221219,8197.612452649742
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615973.2915868305,8252.611849626745
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617840.8213279545,8259.325569588926
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618451.5312982765,8294.414528689556
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619315.5567270406,8326.074595547483
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622283.5511713205,8316.861086768811
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622650.2350686793,8381.308011222107
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624884.5271934756,8363.646287389707
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625771.8351038313,8433.12970234829
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626445.4139586,8450.961766729752
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627454.2774698419,8441.886801777457
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628320.7958613833,8485.511115050464
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630673.4575780164,8479.722644317075
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631378.7933498903,8519.363962325619
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632896.3136484933,8546.708732604708
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631496.2207361055,8552.073573975234
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633302.1492861465,8627.16150911296
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636374.330700987,8633.050919309731
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637485.2254258578,8669.441251481236
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637238.3944920825,8656.195130356224
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639430.6707851138,8662.147935918374
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640198.6843928648,8692.674072082164
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642558.6955287822,8763.49459288404
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641009.9879102949,8785.097165159446
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644776.5505391293,8807.75116367031
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643073.9277013345,8792.921598125331
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644852.5077417403,8810.16247790189
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648302.9081200656,8881.777240609086
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647452.5855438652,8878.757515799942
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648163.5211017161,8936.124373099776
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651481.917790407,8952.103411165772
