milliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408280.3915887795,3966.452739920709
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411011.60722947365,3988.02358495487
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409675.45821164706,4020.523849081584
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410826.4411480435,4032.167253720813
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412819.82490478974,4030.1399780855936
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413119.0409538472,4051.670487369067
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414318.5471929382,4083.034702630773
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413660.59990471724,4104.841833207734
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414402.0224439504,4086.8002811847914
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416802.54717963317,4103.031411500252
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416801.96725659276,4147.269808499245
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417653.5091491195,4155.8361967079145
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418110.7651284054,4149.9702751933955
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419783.3941530438,4166.570001462975
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419122.6134306377,4186.4126549490165
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421304.9438721011,4225.01617401888
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420731.84650030336,4248.040055574618
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421657.04700561945,4261.836526648392
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422861.38982535125,4244.934005946124
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423741.31986552646,4275.902749358816
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425076.73682790913,4284.377146686833
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425534.69346138637,4307.931141709907
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426524.3495178229,4329.764168379016
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426853.4227524362,4361.054397174606
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428753.8590438615,4350.6819276157585
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428819.85413766827,4384.164148073235
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429012.49419284204,4372.5113348228715
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431005.7228383368,4419.857250716464
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431883.67752805137,4421.614483432803
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431356.2440732017,4425.062508154219
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433664.8942088166,4440.569604307966
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434997.7299332777,4496.712339743499
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433670.07212627877,4476.6027364545835
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434702.67714283284,4514.914718504141
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436276.9191690374,4527.141316368622
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436428.48056906986,4546.4682166037055
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437299.84848948766,4572.878232814825
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439706.8605683474,4570.977258684016
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439479.87381015706,4585.623944636547
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439839.82778268453,4600.228668377577
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441433.24024179036,4648.038966343806
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442679.96081146336,4640.441125985983
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442654.83626192843,4679.531016528485
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443972.3253291639,4679.600248264257
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443623.20101646165,4680.221104816397
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446310.3289725194,4711.671718393301
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447199.5061688659,4740.641846186325
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446495.48575603636,4734.98838837383
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447415.67793768435,4768.607402776776
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448215.3477688579,4775.046368002799
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450182.8454204644,4810.564221310161
