milliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337947.81540840986,2548.8846768267613
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339095.206921972,2576.542558269882
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338867.2032088598,2574.6674309733044
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340183.42248479987,2608.1351358930856
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341115.35717532365,2599.5576977889255
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341188.7942760201,2639.232851816348
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342324.42307257693,2630.293621073318
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343579.07270653674,2632.136324868271
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343267.5704504373,2662.297834427085
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343635.55222999764,2666.1641338418644
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344083.6980055822,2701.009856352534
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345830.6987276971,2716.785840894185
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345800.67027544655,2703.368101824658
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346037.31358489237,2736.612214215109
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346504.1625605857,2739.0891084369528
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347409.52294303867,2765.0892834062747
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348470.45831955655,2777.970855002688
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349956.7398900199,2787.722734449774
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349661.5309896214,2784.2161721476614
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350305.86788787314,2808.820116818321
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350551.38857385074,2814.687543336711
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352786.51379817777,2823.549840921012
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353051.9579418381,2831.2511689462667
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354000.27306385594,2870.825121582312
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353529.9433357159,2873.777509080206
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354268.16963360587,2881.4368552807437
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355877.2532984363,2883.0900318695553
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356953.2815122109,2901.997125140036
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357334.2483033446,2920.4106619215986
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358256.6879584294,2923.7214506714076
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357847.383424872,2944.544004210438
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357934.1215856764,2957.7158159020487
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359373.03650042706,2990.986780175394
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360681.35753553646,2999.746647783122
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360765.4727732775,3005.5408671787877
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361286.86030719575,3031.119096325624
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362951.40876927285,3025.124878829968
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362055.22629238205,3066.1770072708514
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362812.6015428304,3053.149222751704
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364390.072321501,3071.6761334452317
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365714.25724506396,3087.6854896040554
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366349.0673254789,3098.4772863407884
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365565.87708649226,3112.929217603631
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367911.93147032545,3138.860127064925
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367499.5577547789,3131.3907245478954
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369129.0962922449,3148.7177725142856
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368523.7049449688,3173.172206133614
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370566.9011281192,3182.921762146502
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371358.6535831829,3192.6138892645117
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371397.7674518815,3210.4614660024954
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371739.58716174006,3236.5471060581413
