milliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493823.93068217684,5712.694908447987
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493890.17388739757,5724.653189395958
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496245.4266078864,5738.870184386465
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495343.5524926889,5732.199635682594
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497431.6632684643,5771.816195876525
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499634.7411836851,5761.314042191617
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499657.80558755965,5826.309122460125
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500760.74665930204,5808.372424670604
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502026.15434574115,5830.979753639745
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502466.4632129173,5852.533996340161
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504380.1358714742,5909.365923177623
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503338.97472436266,5888.660293173327
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504658.08114320866,5924.805424654987
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506001.76241461735,5932.117511639211
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507942.9187933095,5976.509682681663
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508939.1619542631,5979.870940048577
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509030.29982585646,5986.646406907861
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510889.0318211706,6044.735620136946
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509601.00896198326,6034.346613861333
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512203.2027151203,6072.121102172633
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511604.24499225477,6079.080495810862
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514545.50136743713,6079.979356509962
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514778.78174012335,6116.011250177185
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515845.4941459075,6155.236883529798
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516007.131196104,6159.051803350125
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516587.2633800613,6186.2289637190115
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517423.3413964075,6205.519604642464
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520218.0369741445,6207.567919746508
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520746.8753703682,6234.53456622627
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520960.78175655566,6278.176997827685
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521530.96296137566,6268.76847943235
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522761.24835735955,6294.185295290469
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524949.0305250883,6317.799833417099
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526072.6640993746,6352.277102889817
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525068.4958792975,6378.480446897933
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526705.0683308886,6348.584901329376
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528646.2211230646,6377.393848775153
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528209.3843068767,6416.813799088589
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528836.0635390114,6446.499887732558
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530713.0536326508,6472.634252499325
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531059.1910395162,6481.693600478037
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532689.6246475463,6499.792907807473
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532709.5554222486,6530.699334494321
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534040.7054719406,6519.372889435223
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536574.1885870966,6579.060962616593
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535774.5601846823,6598.257875375433
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538624.4190363069,6611.766559525233
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539982.6050311616,6627.96309708554
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540497.0250358478,6623.100187515297
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541025.5844134546,6649.833168184753
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541787.5231991715,6652.860786708133
