milliseconds,Susceptible,Exposed,Infected_Symptomatic,Infected_Asymptomatic,Recovered,Pathogen_0
0,93321.69543728551,1382.9206758256314,-44.993964462010865,45.42925713640236,12.409103484804506,507.7448155207432
100,91512.913511773,2178.119898728921,168.36854546923934,46.51948469163409,6.479102470245283,490.4547620241277
200,90338.93530784051,3872.2590831833777,82.46292974933357,71.28777063165931,9.6468728497594,475.29376446541744
300,88411.84287216791,4480.783231959898,134.88283548928482,47.921689026325474,6.53235953981806,468.5856753808514
400,88024.18939588891,6087.344054454374,141.61028944068985,90.56142537746028,0.020162005672337724,485.3236659163737
500,85797.84435991978,7315.450053831095,231.76026593960842,84.01934786587383,6.258907070376384,478.06411486756986
600,84396.86224118543,8836.915181160088,223.8182123052492,170.80143346835104,14.663090482206002,469.7236490113612
700,84330.14506911047,10165.146502995076,280.7690820457515,158.7707224745956,23.118726741365585,471.50975275159584
800,82196.13527382734,11070.837316355626,275.9583906332343,179.93020583445792,22.43891826118044,449.3889780044926
900,80773.28929091712,11887.014106722421,380.9436692460959,211.32835805720578,30.35342112923344,464.56327818848945
1000,80485.14444488475,13170.270370183815,563.2572701995614,253.7896241461513,27.455907913101782,431.2006471169244
1100,78780.20168465839,14086.09702216638,521.681318275547,233.2305979468784,20.19103951305167,435.1240912112931
1200,77629.62418394485,15277.245377855028,703.8436481946143,323.7708538687718,41.52966341570632,445.6389779980028
1300,76418.26626768385,16787.864749664914,754.0021346207038,382.78252527087204,39.275058802193165,453.70943008146344
1400,75797.32528995305,17159.769168567997,816.0476956787809,437.3436545129747,44.336042155811214,438.3349949720454
1500,74010.84713852224,17941.883970077874,911.5067815353257,486.7292621738465,42.21267323088564,438.57119650582786
1600,73484.50352418797,19941.83628882023,1052.9834586767795,481.9023357906782,56.04056269848794,447.27589527060564
1700,72341.3271341866,20766.097173041107,1219.206461808342,581.3921655930372,81.47664693555811,475.98461762913144
1800,70828.05312849813,20886.723259119324,1250.1492353625101,550.9432908197772,74.82316808815806,461.75218684730294
1900,70069.24581040285,22745.14317754555,1517.5899262974945,642.7175898990331,93.61431080974552,466.2450506670055
2000,69031.10192419938,22661.993044084713,1702.6032963055577,672.9290275344845,106.11806576937643,496.54362595109325
2100,66962.13534468302,23419.934683514202,1799.1350430657917,765.8898884867145,108.52220982618047,506.8688394598046
2200,65907.72947655723,25212.415714928105,1784.8342399824944,829.0629886755121,138.493614821233,513.6667456003274
2300,65554.54286311427,25407.354757295092,1948.8391880319887,867.0288776260813,136.93065859175897,541.0411266102618
2400,64373.10032491013,26737.86418148199,2276.2355614739713,973.4953364420004,177.73731956133176,537.8191256550657
2500,63180.929519382575,27176.412991439323,2329.375710673061,985.4441793281023,168.1196979337722,578.3786396593617
2600,62071.06588756094,27675.527584027972,2561.568108309035,1118.254083621929,216.70116068352004,601.578020996467
2700,61476.36898931106,27849.82484961546,2632.689097526402,1174.0132369404496,234.9440955161652,598.5758278825385
2800,61177.952753915764,28877.039551319544,2825.862377899359,1170.884277412446,237.28817055454445,630.8909420879658
2900,60090.50693991919,29930.56544918285,2939.972683389722,1303.680044824929,260.40402985319645,659.3361390399638
3000,59127.58760679061,30274.826738937358,3091.659154026195,1368.3944456117742,309.1617225807155,693.5350206251187
3100,57328.79723124125,31263.22753431583,3385.183945319052,1426.3754044263155,325.99457484421515,717.744912285832
3200,56860.23027895942,31945.98712108847,3619.2280641126695,1512.2240876378817,359.15791939788875,732.9186658947808
3300,56752.4574247021,32029.13675528299,3797.2209635174922,1540.0947031683666,360.33235087959315,777.9505039157008
3400,56076.304916692745,32798.16464221714,3987.329453148268,1668.3204954752707,408.18525030719564,784.2811599491556
3500,55092.033614180385,33144.25555791992,4197.953068868925,1737.630180383729,436.0710197167839,826.2771614719696
3600,53268.31794599867,34215.741364074114,4214.442548479594,1785.0391898406585,480.9928420094125,856.2058929103742
3700,53629.617394466164,34640.467685778574,4362.615293323193,1922.6340911618022,510.695723607624,893.8589015519782
3800,52056.97432040903,34366.8886647473,4693.965893903255,1951.1553616757653,540.0486022736278,935.8480239182153
3900,52040.53390709838,34939.113154588624,4892.208894642031,2070.006992789417,576.1836713320088,999.3797350133902
4000,49884.60647006041,35273.13311467098,5043.911898104181,2155.4262927995574,628.3316474142373,1039.5159515922123
4100,50244.66575538506,36560.2118662577,5149.078888680198,2217.897468009167,667.3101514214909,1090.693743431039
4200,49207.9989887067,37127.02368659235,5375.84658887182,2280.7357158433274,692.0162469666981,1119.4743898735735
4300,48592.154712502066,37363.31803334505,5707.7736991707725,2342.691998291081,749.6369983478203,1179.5290062847655
4400,48194.320288880874,37949.62631360947,5877.527195346671,2479.918517808692,797.668193816204,1226.3545140402791
4500,47210.25441278548,37847.34662983498,6019.956438237291,2518.7187589445134,832.1677126353079,1282.208394102525
4600,46221.48866100927,38095.655191403275,6341.900738931102,2639.160772235105,884.5594404968683,1311.041642673077
4700,44934.45870485733,38275.74383951332,6478.049198827242,2735.916781279513,938.5721787475898,1372.049728270294
4800,45422.752733421024,38813.72656383173,6760.432961890043,2762.4272397513405,996.5412603192859,1426.7328635574293
4900,43756.53624199512,39084.50367671207,6937.77209979597,2893.172346539266,1039.0769469397903,1486.7018212266692
5000,43032.54852575931,38931.64470106987,7106.041704487943,2943.1686842119343,1104.0710869584686,1560.5442240721054
