milliseconds,Myc,AKT,AKTp,PI3K,GSK3B,GSK3Bp,ERK,Myc_ser62,Myc_thr58,GF
0,0.0015916358033367499,0.5748844232509379,0.0002085897281219794,0.9902472589626743,0.61510621879345,-0.008910980025129541,1.0250401943220728,-0.013059244821265404,-0.0018441639218980555,1.0
100,0.018354020643742582,0.0009903545588053116,0.5770350853096894,1.010313124084675,0.004328103262274646,0.566131032381464,1.0343202474640565,0.0849901419571766,-0.00040416535259465156,1.0
200,0.0033864992681936507,-0.0016327474394209622,0.5863992059549841,1.0083792539940146,-0.018718173036918626,0.6183713374757971,0.9686751186361844,0.16564298159012175,-0.003248207989253488,1.0
300,0.020524308763637197,0.021219343531175057,0.5801368579170461,1.0363647565155238,0.02707823389773581,0.618638049727676,0.9730743294592885,0.255911974067406,0.00435668105391747,1.0
400,0.012574784719083128,0.01841899528987333,0.5814348633649367,0.982291305757661,0.021218696118442276,0.5961220341148122,1.020110524041448,0.36088048595427047,0.004105103570491309,1.0
500,0.02003508964423013,0.0062514551176705,0.5889647918827036,1.011040489134264,0.0037855833073275197,0.5757978805732787,0.987989958513847,0.45695986591591786,0.0029385244072706717,1.0
600,0.010416809826764512,0.026044348909085125,0.586412246033926,1.0210344960134694,-0.01602784546408702,0.589661969634128,1.0309164246680698,0.5195218380698531,-0.003435023787847903,1.0
700,0.014813092286517282,0.020193349731706653,0.5979405737008354,1.0249740695404734,-0.02404095756663462,0.6066773385351159,1.0358924269668015,0.5913316854523438,0.0001663272549742716,1.0
800,0.0073811879819830626,0.015707061807748713,0.5691332869400297,0.964721216373413,0.023732243784737247,0.5796089437779123,1.0212899640265642,0.6854518082080825,-0.001108206563748881,1.0
900,0.0059787583029892255,0.0077081212917375205,0.5887809920687498,0.9911952568673935,0.028212243622367763,0.5711656670421703,1.03290213206933,0.7639874368964091,0.0001153530252037319,1.0
1000,0.012998260463449957,-0.006568136769603196,0.6094667125131464,0.13402760652199944,0.006805834684765216,0.569654886550049,0.08575961509194147,0.8134284584981568,0.005310583383666576,1.0
1100,0.07099095245216346,0.6125939782967784,-0.01848427766000978,0.10829316908700837,0.5728786745967719,-0.010619059146705249,0.13254967997550854,0.8000488230609439,0.015800531303263955,1.0
1200,0.14835448796412537,0.5671561315917121,0.004333977689045691,0.09973138900031836,0.5782509253091764,-0.0020559174806493523,0.13032987638149987,0.77932207280355,0.03816480504405051,1.0
1300,0.19189272951796615,0.6141424271432534,-0.001161185679116411,0.08800072642760227,0.5759913683378307,-0.010228308292777027,0.12585575174705144,0.7290514067490803,0.0471755837560908,1.0
1400,0.22277601159193866,0.605952763874345,0.036915696994701604,0.10861819937331534,0.5933402411411463,0.01173386293346978,0.12113584789268544,0.6913363984200348,0.06308224681289068,1.0
1500,0.24319698368982154,0.5991671096429297,0.03659359985626779,0.0852716833445887,0.5878927799389262,-0.0153152092537572,0.12311325524751436,0.6995741923095697,0.07456606423263236,1.0
