milliseconds,C1,C2,C3
0,1000000.0,0.0,0.0
100,1002091.895578129,801.3689963346997,0.24011369913197875
200,1004188.1663453965,1605.480749039291,0.9609108609268742
300,1006288.821450492,2412.3424148237646,2.1630775156411097
400,1008393.8700547937,3221.961161637411,3.8473016911146747
500,1010503.3213404636,4034.3441757771698,6.014274582308938
600,1012617.1845110113,4849.498662352863,8.664690629668293
700,1014735.4687906984,5667.43184475047,11.799247430795488
800,1016858.1834203324,6488.15096097872,15.41864512721699
900,1018985.3376631518,7311.663268793916,19.523587261249514
1000,1021116.9408056757,8137.976046445545,24.11478089931014
1100,1023253.0021393286,8967.096576711603,29.192933945902134
1200,1025393.530992812,9799.032175015605,34.75875987693925
1300,1027538.5367040387,10633.790165077338,40.8129736278877
1400,1029688.028613632,11471.377873315523,47.35629062845484
1500,1031842.016110248,12311.802668059898,54.38943347559198
1600,1034000.508599735,13155.071932871188,61.913127391462886
1700,1036163.515515068,14001.19307514141,69.92810168513512
1800,1038331.0462438057,14850.173463132998,78.43507904580582
1900,1040503.1102588783,15702.020539486095,87.43479484100176
2000,1042679.7170576066,16556.741768292737,96.92798811606866
2100,1044860.8761552206,17414.34462947073,106.91540063605424
2200,1047046.5970645078,18274.836601346135,117.39777388185482
2300,1049236.88926827,19138.225136979734,128.375844985256
2400,1051431.7623667289,20004.517790926588,139.85036847346692
2500,1053631.2259461153,20873.722106249803,151.8220968809679
2600,1055835.289615972,21745.845646604223,164.29178625070395
2700,1058043.9629573503,22620.895950648217,177.2601884967947
2800,1060257.255616679,23498.880614653168,190.72806523921415
2900,1062475.1772569632,24379.807249556397,204.6961806088675
3000,1064697.7375546491,25263.68347820211,219.1653007838019
3100,1066924.9462057063,26150.516940811853,234.13619488670543
3200,1069156.8129256258,27040.315295077657,249.60963498518302
3300,1071393.3474490503,27933.086215312036,265.5863960237627
3400,1073634.5595300042,28828.83739313462,282.0672558671339
3500,1075880.4589417584,29727.57653722159,299.0529952755435
3600,1078131.055541692,30629.3114305922,316.5444074685467
3700,1080386.359138113,31534.04981299524,334.5422784831902
3800,1082646.3795678176,32441.79944941063,353.04739861050336
3900,1084911.1266943107,33352.56812848108,372.0605621314056
4000,1087180.6103998786,34266.36365551385,391.58256614591426
4100,1089454.8405852104,35183.193852152224,411.61421051607886
4200,1091733.8271690225,36103.06655604695,432.15629780891487
4300,1094017.5800876832,37025.9896205276,453.20963323933694
4400,1096306.1092948336,37951.97091427412,474.7750246130938
4500,1098599.424761014,38881.018320988194,496.853282269702
4600,1100897.5364732859,39813.13973906468,519.4452190253785
4700,1103200.454434855,40748.3430812631,542.5516501159767
4800,1105508.188664696,41686.63627437901,566.1733931399181
4900,1107820.749197176,42628.027258915485,590.3112680011283
5000,1110138.1461493203,43572.52404819879,614.96610682596
