milliseconds,TGFb_R1_surface,TGFb_R2_surface,TGFb_R1_endo,TGFb_R2_endo,TGFb,TGFb_In,Active_R2,Active_Rec,Active_Rec_endo,Inactive_Rec,pS2_c,S2_c,S4_c,pS2_pS2_S4_c,pS2_pS2_pS2_c,Smad7mRNA,Smad7mRNA1,S7,pS2_n,pS2_pS2_S4_n,pS2_pS2_pS2_n,S2_n,S4_n
0,43.19763851638387,12.184631957541358,26.61030954768371,42.21297597155515,100.00435131231298,0.002855345929703476,0.034233065658036854,0.14474071885549492,0.011125528551922666,-0.0094286238787775,-0.0022440920920518306,349.31727312475755,270.7207479460926,-0.6504591319383926,0.0010516382039364668,0.030253013373604434,0.1968329202274487,3.2125147082081886,-0.005704257000635375,-0.03506688443886751,0.030941512061907428,89.54106304709646,44.647831690616016
100,30.75705141883831,0.07006526229724658,26.511033596861786,41.631569982221016,99.99351250021986,0.002500284135416593,0.5738861030370582,10.475791757537442,0.05370904710218634,1.7235296324195308,0.022595924938767477,351.08261384082357,271.27148066820416,-0.4301704163539066,0.00812779111726472,0.03025301158635427,0.19683256424997891,1.483313616031812,-0.0024157614977132285,-0.004002343920670651,-0.011846839991237784,89.4826072775963,44.56869770168759
200,29.92201509215953,0.08388359651680903,26.763876789448183,41.23052213980424,99.99355238471158,0.0007214528017934201,0.5833340302129699,10.204264106750864,0.15286652183203675,2.358757681410074,0.04105242905225471,347.3887335361925,269.73295859647993,-0.23384578696392994,-0.0018434480092790727,0.030253007831240877,0.1968321943372334,0.9077856273252718,0.012808402698692658,-0.28187751875636474,0.020844149604236945,89.33058545799342,44.626413190405096
300,29.86112717613024,0.10147778712225057,27.255727009499275,40.88018414895489,99.99204110769813,0.003450818908139055,0.6204334010954571,9.99172478976506,0.17844943777348637,2.568500993524497,0.04781747436096586,346.3761859570014,269.02089244649517,0.9994669573925452,0.009276324179839882,0.030253013021528285,0.19683305640657092,0.7033737068829028,0.004648446665187626,-0.04678357491758958,0.0073017021775584195,88.59915281386515,44.571519398214384
400,29.238898581771096,-0.09310727996662102,27.670705185648323,40.59416729159283,99.9868060247144,0.0062607470033188214,0.5979487526242167,10.368015499677963,0.2761307518974192,2.583093374770836,0.0612077632680349,345.94171413025316,271.0443190641901,-0.18907870126907989,0.012233973188045533,0.030253012249871994,0.19683213851344816,0.6348583361814437,0.009059153181845355,0.44751642720048995,-0.026332782415832926,89.00918162750413,44.639958596673075
500,28.7195803647822,0.05518611379475566,28.30823324187007,40.37785295966481,99.98076397437448,0.0058100615606436045,0.6464521607688145,10.563715933893153,0.34081380749222506,2.673500611793041,0.06856552077805972,344.81049366869195,269.45633654288883,0.9095571695288925,0.0053958667352628385,0.030253014484406492,0.19683278631196904,0.5831171224261078,0.021369835955100027,-0.1022019131909786,0.029474432682239222,88.43857576248301,44.64728079104449
600,28.247493893646134,0.10691349392786116,28.298279680630255,39.81027269571171,99.97905089318799,0.008527347432982686,0.7001169581772827,10.745824366745191,0.347550494477193,2.6590429641543145,0.07431550851444126,347.6100603993185,269.5581524540636,1.2582496771410923,0.009073730856440448,0.030253013661767022,0.19683217616784615,0.567755370504512,0.02304994589201226,0.27600360185957484,0.0015130639816366255,88.5528658103496,44.60431969174346
700,27.18890098341038,-0.0015521992096892007,28.414026356485397,39.8072721350897,99.97381791262147,0.009627490016704168,0.7238743769988847,10.979876035923542,0.38370495859690845,2.663424968229343,0.07258542910943913,346.15055897782986,268.2026766150604,1.5215044696817177,-0.00713795160367692,0.030253012493186984,0.19683213787132034,0.5881632546978334,0.017226722988858228,0.30574395118266484,-0.0011272248028397084,87.99217011653981,44.532156706844034
800,26.467642213388903,0.16229194277746362,29.06086852987763,39.396917380867094,99.97388287409838,0.0121812541457707,0.7268651682210693,11.050025617036349,0.4857866899454733,2.682125347447317,0.08512131740544587,343.7607272363131,268.4026601510645,2.3183410023899205,0.007736577994913212,0.030253009470507707,0.1968329609427954,0.5771546942297419,0.024410137190301925,-0.0895555557614719,0.0007463219204995525,88.01170181120183,44.60707767605038
900,26.04526601981281,-0.02337672396095611,29.28480025207215,39.429338802004246,99.96925536996302,0.011685812251882075,0.7142092627347237,11.042624429144361,0.5115226706545674,2.6663906293967017,0.09103801525437172,345.0939837203484,266.46980161216396,3.5508932020017685,0.008200346647743766,0.030253007868641865,0.19683228815254217,0.5689107861970207,0.036912313949065016,0.21440064979522833,-0.0024358500926776115,87.92739766138915,44.59885392978563
1000,25.970192479561238,0.027459739192873554,29.430433896797744,39.10986376578603,99.96375067697316,0.013354505051138506,0.7591758638880411,11.408224373116091,0.5512916740088093,2.702136382886314,0.0941992018660329,344.42819691570406,266.63180798179366,4.2752253154044855,0.012931663956622073,0.030253013191562903,0.1968329513679746,0.54152949395448,0.04151230053369523,0.5356655454414099,0.01901368615041369,87.89863867622391,44.595695018960754
