milliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_134_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP
0,4.98e-06,2e-07,0.0,0.0,1.66e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,3.32e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.6537053546428656e-06,8.799597822550224e-08,1.2571544313223468e-07,6.592521533276863e-08,8.689323428126657e-08,8.736089957387058e-08,4.589309288619011e-08,0.0,0.0,0.0,0.0,0.0,1.0021137235632466e-12,0.0,0.0,0.0,-1.1332851181633329e-10,0.0,1.987104205025783e-07,1.3019661391682585e-09,0.0,0.0,-5.926647552606255e-10,-3.9336809021481827e-10,0.0,2.4091049189433184e-09,1.3062461872773623e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2386641746582363e-11,0.0,0.0,0.0,0.0,0.0,-3.3723646679529854e-11,2e-06,3.307497002416555e-07,0.0,3.7061973780370084e-09,5.204184630548611e-19,0.0,0.0,0.0,2.0112840428241912e-10,1.2492976441008575e-09,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,4.3831998374224754e-06,3.898847474425854e-08,1.9553391475606859e-07,1.5420286904226143e-07,5.5695987831778007e-08,1.3667471103030285e-07,1.0758696932558381e-07,0.0,0.0,0.0,0.0,0.0,2.5280053596760543e-12,0.0,0.0,0.0,-4.861611874914007e-10,0.0,1.9689301249512155e-07,3.1387206331325832e-09,0.0,0.0,-1.5354462493717782e-09,-1.200011364874751e-09,0.0,5.892366088379445e-09,1.2719361952443737e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.173312825414691e-11,0.0,0.0,0.0,0.0,0.0,-8.598561281678827e-11,2e-06,3.2885825574030597e-07,0.0,3.7366649963809075e-09,1.3128456710515063e-18,0.0,0.0,0.0,-7.03906222107442e-10,3.1392162530223073e-09,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,4.1126943202020844e-06,-1.0019028736985139e-08,2.6535238637990243e-07,2.4248052275175426e-07,2.4498741382289435e-08,1.8598852248673515e-07,1.692808457649775e-07,0.0,0.0,0.0,0.0,0.0,4.053896995788861e-12,0.0,0.0,0.0,-8.58993863166468e-10,0.0,1.9507560448766478e-07,4.975475127096907e-09,0.0,0.0,-2.4782277434829307e-09,-2.0066546395346835e-09,0.0,9.375627257815573e-09,1.237626203211385e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.107961476171147e-11,0.0,0.0,0.0,0.0,0.0,-1.382475789540467e-10,2e-06,3.2696681123895646e-07,0.0,3.767132614724807e-09,2.1052728790481513e-18,0.0,0.0,0.0,-1.6089408484973026e-09,5.029134861943757e-09,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,4.529489838573961e-06,-1.3018308844240165e-07,2.6031541805689117e-07,4.95747215569952e-08,-5.965394528914557e-08,1.9057650449689518e-07,9.016987258732857e-08,0.0,0.0,0.0,0.0,0.0,1.2129001698017626e-09,0.0,0.0,0.0,-2.130092898674246e-08,0.0,2.0325766436885104e-07,4.444300620475269e-10,0.0,0.0,-1.6734519999802147e-07,-2.2601897493020308e-08,0.0,2.8393877245833733e-09,1.4103188186147164e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7020944308987165e-09,0.0,0.0,0.0,0.0,0.0,-1.0871269586054698e-08,2e-06,3.2312771462728187e-07,0.0,-2.01995899710537e-07,2.4887588160619816e-15,0.0,0.0,0.0,-3.2794461263313297e-09,7.659382714164729e-09,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,7.320721999040997e-06,-4.96173541059312e-07,-3.32657232429484e-09,-1.1147428248568753e-06,-3.267531592459954e-07,4.064900815656079e-08,-4.753832518484055e-07,0.0,0.0,0.0,0.0,0.0,6.592707351065832e-09,0.0,0.0,0.0,-1.1107611076430502e-07,0.0,2.4598514427226726e-07,-2.6085616633212334e-08,0.0,0.0,-8.985253085800116e-07,-1.1156132649271747e-07,0.0,-3.831147971098232e-08,2.2981486892420148e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.989952763905491e-08,0.0,0.0,0.0,0.0,0.0,-5.8503389213218276e-08,2e-06,3.125600139581078e-07,0.0,-1.1187190523709151e-06,1.3563380971636441e-14,0.0,0.0,0.0,-7.594442637430166e-09,1.2847265127477558e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0111954159508045e-05,-8.621639936762239e-07,-2.669685627054794e-07,-2.279060371270746e-06,-5.938523732028453e-07,-1.092784881837736e-07,-1.0409363762841396e-06,0.0,0.0,0.0,0.0,0.0,1.1972514532329902e-08,0.0,0.0,0.0,-2.008512925418672e-07,0.0,2.887126241756837e-07,-5.26156633284722e-08,0.0,0.0,-1.6297054171620017e-06,-2.0052075549241428e-07,0.0,-7.946234714654802e-08,3.1859785598693167e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6096960847211105e-08,0.0,0.0,0.0,0.0,0.0,-1.0613550884038185e-07,2e-06,3.0199231328893373e-07,0.0,-2.0354422050312933e-06,2.4638003127210945e-14,0.0,0.0,0.0,-1.1909439148528981e-08,1.8035147540790365e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,1.2903186319975094e-05,-1.2281544462931357e-06,-5.306105530866653e-07,-3.4433779176846163e-06,-8.609515871596952e-07,-2.59205984524108e-07,-1.6064895007198707e-06,0.0,0.0,0.0,0.0,0.0,1.7352321713593973e-08,0.0,0.0,0.0,-2.906264743194294e-07,0.0,3.3144010407910013e-07,-7.914571002373215e-08,0.0,0.0,-2.360885525743989e-06,-2.894801844921114e-07,0.0,-1.206132145821137e-07,4.073808430496619e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.22943940553673e-08,0.0,0.0,0.0,0.0,0.0,-1.5376762846754544e-07,2e-06,2.914246126197596e-07,0.0,-2.9521653576916713e-06,3.5712625282785405e-14,0.0,0.0,0.0,-1.6224435659627794e-08,2.3223029954103194e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,1.5694418480442132e-05,-1.594144898910046e-06,-7.942525434678499e-07,-4.607695464098481e-06,-1.128050801116545e-06,-4.0913348086444163e-07,-2.1720426251556017e-06,0.0,0.0,0.0,0.0,0.0,2.273212889485804e-08,0.0,0.0,0.0,-3.804016560969916e-07,0.0,3.741675839825162e-07,-1.0567575671899193e-07,0.0,0.0,-3.092065634325976e-06,-3.784396134918082e-07,0.0,-1.6176408201767922e-07,4.961638301123917e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.84918272635235e-08,0.0,0.0,0.0,0.0,0.0,-2.0139974809470882e-07,2e-06,2.808569119505856e-07,0.0,-3.868888510352043e-06,4.678724743835986e-14,0.0,0.0,0.0,-2.053943217072661e-08,2.8410912367416e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,1.8485650640909168e-05,-1.9601353515269562e-06,-1.057894533849036e-06,-5.772013010512345e-06,-1.3951500150733933e-06,-5.590609772047753e-07,-2.7375957495913327e-06,0.0,0.0,0.0,0.0,0.0,2.8111936076122087e-08,0.0,0.0,0.0,-4.701768378745534e-07,0.0,4.168950638859325e-07,-1.3220580341425177e-07,0.0,0.0,-3.823245742907963e-06,-4.6739904249150504e-07,0.0,-2.0291494945324472e-07,5.849468171751215e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.468926047167959e-08,0.0,0.0,0.0,0.0,0.0,-2.490318677218722e-07,2e-06,2.7028921128141157e-07,0.0,-4.785611663012422e-06,5.786186959393428e-14,0.0,0.0,0.0,-2.4854428681825424e-08,3.3598794780728805e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
