miliseconds,CArt,CGut,AGutlumen,CLung,CVen,CRest,CLiver,CMetabolized,CKidney,CTubules
0,3.8384532735474283e-07,5.369624096969721e-07,0.00931702050533001,1.2036238764324707e-07,-3.9810730048193185e-07,-2.934670271565854e-07,1.4168280648115127e-07,2.490733418355415e-05,1.5183745348143223e-07,-1.8544572468929929e-06
100,5.159522528575815e-05,0.00021112359072746374,0.007938806994376497,5.2390114357268024e-05,5.241200451276637e-05,1.3434901022321834e-05,0.00010897464810032257,6.690445220268857e-05,3.6369714236083834e-05,-1.422491492596659e-06
200,6.881585767618422e-05,0.00020849602179310103,0.006816537534114534,6.89148203934811e-05,7.071356627334783e-05,3.488618495678582e-05,0.00011282672434121566,0.00017453201723332772,4.974049725697856e-05,4.606764442230646e-06
300,7.94819779952799e-05,0.00019852572449919917,0.005915333029704133,8.129896921985968e-05,8.09810294681459e-05,5.6201135959464606e-05,0.00011096786083924494,0.00038920808478826706,5.812514535591913e-05,6.730117022779714e-06
400,8.97622802736297e-05,0.00019063696437134902,0.005048915668516931,8.908207172774653e-05,8.847975510086091e-05,7.38633646491936e-05,0.00010780939314735706,0.0005359608245181931,6.506888518383527e-05,1.9097178975004695e-05
500,9.615422018136144e-05,0.00018593778451852505,0.004287650273834395,9.619747307349973e-05,9.549589547034389e-05,8.588151065038917e-05,0.0001046784109189784,0.0006544918195465358,6.935963042500331e-05,2.3485504771567328e-05
600,0.00010063961781125875,0.0001788275603207567,0.0037474242931781025,0.00010124237564928891,0.00010206425760190468,9.871683961559199e-05,0.00010149582225891172,0.0007244778299714157,7.23067668102279e-05,2.811533170873007e-05
700,0.00010575904089216102,0.0001711924482469497,0.003139121968000528,0.00010555106196980511,0.00010456139320019814,0.00010503863356153745,0.00010099982370644516,0.0008390144150040323,7.685784558799726e-05,3.3406207819879095e-05
800,0.00010662738328304305,0.00016350532462958663,0.002787450392877367,0.00010889088754261267,0.00010672821502015896,0.00011468759600357688,9.806473456473021e-05,0.000987778741165365,7.847695082852251e-05,4.5452237379181434e-05
900,0.00010955492164660787,0.0001599722527645246,0.00232881244978448,0.00010967928560175982,0.00010917484472867031,0.00011864210973555122,9.415499023009735e-05,0.0010890459538092166,7.975098767902188e-05,5.330239045673793e-05
1000,0.00011054788196481127,0.00015263361039033065,0.0020821232462725024,0.0001122860442479298,0.00011151570946300257,0.0001229019623954478,9.305251919646517e-05,0.0011767184371089831,8.164456011884026e-05,6.195277626226267e-05
1100,0.00011188350899753482,0.00014706856966867173,0.0018375242385538712,0.00011226183282736985,0.00011176041442016899,0.0001268961056673433,9.041021739396703e-05,0.0013496929123951917,8.09994243175666e-05,6.237036433972942e-05
1200,0.00011103239404021734,0.00014185350355284842,0.0014984568716664404,0.00011266046566455753,0.00011263236103694775,0.00012715557883133329,8.637331144065782e-05,0.0014639084521794773,8.164223289958127e-05,7.296083264008395e-05
1300,0.00011271783041207523,0.00014092323568786825,0.0012250420987888313,0.00011133263137182164,0.00011159282398506837,0.00012940468947242464,8.349778667493218e-05,0.001552493489268173,8.114216515072982e-05,7.964927251219344e-05
1400,0.00011170359853582737,0.00013334077707683858,0.001183352147747893,0.00011206525579510117,0.00011007320324557841,0.00012888776135028227,8.359266822338978e-05,0.001579357868242637,8.004560538064744e-05,8.731156838590095e-05
1500,0.00010911789248845558,0.00012962306514950918,0.0010281166330974906,0.00010960739641537086,0.00010983979025755586,0.00012898631835270272,8.134659312031656e-05,0.0016750078300629286,8.097486247356221e-05,0.00010046687179112488
1600,0.00010918550848286068,0.0001264204552473842,0.0008786123008946507,0.00010848764542196702,0.00010930857589075924,0.00012943236055527096,7.928558968166352e-05,0.0017493594523401914,7.977699877748309e-05,0.00010123960918389832
1700,0.00010702266122663752,0.00012124978752003053,0.00079536423441178,0.00010833475284460637,0.00010751095590742561,0.0001273381125212538,7.686393942474406e-05,0.0018827135439872633,7.811667700896572e-05,0.00011547463350922075
1800,0.00010474136593864339,0.00012102891772130972,0.0007041370355996672,0.00010601853351204171,0.000105497121503287,0.00012638914691867037,7.433619439852434e-05,0.001964488571005244,7.792714918260078e-05,0.0001241153306091302
1900,0.00010402819225841102,0.00011735011616513267,0.0006349827439695606,0.00010294949476954148,0.00010470282587743304,0.00012515142278823869,7.085131765720455e-05,0.002066957100120031,7.647747786893918e-05,0.0001244691849945091
