milliseconds,CArt,CGut,AGutlumen,CLung,CVen,CRest,CLiver,CMetabolized,CKidney,CTubules
0,8.468738020845373e-07,1.1694336081910864e-07,0.009350559562526322,-9.720058973230004e-07,1.1598313283299187e-06,1.0697675051283438e-06,3.5781053470170886e-07,1.9061848654911576e-05,1.5138338233704808e-09,-3.915853161796415e-06
100,5.1878454189036655e-05,0.0002114647283865409,0.00805387343223413,5.340427676239102e-05,5.2206630060294995e-05,1.2392465338043649e-05,0.00010992559949485499,6.620223438158349e-05,3.738534470868535e-05,-1.5961480915325575e-08
200,6.92105483251422e-05,0.00021047284656490809,0.006887699849083397,7.025527603378536e-05,7.036059172987541e-05,3.669961807996242e-05,0.0001150960665779714,0.0001861080167877598,4.9446621268665535e-05,5.983222040024577e-06
300,8.010883839187501e-05,0.00019982940330782973,0.005917990321273032,7.964228712743475e-05,8.075799387570194e-05,5.486566647481917e-05,0.00011141160426912776,0.0003603607096958716,5.88253464007683e-05,1.064043722036784e-05
400,8.870269437422135e-05,0.00019089249213053203,0.005149698166000548,8.881555257938772e-05,8.787186364047508e-05,7.102311176021572e-05,0.00010903892926891157,0.0005016432469801804,6.416366645588998e-05,1.771253550401238e-05
500,9.558208010282137e-05,0.00018494566235346483,0.004478769632592937,9.658529776829155e-05,9.499173712800475e-05,8.50355337466111e-05,0.00010622909633083207,0.0006696120167985811,6.839423532852835e-05,1.990878700603594e-05
600,0.00010005207986380763,0.00017962116513826825,0.003793684327539803,0.0001000235275292166,0.00010077604947438998,9.712807369655134e-05,0.00010195275072882943,0.0007737506597695489,7.277562336730543e-05,3.3560325720845e-05
700,0.00010567960783637657,0.00016944505989439562,0.003173911308155233,0.00010566457536611781,0.00010391318484945262,0.00010660684157273385,9.969709341359776e-05,0.0009050709252128818,7.543936611717071e-05,3.3227600272165476e-05
800,0.0001078532601532242,0.0001636328070012914,0.0026926101982221117,0.00010786059694717825,0.00010792884950131418,0.00011375558792628152,9.819719830566073e-05,0.0010115569815355454,7.908620316618106e-05,4.307488125093656e-05
900,0.00010982123643760878,0.00015734938501983843,0.0024377826912824296,0.00010965850763792696,0.0001091537375831855,0.0001191602185088547,9.417783130406494e-05,0.0010868671592509794,7.971862462197607e-05,5.2741877087002496e-05
1000,0.00011147317605184741,0.00015586985919412657,0.0021523867248923706,0.00011047390957114175,0.00011111562688076543,0.00012466321481650967,9.191338917485262e-05,0.0011778597224924789,8.063721302453223e-05,5.8236029792924146e-05
