milliseconds,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,P,NAD,NADH,SUM_P,F26BP,ATP,ADP,AMP
0,0.087,2.45,0.62,5.51,0.96,0.0,0.9,0.12,0.07,1.85,0.17,6.31,1.2,0.39,4.1,0.02,2.5091904762788237,1.2916190474423517,0.2991904762788242
100,0.07363432331175601,2.740086686617145,0.4785620025496681,3.12686310141201,1.8670711491054088,0.0016445835474312338,0.6423926381156569,0.08793583726499674,0.21136628689923107,6.62183903350989,0.05039628235652387,7.541171431872159,1.4415381719402505,0.14846182805975217,4.1,0.02,3.483697668890554,0.5737760940910508,0.042526237018394974
200,0.0750282856979694,3.1030045334028484,0.4669918409063731,1.797490861294764,1.3977438388737473,0.001876654824829645,0.7923560284895108,0.10887750345619311,0.25536069598048067,8.523142483369833,0.10906704829856285,7.50043463248781,1.5205956122171471,0.06940438778285461,4.1,0.02,3.4480868694095377,0.6042608936687344,0.0476522369217276
300,0.07602893453988736,2.6714650217331446,0.38612731361053076,1.3688289804540905,1.2080380831993869,0.0015215378903202295,0.7273944067135121,0.09886074275727755,0.22207226905053096,9.83185825704396,0.13850423937854417,7.404529155925186,1.5345218434525218,0.05547815654748027,4.1,0.02,3.365271785160269,0.6739855856046473,0.06074262923508322
400,0.07755313497514679,2.237532631288794,0.31257063955796915,1.0976704127289483,1.0733264826923283,0.001175042902011502,0.6440957011200686,0.08646166763022187,0.18554709468741568,10.581058245149329,0.16062316481506264,7.282653867716524,1.541777954677587,0.0482220453224141,4.1,0.02,3.2620367498084923,0.7585803680995395,0.07938288209196775
500,0.0800509023899797,1.8658163126684153,0.2502991260754558,0.9178650444864127,0.9745980814092344,0.0008836334060295135,0.563360321914691,0.07457620390678531,0.15186036704405204,10.917002196537204,0.17722516218195697,7.124515133733906,1.546119911274073,0.043880088725927996,4.1,0.02,3.1312850742061213,0.8619449853216632,0.10676994047221511
600,0.08333341292012615,1.5760704336878548,0.20218966698585533,0.799616004013984,0.9048268726064378,0.0006771819062631983,0.4988691502401382,0.06517638449920989,0.1260542871891582,10.926703988524341,0.1897567720630902,6.946796933441217,1.548970402301253,0.04102959769874846,4.1,0.02,2.9884483430644764,0.9699002473122642,0.14165140962325906
700,0.08694895080636553,1.3713755901288,0.16840321342999445,0.7232244808487084,0.8574394510266587,0.0005432539737011984,0.4520428279221796,0.058414170112966526,0.10800997879135989,10.702904190933994,0.19751754297329824,6.773795758073387,1.5506288343962837,0.039371165603717916,4.1,0.02,2.8533663342548925,1.0670630895636024,0.17957057618150474
800,0.0903198949414123,1.238359112559162,0.14652636603862548,0.6751789044367426,0.8265835539082477,0.00046048037797312896,0.41990448139779435,0.05380926440063164,0.09600971958957795,10.348586754815146,0.19999233213534948,6.627705947623992,1.551234162581895,0.0387658374181066,4.1,0.02,2.7422062277687904,1.1432934920864113,0.21450028014479794
900,0.09302817474861468,1.156811320031487,0.13314066456247828,0.6458455194768152,0.8072869930462229,0.0004105208171410047,0.398526387129573,0.050765354465554274,0.08822767790813466,9.957659418417077,0.19807196399132726,6.518834844008303,1.551022299328624,0.03897770067137753,4.1,0.02,2.661036512480504,1.196761819047295,0.2422016684722006
