miliseconds,D,N,v
0,2.3796881385787594,0.0749134304549516,333.852000862982
100,2.3574616817039047,0.11084788201957822,310.17326431806185
200,2.282574673571493,0.10185477373528738,284.0018181637551
300,2.342786810904499,0.15236189783451598,297.43569810748335
400,2.3065341870172142,0.14182639025949773,319.44801026447436
500,2.315675093046802,0.1850166124345274,277.6778713710114
600,2.2332042991357643,0.20480585494368878,314.2608796445169
700,2.2277630647361035,0.2065544494632164,292.5275726443842
800,2.265196643345029,0.22518854224858165,361.5490779818173
900,2.237197621486154,0.24579354351844768,337.68422458660393
1000,2.2372539716125828,0.2597958365960761,355.4609970593971
1100,2.245945449044492,0.25341988700067214,328.6850420568011
1200,2.240157583178031,0.29348079982449926,330.3496058217524
1300,2.1858084567868397,0.2975616724313341,297.6498276330947
1400,2.254973569927131,0.3177853184846494,301.5803501624428
1500,2.2133498289561078,0.31071330623075766,381.73956658905547
1600,2.1829425090611037,0.33465521187717495,353.7694997145246
1700,2.1655258523687486,0.33897702577041194,309.0604783525831
1800,2.2047682000254682,0.3610297577804868,372.8585673344747
1900,2.2159954868032927,0.37555240166371406,317.40408342397626
2000,2.23439379994288,0.38678488169717085,349.5058873427892
2100,2.2466626649124732,0.3788391908192896,341.6243394136364
2200,2.185379761324822,0.4000162497231482,408.41992773477307
2300,2.1674461177882747,0.41945655441136126,368.3269730677127
2400,2.2014314219188145,0.44465624431866835,373.355901739459
2500,2.2149994166537246,0.4469211376490539,377.5521027008042
2600,2.1970671929193535,0.463774310235455,461.02214204169485
2700,2.213959268527276,0.48669103818283205,394.23936515763006
2800,2.267719030860801,0.48105953734050105,446.7311636502588
2900,2.296623231028194,0.5080643997619013,493.0037637442706
3000,2.2929020649587852,0.5261115874066024,461.77004934112153
3100,2.2823112623545065,0.5339074442392088,509.3621266554167
3200,2.3501872747534645,0.5773137116440696,540.0283911133212
3300,2.3434443702689203,0.5993857308064754,515.2253170961831
3400,2.3734493163607393,0.6033567780726866,531.9638890444563
3500,2.4205251690448355,0.6614154687832764,604.8819474657398
3600,2.466010766478,0.6720561588922782,643.7325029929789
3700,2.5637607024826363,0.723372083270821,728.3621913133114
3800,2.6696644163566514,0.7932820073813109,870.4448349451394
3900,2.77793568201422,0.8501191638811629,1086.5697698909266
4000,2.956915710109403,0.9547592578097477,1458.431306246937
4100,3.24105747823849,1.0420167540140708,1861.8261294742388
4200,3.4929617355693146,1.1344834434951623,2325.231565629555
4300,3.740157578235865,1.1738664467176465,2627.969436794773
4400,4.056147580025447,1.218555524037184,2790.281795683761
4500,4.341981136416388,1.2382593275152016,2922.624292512051
4600,4.655260494863706,1.2319234243943933,2960.284531599503
4700,4.928870123057926,1.2229183271545903,2973.177688684055
4800,5.250261444602397,1.1939005112977306,2965.3667083235387
4900,5.501323104463907,1.1442327501207064,2944.0691143136555
5000,5.778736438194381,1.1162407776566243,2893.9049612509134
