miliseconds,D,N,v
0,2.363780988630665,0.06609667324927276,313.2043755245112
100,2.338696006422084,0.09455037059984665,317.6992363854653
200,2.3475295072235878,0.12110206584342668,308.98357718881994
300,2.3367493305616973,0.1388671478888671,290.00282719032697
400,2.289983671684949,0.14373980083166163,270.6773771042237
500,2.2632785723704436,0.18977254706736268,348.14256582018237
600,2.3101088267384964,0.1918954964406685,317.2913935441254
700,2.2799089212325456,0.2190134497884751,339.4309623322605
800,2.2464474563407015,0.22594441091318107,363.03632662941305
900,2.271898020452632,0.25236253945824666,311.357763942572
1000,2.2680140863574914,0.2351111705078091,359.80883555275454
1100,2.1813733297931495,0.2655909390143374,345.85769887538754
1200,2.223406913133765,0.29229650920751976,316.4561990484643
1300,2.19853963663889,0.3007263996971413,355.7131162702017
1400,2.2283591332221495,0.2979254557123191,310.9865019285241
1500,2.178753727078539,0.32792386518453215,347.92879350579636
1600,2.2166899045165733,0.3346450181081783,364.75065251579923
1700,2.158706555358524,0.33182674206634294,357.8847480749586
1800,2.175385017113566,0.33897285416761413,382.24584010296013
1900,2.2190120266316677,0.36622413789387553,388.3450900140514
2000,2.1837137185100697,0.3856243396558117,342.5388984342893
2100,2.22117690180075,0.38205988745427233,374.3078632876174
2200,2.168099110749343,0.4034260275595876,393.9114338720798
2300,2.176207784496569,0.41172273322222236,396.2417561392637
2400,2.174566120934866,0.43411234686208106,401.4747951798533
2500,2.1816693884380767,0.4475092076498161,404.66630933818817
2600,2.2093322060182303,0.44504795621939536,417.9543626907716
2700,2.2730293819999394,0.47514605377676716,400.75019308241656
2800,2.244289449793612,0.5024011962949538,390.31719364723205
2900,2.3046978567402876,0.5122832932873653,430.99946478307766
3000,2.276445403380255,0.5079664366369936,431.713693985893
3100,2.356840097272336,0.5518639775574262,457.85796273523204
3200,2.3124958664072484,0.5628522390403748,493.1252337576123
3300,2.396575652550015,0.5880840580407741,514.6801733682722
3400,2.372312998081495,0.6232637649709598,553.4152506201212
3500,2.4563297379509024,0.6369841299712965,646.6606024296623
3600,2.4534199402810466,0.6778058354843882,690.1872186609403
3700,2.599782725131686,0.734062969331946,802.0708023462754
3800,2.666745673518438,0.771323350294978,883.6063388297099
3900,2.7915847358661994,0.866956188594987,1066.1730087964338
4000,2.9998047739742226,0.9575234992260316,1421.8067918531467
4100,3.1782569845599102,1.0392947096765617,1904.7763722667164
4200,3.517753786780878,1.125812265514037,2340.4380879899636
4300,3.817658861994772,1.1846186469645272,2637.9292711024746
4400,4.041953669501852,1.2239003452757402,2856.6627185875705
4500,4.394552324281589,1.2476190858802045,2856.49412183601
4600,4.701348728026384,1.2451891020427357,2887.972867022889
4700,4.912723337721469,1.2247046577078677,2920.5861040132986
4800,5.262487214207902,1.2051377451815142,2960.382775906
4900,5.4644385850474375,1.1622240298662592,2876.5750510752714
5000,5.7669978126419315,1.132941783173113,2899.4981753665757
