milliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,998452623.3792017,5599162.265134014,190338003.55232698,49596252.25743253,153040794.8540858,-117085932.9594602
100,978646839.4100537,5594247.9564920105,189492702.41940513,7766520.957766563,-2971831.064201772,2853382581.428751
200,971676715.6500492,5586597.332361984,189414928.04170012,227286663.19174504,154604469.637995,8313015050.674299
300,960092684.3724892,5571187.71004772,189360416.1127709,166638300.82879052,471910740.30478865,14721398059.74742
400,942650523.2816472,5569553.8478221465,188739664.8507373,346913383.8750025,650546595.0271206,18276326076.662354
500,937793267.0018193,5567650.78067113,188129147.78154215,375751764.9306058,574318831.2772706,22268206842.472656
600,920764130.0841572,5555514.722613127,187463168.46423343,415093261.2396889,843022393.3679423,26310219086.10327
700,909278054.8736596,5551575.236262048,187120584.88682187,590001339.2619522,905826864.382729,28850991579.91828
800,909282597.7748718,5539475.855192814,186599582.16571805,528737751.4998635,1247643780.2208402,32033673481.233738
900,902787141.3285592,5538177.984927863,187098967.48420176,634445423.8510994,1151816115.8940072,35409321577.81306
1000,897131052.9413087,5538223.3746023355,185980449.28145814,714756233.2647657,1462107235.0917559,35848127373.48516
1100,876765985.470665,5518921.262608713,185516355.05014613,827635963.556182,1365072471.751892,37377543242.42753
1200,876437736.7458825,5525309.535745278,185666552.74630457,818100263.2717675,1775417380.995616,40438861262.12491
1300,864332395.9113808,5515422.782805358,185283933.44325438,834571208.0180014,1853089532.6722393,45380289437.55745
1400,866548518.2860203,5501647.340239574,185045463.97847062,1040523642.7806765,1972373771.6284053,45120016624.17315
1500,855275803.5457275,5496876.092574843,184525730.9096365,1095210955.3451076,1937102343.1052718,45609649868.53353
1600,850623077.7800331,5494035.1897746045,183750588.46893224,1077736281.1514812,2063027966.650048,47637483320.604164
1700,848536056.5958806,5484406.42733892,184016487.32087973,1184581236.004938,2227081229.3040895,51235110272.06523
1800,835240497.371241,5477938.10558242,183379906.70798394,1144145441.7049816,2214907442.3567567,53561668835.69095
1900,835843108.2810026,5472717.751930586,183104600.55706915,1220117816.9975302,2378975033.8610897,53483217536.59185
2000,834237012.6713866,5473629.520122378,182374777.5775433,1307938472.2720716,2598063042.134787,57405851866.94698
2100,833501946.0422847,5461575.332676859,182221718.89747044,1454446033.8957193,2643997598.6861567,56045056763.650604
2200,825591042.2898769,5468994.036710781,181336904.77113304,1398462870.5747309,3011037907.575306,59805840588.08138
2300,821620157.9727595,5459003.1431287825,181616438.7443357,1439022526.2445772,2879608212.4918756,60772260640.48694
2400,812736849.9881756,5455471.618357868,180873310.34121975,1577570346.2246149,3145254684.672371,58259566526.6812
2500,813568866.6546885,5448616.374747586,181074471.21056426,1538357138.6012163,3358411268.1408386,60022705834.62392
2600,802996820.7219821,5442345.435402285,179965778.74260908,1678098772.449122,3310462572.2907677,62849062549.65684
2700,798934755.6974009,5439648.849277774,180354872.90808856,1653533450.6160603,3332512852.176223,64850770793.143875
2800,801943508.1106954,5428328.999552523,180059106.946745,1755143466.9418182,3456096160.686842,62468505108.342545
2900,795434421.7952491,5430317.086039719,179156761.2227376,1787108216.850227,3615898879.8970175,65024046088.4737
3000,794611555.4932216,5414086.661811825,178861047.14907566,1893316039.710888,4002574533.237194,64011779986.60409
3100,785943157.631318,5419356.852931087,178962659.8818697,1998184451.0507085,3957870166.0864773,65064661595.42635
3200,784097559.0846844,5415818.258415462,178292129.07610628,1981998375.5936658,4089249663.738529,67614494999.62374
3300,781478913.0558336,5409719.716690851,178051560.56461918,2079593890.140773,4109850170.196132,67657149361.30804
3400,787494920.1021432,5393107.129836644,178047402.3445934,2051576082.5731971,4205757374.6316195,67320355596.47801
3500,778226805.3536543,5392439.885960824,177181647.65690008,2187506538.8592787,4354648521.461838,69958878488.23767
3600,776809544.1426445,5388759.287391537,176825556.23653913,2174496384.3603153,4700497587.598588,68830034586.34673
3700,774564054.6143258,5379688.367194987,176617580.90510753,2294490725.5837245,4729505069.407011,70636583870.72507
3800,772196596.3960971,5387298.961965233,176549427.38122466,2207960274.1497397,4627906536.292679,71401631301.09378
3900,766712542.0161331,5370390.5802401705,175709767.13668102,2342779835.4444094,4732216548.661131,71632483508.22658
4000,762992801.910654,5371714.174012886,175720651.88201696,2420022841.3448963,4919670257.03829,68511903504.25806
4100,762581139.8290235,5363703.852891049,174851502.96055526,2355767208.0318475,5229820270.360551,70031635747.89671
4200,755225781.9509674,5363396.159752872,174305075.02794513,2490193172.873304,5023344768.783784,69748812184.87611
4300,758817889.3508706,5364945.203421047,174173089.66248092,2441852225.925041,5474184567.113062,73226879384.22356
4400,762490500.6812901,5358246.269854605,173716463.3632815,2475794665.497486,5451415324.092032,69871419277.67126
4500,749960510.3428305,5345724.284893069,173409500.34849823,2547931525.04597,5393430328.043495,72705299393.25629
4600,756533891.7957573,5354088.700607539,172881499.3150538,2686145159.666196,5752043821.906293,72983881900.75517
4700,751547690.8130666,5338045.095427827,172649716.54427826,2635774868.232888,5911843888.5692215,74235360196.14078
4800,744922434.7687764,5334713.040329714,172469836.7691987,2725171744.5095873,5678003091.141041,72938265820.22916
4900,740013948.9833146,5333799.538907532,172446381.29766965,2691911387.546776,6091928973.469319,71528307020.91957
5000,744582031.3377374,5328431.078181538,172040163.6343654,2790973448.2686915,6095304368.75089,74291047508.5875
