milliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,999770947.7000483,5607434.138431937,190376874.80777934,-31199569.43686269,143847910.45631507,154039150.21982515
100,978321917.3992643,5599341.389686038,189168462.06060135,23173169.26428649,298280009.003221,5249668835.163606
200,966004135.1958221,5583353.440653492,188750407.56887266,100270661.02009735,366846251.0426132,9030756162.972506
300,960371367.9637066,5578896.868515005,188458657.71111557,201871607.2792106,377870878.92314714,13432120406.656572
400,947567257.1904356,5565274.908293363,188503894.67350617,241075754.07639283,441757179.5142684,15687766301.457872
500,940371118.9373177,5558369.655118525,188337220.28748596,344855941.0538511,588401732.3460925,21148942011.54958
600,922872047.3453239,5562779.268869191,187862923.67403266,417655854.4882849,843256872.9646884,25199834924.24607
700,909203042.6142176,5555747.746387973,187261609.99026796,570993552.0412562,1047551167.6415764,27969984813.97582
800,912447188.1849347,5542743.217111415,186485888.8591591,511804977.7940616,1011567439.1924753,29974050711.849167
900,904335129.0230211,5538548.844279002,186820412.92512086,576858331.4915962,1170723084.8419094,35619420068.48951
1000,886375643.7425116,5530701.2879791185,186721572.08420014,657707436.923508,1328816211.9245207,37063815696.94944
1100,883556361.280049,5521849.663430617,185623261.06043142,827179971.2947191,1397826850.2521465,40664581530.87598
1200,877431766.3641015,5522640.614406862,185523549.2971076,883573260.0039338,1585763870.3685057,42875145376.74741
1300,867471517.2592996,5506949.400513336,185328723.72028866,894224266.4192473,1842498442.2443929,42726418851.22212
1400,861117967.2185678,5502496.901717167,184429500.72898853,987397919.3356518,1712495261.0678926,47025584491.203636
1500,853919283.8721986,5502134.540568349,184171300.97665983,958734862.570123,2052568967.220115,45991954741.94586
1600,849866840.4724214,5501857.900941316,184215961.60026914,1143955390.6301062,2237195091.5383267,47580765929.078156
1700,848916154.3783314,5490861.0922750365,183838537.1326247,1084614341.3062935,2251552516.6682014,49952526503.45729
1800,839729701.1294918,5490409.453689731,183419545.74110827,1181129984.006192,2298787091.2871118,52962448035.47287
1900,838628124.6942894,5484332.237397837,183000179.99908128,1340470523.774903,2430836710.0774755,53984211022.07292
2000,830805868.4550574,5475420.435008464,183016178.97268105,1331111319.8723686,2802187705.644631,54144933230.60593
2100,829408090.9145668,5473253.185290382,181901807.8154688,1426481398.4982874,2811905779.026161,55163747518.93928
2200,829559650.5676107,5455565.411419591,182038689.88939235,1431031575.3777134,2845420479.2638984,57086752500.54123
2300,824879293.1477786,5455905.171889495,181381806.48218542,1476260806.597358,2888681738.610764,59867409993.357
2400,810721592.1097499,5455834.681274388,180742222.99739105,1546230597.8020961,3238956429.66382,58329994531.20644
2500,804191787.9922136,5445711.683538101,181067321.57048684,1582666927.483331,3228785959.70892,60166747674.209785
2600,808838550.4235837,5442458.4951624395,180846318.2682703,1739984328.4664495,3375101220.333227,62699317178.23311
2700,797381934.1352669,5442156.50731869,179968016.4849767,1782094538.7110085,3524371590.8481016,63479743655.11822
2800,801863368.2362868,5434079.406465824,179153967.40012702,1800472883.9159412,3737504930.0034037,64230253202.50574
2900,794361867.4123652,5429332.749531972,178997216.5060042,1868431140.1380978,3881191219.6086807,66485553746.95498
3000,790535324.0927337,5425188.094560978,179458067.9751701,1900112469.4123993,3971472055.7766027,66193042179.39713
3100,788642309.3313352,5422236.596162288,178114458.65304515,1969295759.4080458,4115984139.8274636,66430839348.19107
3200,782481673.3671407,5407364.601114103,178451927.4425098,1938451435.462566,4074795451.0743184,64880116240.54518
3300,780850111.4121554,5405634.518196909,177967525.16672727,2044004487.2216644,4128193401.7546496,67945945520.12146
3400,784452600.0950893,5403568.989801538,177036606.7977003,2088159691.431433,4460534494.570703,67842539345.89402
3500,784452429.0838289,5390752.044452222,176916668.66390952,2108937850.4959416,4404793341.76793,68771657918.54552
3600,779983264.8471956,5395399.644665655,177210765.90070528,2103304299.977312,4427859146.663602,69091935037.2205
3700,778010792.7072321,5382467.945307341,176758768.8726203,2279506506.9322577,4767267876.223933,70911845707.8004
3800,776461861.4894853,5377890.102626499,176049520.37149924,2187951265.850377,4753562299.047708,69767660173.6997
3900,768982261.5253494,5373648.788541984,176280286.9170464,2249221741.7296963,4956180986.786838,69339944985.8902
4000,762712619.9065893,5367555.558851275,175206567.35335687,2378545283.095063,4799552045.041393,69451019361.63835
4100,758839406.3966527,5364719.013650377,175384777.01631778,2417281039.458459,5057773678.6734705,70402759617.28317
4200,756518210.5461241,5364104.10447357,175234007.8599015,2448413983.967711,5227835674.022138,70402055082.7253
4300,762062384.0639014,5357642.182207151,174424798.58078286,2445302717.5187883,5192745058.200225,71670015033.3302
4400,749980447.8107967,5362822.318336626,174214495.80715865,2538963989.5338306,5555754247.200039,69816854394.11172
4500,751288900.8913777,5344989.85643052,173660735.1032271,2597526042.744859,5357618346.893004,72896217831.22264
4600,758764068.0953782,5352456.11572284,173335860.79856825,2706830099.62342,5638196720.143569,73713628268.07729
4700,751637038.6063522,5339199.047775111,172606252.48682818,2615394328.7186623,5620662293.666597,70963602383.59288
4800,745115263.842601,5345324.317341093,173094333.34112397,2695913201.090763,5906201108.384213,74498835897.60826
4900,751111152.9692442,5341949.64262445,171872695.956629,2741269660.326112,5812126982.564766,70865667021.06383
5000,740211810.8368944,5327155.308006883,171688223.1281744,2830852289.589471,6075206834.955777,73355454986.35214
