milliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,1000150180.5413052,5607726.561949727,190087007.54007807,27619587.188176397,-2854070.4775156854,-1229520062.5747304
100,986766499.376832,5589357.207452171,189725451.83974496,20412761.21522265,229047947.5587017,6405208045.8972435
200,977188602.3394016,5589572.5941907875,188806162.33950195,98001041.95813131,117820425.96845248,8385569851.858302
300,956430159.1591191,5577800.589855722,188399432.1351287,244666034.91858456,580027160.5646428,13399022098.040834
400,942417008.0643747,5566626.169751749,188963399.54792756,307363459.81880164,601313916.6778809,16836078159.229107
500,934042236.1356598,5565673.167697372,188601367.6727902,317275925.58287376,845228651.3456738,22763286689.423775
600,922301974.3285753,5559913.678822099,188241734.81155393,467525461.44732785,712360324.1178541,25639143072.300583
700,921161060.4605013,5558907.507126893,187444425.73144093,434995916.03538865,922462386.5615866,29715133973.56024
800,900381542.314857,5546650.879197878,186893755.17456198,657307498.7436404,977678730.363926,29708953609.61707
900,897989906.2701235,5536564.898749773,186206481.50826883,643394383.4181612,1289289153.615925,32650407291.83594
1000,887845641.7031318,5534761.636714975,185930442.34944886,708284633.0068752,1492870554.1610084,34814155570.777695
1100,878597333.9735316,5525979.192793313,185361195.42131346,719545914.8982763,1583705483.7955785,37179155341.92632
1200,880981656.6587999,5523154.859859769,185283447.73162812,780625257.188062,1765692529.0640614,40114108772.562645
1300,870042800.3199512,5520449.698488132,184750485.35849798,841989264.8519367,1738070654.7129374,42083502857.29663
1400,860063764.3868375,5501424.08633038,184820339.1010342,996589288.2358977,1747338483.0856802,44885012673.88891
1500,857198862.99714,5506632.205640382,184321309.75996524,1112288363.7027984,2096221082.89583,47901731373.20705
1600,845453390.9299808,5488952.544342501,183920617.60468817,1122008262.3300965,2153713210.785326,50633743426.09507
1700,841997088.3739473,5488928.780037871,183554630.49740443,1104387830.4545524,2316590300.093546,51126370702.16414
1800,841336245.4835253,5480751.936730403,182962560.14701226,1203036845.085532,2381692702.940835,51147118498.56098
1900,833825244.1575192,5482367.4225408025,182531662.3915383,1329425627.2971444,2394197412.1022015,54009313028.36632
2000,825692748.7901592,5476535.363051394,182760393.5010416,1369680116.2616727,2703953818.749022,53765011399.16334
2100,828484951.0518216,5459832.4801870845,182490758.1965611,1391812595.751902,2925778707.0140433,58037495366.412094
2200,817121637.8824947,5460451.431182633,181772256.05723155,1523448253.5954232,2861121914.18201,58526630781.952194
2300,816830873.6220726,5450253.554226997,181511967.4474004,1552350612.6565602,3003489075.3607864,57883616126.93177
2400,808364049.1681485,5449499.799749048,181109654.7470028,1509329493.058678,3231107792.9405723,59697904985.70874
2500,804474617.9591331,5440481.873545756,180728184.37219557,1607721081.2878442,3122166281.7009745,62808160205.573326
2600,806390272.2091674,5447096.343548162,180883558.82797846,1717207857.1751807,3433936414.607276,60114323683.00668
2700,800547963.5676118,5438528.009720838,179641029.44752702,1665682310.1865644,3600981112.2793927,62378636139.95365
2800,798466176.3557732,5436747.045875961,179828932.31234968,1832421156.400787,3652849182.612823,64361311437.75705
2900,789821124.9258676,5418423.015333252,179520599.43699202,1770503218.6830766,3814208205.7070994,65392283178.520836
3000,786463234.8126568,5423512.150863726,178804700.51590988,1820079361.330817,3899568332.9036703,65270273957.93932
3100,782955068.3105509,5413308.971103355,178781375.47668326,1934204755.0173287,3857638227.537187,67942035764.775536
3200,789158966.0237118,5416210.354390641,178353681.1866126,1905338760.1154766,4242135695.257604,66513563735.10268
3300,789897711.0214883,5410310.870146916,178242831.97630984,2075488358.4486613,4013842009.221335,65204127887.05529
3400,778305121.2912016,5404275.4460270945,177202563.33337197,2124932611.835025,4318057291.834929,66983817085.87624
3500,774423917.7474772,5402408.174918716,176974722.0244072,2060242987.1125295,4315928930.117412,68096840094.64897
3600,772185411.2034563,5392470.396895899,176343516.8337505,2142028009.7611203,4384150644.869705,69882651010.0024
3700,779364152.713136,5381868.380163001,176431231.01294968,2203640676.7605867,4764735703.943017,67662963237.19498
3800,774973340.3346885,5387581.292285383,176493728.07266238,2311710081.322461,4706026027.595623,69209537595.79407
3900,764333294.5393778,5373205.120419649,176102186.77532566,2257770007.0687046,4965632670.322708,70307679254.94617
4000,767984728.4216957,5381466.800890569,175297682.80744356,2292139748.2487583,5154150173.226246,68535098464.325386
4100,759629818.3796835,5362830.120621535,175359675.57203686,2474361308.2294335,5255845931.394318,68677429093.442696
4200,762269360.113997,5357733.800155942,174838736.18023464,2392068961.7417116,5121431794.547078,70092782198.23906
4300,755465284.9717674,5366749.754192714,174750835.77754945,2579627558.377818,5211838237.324633,72555360233.2279
4400,750579186.722165,5357971.560233929,174243169.9666887,2540177842.516905,5273372168.721803,71361433713.21301
4500,752791031.4873968,5352663.2964802245,173260986.13655227,2622283040.129452,5580665285.274511,72066255859.17729
4600,745925160.3088048,5348856.829617493,173146290.96826944,2576169561.076027,5673534081.804565,72986868241.61472
4700,756411708.4435248,5339391.072657141,172539423.19398412,2614566680.10377,5730733402.136793,74292609742.29297
4800,754350484.2861252,5340123.201256864,173083258.17825884,2767060053.094023,5674735025.26701,71792702891.98474
4900,742334681.7987705,5331092.253020424,172318483.6961323,2778730509.582771,6117783474.215998,70880151932.92558
5000,742128861.8154349,5338508.978727446,172444170.70682827,2846614246.0183167,6037127794.327758,73644272330.6642
