milliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,1005968482.3192635,5599391.541175447,190185098.41704014,49711433.28824788,-53566937.81124382,1418265856.3087614
100,986509728.4672326,5598337.324006303,189531646.42914516,140442122.68711102,32767720.084159285,3702812325.5661154
200,976850776.7186692,5593137.179309779,188938996.40341946,186837934.25122094,191788003.60244715,7672452507.826092
300,953456026.2769002,5581240.233382762,188488038.12149012,229711064.0617934,345527753.3885356,14691507303.219847
400,943904183.6229581,5569103.1479535885,188432558.68537343,286199634.6238574,408007755.13819104,16867266859.678577
500,936398738.8630024,5561919.933134822,188471425.2855039,389700278.6013252,542987404.1432848,21807383446.55369
600,929262099.8746938,5558731.744889304,187669652.53693363,453069598.7331145,749903542.4316314,23090020480.4548
700,914797235.586347,5557788.846711013,187425593.79097092,578808159.2132832,876092089.7635972,28240339772.860138
800,904950752.7791338,5552121.724920259,186780409.59810606,620081860.7254189,937660047.4123263,33012823720.855682
900,892993583.0576665,5533879.462252912,187020544.03911233,634848792.6738684,1277782334.3695276,35621246579.65379
1000,890408774.0215797,5524660.572186896,186356133.74810445,751021906.2596389,1383843984.2885046,38268343504.87442
1100,885508470.6474261,5528441.180633083,185378190.71466902,800507465.7686777,1562606095.731069,40572716565.12889
1200,881817434.793732,5511425.030101258,185440045.583012,847304978.573323,1528107495.3293486,42308502135.15782
1300,869367675.6568987,5512894.363303082,185375749.8043973,837526025.462389,1780627752.4632423,44080770642.236946
1400,860290858.9065156,5509673.474488466,185217943.87550768,986098372.7245156,1820080871.0089319,43784448476.85143
1500,855753573.4412099,5502538.640106556,184696622.32018304,1067800318.3078239,1826790739.7747445,47326684231.72897
1600,848449476.6506014,5488891.679219418,183758100.78110152,1160730465.986296,2272224614.0417604,50143030670.48856
1700,844937562.1572121,5486340.679390183,183581134.4584642,1214039108.0616672,2257650300.1358705,50079769992.693405
1800,839974762.8332876,5483818.856749655,183540865.0527856,1225363308.9605343,2199195494.662338,53090308462.241356
1900,829934960.2609495,5483150.869817508,182412631.46648207,1246942905.587042,2617196264.0188794,54671935517.39056
2000,830662446.4550219,5477829.203673574,183052212.84131795,1366704892.098463,2493669983.676339,53577702090.296585
2100,830663447.9794902,5464571.457106073,181870268.42273438,1388536553.1325274,2781329188.241555,56319294884.159935
2200,819667178.562238,5459504.393323677,181441306.81278935,1373322348.3593075,2888883937.7395196,56583236953.56888
2300,815677897.2581624,5456807.361134235,181447409.3894375,1512440785.2880886,2943140528.387777,60635184091.13174
2400,810736974.7858957,5454538.660146712,180705564.21716926,1573899137.0416405,3133230977.680682,59420673830.57338
2500,807611396.0305486,5450332.260421101,180839510.10876155,1645489508.2227304,3250382829.209057,60699168791.316284
2600,801036421.8743014,5441973.026261608,180382810.9041682,1744283493.2473304,3480424309.5188017,62836510863.363815
2700,805399281.3583714,5433750.025220352,179494703.99845427,1789751856.7800658,3332643495.9088264,64718794586.720535
2800,806346213.1444024,5422112.433840653,179242683.45141536,1690648055.0991216,3479484988.673793,64867123733.24679
2900,790149504.8099036,5423743.436911952,179767097.51735118,1819066330.3962955,3718612376.0786266,65805602647.609116
3000,792132521.8291698,5413210.498718666,178498625.24026364,1827293137.4088285,3914820678.523398,64292498999.151665
3100,796070919.076665,5419893.475947245,178411916.30946323,1881711200.4838624,3957120858.5277543,65244132922.747185
3200,788527827.4260385,5402363.962858426,178060192.18222973,1944320210.4729958,3945844844.5241356,67954685045.11631
3300,779054129.7926449,5402570.947125896,177385120.57783958,2096442413.929367,4082134551.4603167,68893129961.67155
3400,787528758.7307907,5398827.7539942525,177384727.14377832,2065801909.7127295,4387968958.479752,66962898830.45982
3500,773409195.9782583,5403426.248530721,177033491.0611051,2163248313.6824803,4262479839.8441396,69024267913.46986
3600,777489593.8527113,5391374.07824771,176854985.3992487,2209451819.5838847,4618606126.054445,68136044155.27795
3700,767078260.8294147,5394110.224937941,176221232.89045003,2195612251.4763265,4748917614.067674,67835846327.42854
3800,771143864.980318,5380621.127674887,175901204.72444493,2217332505.477334,4790287249.378343,70408817093.55934
3900,767373285.2829762,5371851.676884924,175742544.28832957,2296755438.2818093,4849191833.131878,70215859219.16133
4000,760178796.8554485,5381204.985849827,175322796.62138045,2287068481.4649277,4900596256.464476,69100762201.16948
4100,768531943.5977895,5361513.640766555,175475720.8377326,2492226492.450078,4977644289.871967,70876901175.23909
4200,767529010.8375579,5365112.402871174,174248693.94672856,2505563963.1970572,5322354414.70827,71537014140.75531
4300,753556896.9829726,5368025.753271031,174746311.0256851,2466846260.3001137,5474569873.977295,73312934446.70946
4400,755072398.6238602,5349955.014381146,174506184.46454784,2601461827.5642295,5343003282.323016,72959612545.15852
4500,756200746.9952598,5357485.867698865,173244855.56846976,2661372966.653035,5634039067.56301,70731870442.25197
4600,748031694.0687711,5351162.339585357,173592001.12167192,2572354489.0577855,5543585836.6486435,72168563595.42944
4700,751128903.5627857,5339273.411368984,172652463.54630303,2624505134.6440206,5730873857.042249,70544938781.31563
4800,752203443.3025606,5341781.831089877,172956152.49576718,2778231745.271555,5826115725.07491,71643652069.05563
4900,749551409.824539,5334599.326183839,171866604.35148165,2724792355.1522765,5878605063.064422,71269788869.94199
5000,739220113.315242,5339182.725205834,172200278.40278274,2857437106.728721,6217414770.835372,74426869204.86247
