milliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,993436082.165876,5592966.8853848595,190321583.88058275,4395343.17672732,105835380.63761629,388499058.7766958
100,987243105.6428962,5596826.009989996,189518223.4865143,11315822.66451548,97035631.0397132,4992639509.335354
200,977222948.956684,5577708.393075709,189631502.760057,152895163.18568778,146857517.554109,9821178956.100796
300,951565089.6287415,5574759.233425458,188953780.82234484,177359763.39863065,470947714.2163618,12949391933.963932
400,946061657.9922284,5577190.11298765,188526202.559749,308491243.565539,459908229.4934835,15783457034.75218
500,938105973.1483924,5565981.931047545,187822187.52659082,323518698.25154006,603151385.9313549,20455455376.371353
600,927018366.0601667,5550560.885533226,187388693.69747576,369322925.1674249,974932642.1677852,25171168665.149723
700,909422533.3447704,5549831.722451458,187268748.2653357,514441452.85772777,1128233677.0848737,26816827232.246685
800,902095053.7872217,5548976.535415382,186749382.91945198,581151803.0141208,1153322533.4661243,31287885389.556072
900,903105422.6639766,5530665.487861218,186639545.48281163,713187560.3889748,1271659561.5680988,35376569498.07718
1000,895322366.8694917,5533203.619300548,186573105.22632632,735916401.9666467,1413055218.8083012,36470439582.943085
1100,883969300.5357025,5529323.66111897,186333289.61909878,731293303.8037742,1353485626.6936157,38512470726.29825
1200,878459993.7719957,5525971.420063859,185186008.47192827,899565563.5032189,1540731262.8117597,43432435416.32938
1300,862746746.4182124,5508276.541114742,184724480.98405248,919922550.9941014,1886330556.321581,45617355046.33959
1400,858386301.7754809,5509270.362269478,184592704.14319,905621991.9784032,1927845881.8803933,44720992403.68312
1500,860041054.3434372,5497419.042777276,184051893.45930716,973659049.4924562,2161646906.984274,46015447293.963776
1600,847678469.8946476,5496548.624764726,183865449.46143606,1050253822.9427743,2245687516.2697134,48550693585.94609
1700,840204550.0389081,5495957.569764618,183404032.10339072,1098782974.82899,2290086363.321173,52055562735.46199
1800,836180921.2271888,5490979.763447669,183085967.13596213,1197241874.053983,2461946007.441043,51627693734.34983
1900,841498119.378287,5481901.837558073,182492157.6200062,1247872894.8473697,2556345231.8111906,54699179255.2178
2000,836445762.89722,5468943.240289554,182042791.82881328,1375147610.95672,2739210625.9180274,57336078741.24421
2100,828109184.7471781,5466705.9138273075,182090336.1323454,1339268420.1802306,2907602118.7194095,56142110186.88718
2200,816166057.4144171,5453793.57746081,181659185.73715627,1452548982.679451,2762040815.335565,58537570881.38512
2300,816149186.3598467,5462874.772009817,181174313.4678391,1422673146.1955442,2917132609.321871,58312989603.422745
2400,818401229.1327794,5451878.575717799,181517376.57637274,1519883234.8455138,3141828528.1339393,59665503660.62
2500,810381327.618037,5445531.742131656,180483305.5596342,1548435632.9769382,3403158605.7806187,62109117648.30555
2600,801654314.8787944,5434291.859219868,180682768.8101071,1670759865.6735053,3290499486.4116,60333349695.27786
2700,801484235.4632584,5440195.551600252,179524178.0749626,1790246871.774393,3422125229.3692093,64676179742.32853
2800,803498977.3064297,5425090.483112275,179377829.37427658,1756071842.4094274,3492683637.406991,64943875558.217125
2900,802454597.3908336,5420780.556811565,179727319.88555488,1892716397.9876947,3598943818.566562,64807296505.22765
3000,796897832.9519953,5425125.931649852,178510577.8732108,1946347429.7819972,3804563429.823667,65165603987.629944
3100,788776921.7706872,5410565.580018272,178735096.01958698,1945121031.3942845,3905427603.1620774,67558563790.56437
3200,782907480.9327965,5411046.237525876,178531575.62981284,1916728233.3233566,3921832335.48095,68608079922.40675
3300,778124322.6579111,5398212.058383313,178000477.2842136,1973815845.093451,4144107722.254778,68485149750.49334
3400,774160498.6049579,5405136.090107937,177089634.78606975,2152432943.8543,4171096467.261766,68112367780.471535
3500,779241276.4706093,5394234.835638422,177549902.48115364,2190288383.748035,4487901267.030554,66907759833.9016
3600,774529951.8608849,5391594.596252352,177141992.3562447,2247049293.8871,4522926317.708189,68372556022.342255
3700,766244705.5304114,5389760.2817565445,176438554.95355466,2152986461.9360533,4743054477.694762,70870884026.28848
3800,775483616.9339515,5384917.038783696,175658355.1989739,2234491643.742444,4581149601.084282,70683423233.8703
3900,772720667.969997,5376254.450396393,175328535.155022,2314782419.072205,4913487620.142095,68030421707.343185
4000,765244407.3162754,5366165.499939991,175442669.1231944,2362053463.9038033,4815247449.892688,68472609890.474785
4100,767945292.7365959,5371285.630950824,174795284.98932144,2458281937.7541523,5178120222.9744215,72591388760.2293
4200,761830816.3630624,5363711.19749035,174330834.63025492,2396236508.9075465,5101962515.146677,70966744441.4051
4300,756281414.1057405,5355470.0255999155,174892622.25030747,2503739230.244267,5203046310.760666,72169388016.92377
4400,753759910.0504609,5363655.488350997,173651035.6578607,2620849993.4081373,5236590393.0040045,70919938746.63712
4500,759527510.2645777,5347187.034234718,173447587.513562,2598103247.1933794,5425014638.396036,70063190557.09225
4600,747554010.143272,5356424.121726397,173804521.67015395,2568305636.489857,5530596333.804665,72778050709.92224
4700,755971067.5354829,5343933.582538404,172896939.64550507,2679955140.6433997,5634213324.75289,72111865105.7883
4800,746501474.5121995,5341876.528463599,172563379.513398,2718814116.4346585,5988355542.528221,73089261895.2481
4900,741270254.9325634,5329834.13337397,172242159.13524958,2785187319.4104877,5979731952.464625,71532322148.44795
5000,743853285.5767586,5335385.889805012,172049803.08285147,2791428917.1806927,5906692953.053635,71494714266.463
