miliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.697202090048845e-05,-1.5322816920976007e-09,1.0011493801377475e-10,-7.84279301938803e-09,4.68415037143602e-09,-1.1818271577065768e-08,-1.506615116087074e-08,5.215040275788026e-09,-1.841488458940049e-09,1.289198921692678e-07
100,6.603982395360044e-05,3.539293766158354e-07,2.9416295990618017e-08,2.5786455202199718e-08,1.476054173951596e-08,6.488195467968579e-08,3.485120151616538e-08,9.491342908619646e-09,1.233471377085638e-08,1.469066007597554e-08
200,6.580044842072624e-05,5.570431180834152e-07,5.314713232698979e-08,4.848721174152155e-08,2.4203246742409453e-08,2.2596751583614533e-07,5.8976484820372195e-08,2.5546738249332773e-08,2.497240986054744e-08,3.193072480989277e-07
300,6.520905200692706e-05,6.553602486237025e-07,8.003097276215826e-08,6.331190331556775e-08,3.492320331089768e-08,2.8023127061100157e-07,8.468497487804889e-08,3.8031173625762686e-08,2.9519440137451258e-08,9.451227290871882e-07
400,6.436295212182743e-05,7.212101135566793e-07,1.0240334100630031e-07,7.96090561827419e-08,4.924331737203498e-08,3.731981056067336e-07,9.11417115047717e-08,6.429914410380162e-08,5.0796004295966284e-08,1.0131539867156658e-06
500,6.37821638788126e-05,7.499941055561097e-07,1.2265991998193e-07,1.2004163891044913e-07,6.875438933394434e-08,4.3246302875727156e-07,1.1362260146183105e-07,7.27659446808264e-08,5.378856872563257e-08,1.695669453819805e-06
600,6.311460507992253e-05,7.612866120595879e-07,1.428193324229581e-07,1.3246155494607612e-07,7.025996649907363e-08,5.753204071262775e-07,1.600418967990171e-07,8.258348398442304e-08,6.501789335632417e-08,1.8306800287641985e-06
700,6.2005636791249e-05,7.598731966271892e-07,1.5915690383813528e-07,1.697039056637361e-07,9.562315756675591e-08,6.141165222704152e-07,1.625101292629894e-07,9.960468598312036e-08,8.848727208452573e-08,2.594842917305464e-06
800,6.160185585316433e-05,7.630978757894853e-07,1.722092815852403e-07,1.6931243948961898e-07,9.705358418911554e-08,6.986941356164042e-07,1.9489060976858918e-07,1.1880579569679173e-07,1.0096864173446926e-07,2.941259708114084e-06
900,6.077722571051536e-05,7.555587540748044e-07,1.9166989180920024e-07,2.1285564977195158e-07,1.1551833961380816e-07,8.29313163610482e-07,2.2590815209417573e-07,1.257527708189406e-07,1.1243557182387371e-07,3.247143778188993e-06
1000,6.0747531469136054e-05,7.517705929793974e-07,1.9849705902599442e-07,2.1747888850234904e-07,1.2956053318642944e-07,8.975969681495514e-07,2.556872399066871e-07,1.4295325803853516e-07,1.2022181005227461e-07,3.907311254717847e-06
1100,6.020515458969505e-05,7.514968495631389e-07,2.1130804005174735e-07,2.5642845942209515e-07,1.3332248457704966e-07,1.0199955455770097e-06,2.620383231984348e-07,1.5250303182035232e-07,1.2284202460690312e-07,3.964701300531174e-06
