miliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.711311066004735e-05,3.67092384312392e-09,-3.375409589146945e-09,1.2335172926903703e-08,-7.371757932856134e-09,-1.0670675734594851e-08,1.1776313382260302e-08,5.728017424265545e-10,-5.061395560786783e-10,-2.5002279339188215e-07
100,6.621349145965272e-05,3.5153432359087614e-07,2.70908189695157e-08,2.9840830686748315e-08,1.3840006774883775e-08,7.70267769609899e-08,4.087888853788942e-08,1.1435019061328687e-08,1.2720938130648068e-08,3.3190367179706243e-07
200,6.549773247365925e-05,5.453669033409278e-07,5.7968814189071036e-08,3.629911619642468e-08,3.131599168775995e-08,1.460347922557107e-07,5.455102044892439e-08,3.019172094668062e-08,3.0928380981762146e-08,5.600186589463052e-07
300,6.52924785372477e-05,6.587928626068929e-07,7.936074047578868e-08,6.154286148996827e-08,4.4064586936097315e-08,2.3534749263934434e-07,7.041213980449757e-08,4.3641655969490844e-08,3.789063225483586e-08,6.345445694211807e-07
400,6.433815149831394e-05,7.133481386283515e-07,1.0469989164953277e-07,1.0429773021111779e-07,4.8990825413274494e-08,3.591313285689323e-07,9.122895686808145e-08,5.547429444524974e-08,4.2934552438846026e-08,1.1150902887175354e-06
500,6.345143992416291e-05,7.511500648325345e-07,1.1978043690528054e-07,1.1657819431397096e-07,6.201852649712882e-08,4.216159842961877e-07,1.1778864266303437e-07,6.313219120446142e-08,5.7068114769364806e-08,1.5481053945047632e-06
600,6.282541988128958e-05,7.624741895716672e-07,1.426349774784364e-07,1.2756696660549338e-07,6.959235806975885e-08,5.1269524435688e-07,1.5091324876134016e-07,8.041130218579002e-08,7.793253115714751e-08,1.8755139021333536e-06
700,6.218632311023722e-05,7.679821037247007e-07,1.6252337962240662e-07,1.5926252609208271e-07,8.716174405840518e-08,5.808360868091604e-07,1.7060644098372106e-07,1.0152457191044883e-07,8.120471584646453e-08,2.5115787526957205e-06
800,6.142488127151032e-05,7.594612702351067e-07,1.7805693714287387e-07,1.7389435996873603e-07,1.0554836668631549e-07,7.56360044139376e-07,2.1201567175749043e-07,1.1578021333295168e-07,9.008494907943021e-08,3.028984443997314e-06
900,6.114530619663749e-05,7.573879628813261e-07,1.85591334967444e-07,2.0077371905007194e-07,1.195910589945739e-07,7.988102334136222e-07,2.2378097425658015e-07,1.2821719880619425e-07,1.0156847695552956e-07,3.3586204061176266e-06
1000,6.032904887001328e-05,7.499384908969726e-07,2.0452255922270325e-07,2.2540594753401377e-07,1.2155929086731126e-07,8.493234789483483e-07,2.526262971388418e-07,1.4431295046036427e-07,1.1859699974917962e-07,3.93935882520511e-06
1100,5.974731206246073e-05,7.390296059870712e-07,2.1334274113125124e-07,2.3454714786238734e-07,1.2987821287241137e-07,9.775872988914847e-07,2.5538568203563327e-07,1.5286928355120067e-07,1.3195206219107489e-07,4.1508145638125914e-06
1200,5.892231239040852e-05,7.363503816358546e-07,2.2124782239468195e-07,2.7909054016486823e-07,1.4801401673732153e-07,1.1052945205821952e-06,2.95078263941759e-07,1.5831346739046858e-07,1.3293809688312698e-07,4.4979580168453975e-06
1300,5.8753576174885965e-05,7.325623577594949e-07,2.339342299050161e-07,2.992273305616082e-07,1.616455338377917e-07,1.1775799926846127e-06,3.0681447466288016e-07,1.8225921493599822e-07,1.5584668518270146e-07,5.0673875522450895e-06
1400,5.8220803162895425e-05,7.179857720259406e-07,2.4081297430323794e-07,3.16491797189918e-07,1.6771888680706038e-07,1.2059868691817441e-06,3.534138324804172e-07,1.978562439624741e-07,1.548858789064944e-07,5.657171533719505e-06
1500,5.742703857860404e-05,7.152602932486512e-07,2.4908986945651954e-07,3.185772393825423e-07,1.789176057610132e-07,1.311167209708775e-06,3.732818476261915e-07,2.042744066026655e-07,1.721257276634867e-07,5.930548416749059e-06
1600,5.670256259302434e-05,7.072907484720775e-07,2.531369370603525e-07,3.525381442223689e-07,1.9673677964358174e-07,1.3309327256759042e-06,3.866297486585049e-07,2.1706522755194278e-07,1.7561606984224508e-07,6.5855488146803014e-06
1700,5.597807048438615e-05,7.042975176155397e-07,2.587675213984381e-07,3.776203195325046e-07,2.032351806871619e-07,1.4598983971984543e-06,3.971610193945899e-07,2.265890286787871e-07,1.9754937359340489e-07,7.0824023539923284e-06
1800,5.60627061658423e-05,6.986868383359394e-07,2.6985408552858884e-07,3.8940671506096375e-07,2.1446599668087036e-07,1.5508477912685983e-06,4.37789116306018e-07,2.446386088334521e-07,1.9694367914190186e-07,7.173387500773209e-06
1900,5.54677930038763e-05,6.856432946846001e-07,2.6768051688444797e-07,4.1029552020606185e-07,2.3192866689047286e-07,1.6058342533119584e-06,4.3912402254298714e-07,2.5544527561082313e-07,2.110448425889992e-07,7.680299786699833e-06
2000,5.431052455455892e-05,6.852221514018907e-07,2.77805128026093e-07,4.4070349235364333e-07,2.367027928149543e-07,1.688278590076969e-06,4.5682321896770387e-07,2.570989735671541e-07,2.194113430759358e-07,7.949434122696885e-06
2100,5.4309166577647385e-05,6.716673156423287e-07,2.7652546487335467e-07,4.3613381857366403e-07,2.4154948339091467e-07,1.770087938188928e-06,4.921836867514689e-07,2.81486225174392e-07,2.3374776577341687e-07,8.674158383714808e-06
2200,5.3831451892484986e-05,6.63322264443138e-07,2.786763477839069e-07,4.631993125102717e-07,2.621049898465092e-07,1.8740424957538784e-06,5.051963273636038e-07,2.9393520580694496e-07,2.3980649411814e-07,8.705694759576068e-06
2300,5.2926545652257476e-05,6.648789498157715e-07,2.8535073323262125e-07,4.889360543027609e-07,2.652322997945148e-07,1.8994692775066443e-06,5.452595468807814e-07,2.997858192598264e-07,2.5485327257088903e-07,9.518987597234118e-06
2400,5.255561447063384e-05,6.494703069459397e-07,2.8909886524553e-07,5.110336269714073e-07,2.8510213303349146e-07,2.0037558704564915e-06,5.393393184649855e-07,3.1635830800761293e-07,2.676948761648882e-07,9.954970085072576e-06
2500,5.2261134472929015e-05,6.512108206810321e-07,2.857893194603043e-07,5.27595757866247e-07,2.9151725404657024e-07,2.081677361548863e-06,5.827231577220382e-07,3.222588178853696e-07,2.6826066416163207e-07,1.0043291598552454e-05
2600,5.154641069557704e-05,6.407476485021885e-07,2.862878744520635e-07,5.358070162744049e-07,2.964443422560749e-07,2.1790488774684507e-06,5.994883885469092e-07,3.3113258571913244e-07,2.896375874071042e-07,1.021307650541808e-05
2700,5.1267929074382256e-05,6.323402869252382e-07,2.9385281467338097e-07,5.673485590165572e-07,3.0181310476379524e-07,2.1748048826468757e-06,6.08713730592304e-07,3.447562742945795e-07,2.985415840877122e-07,1.0695576649120815e-05
2800,5.073815370897928e-05,6.264963084122942e-07,2.896004832161108e-07,5.828503825347809e-07,3.224576180043886e-07,2.241209030032446e-06,6.239427956472599e-07,3.539595251701404e-07,3.0741021795871373e-07,1.0945096630302653e-05
2900,4.997421182829342e-05,6.178521079239773e-07,2.943865568743861e-07,5.918181129797474e-07,3.3110865942781094e-07,2.3474249749675203e-06,6.48288224405671e-07,3.601760682270803e-07,3.1549413050762084e-07,1.1324211838190703e-05
3000,4.976767849193558e-05,6.111912362863501e-07,2.8952272106556997e-07,6.018352567210929e-07,3.457023674611486e-07,2.395214351350807e-06,6.752946742293504e-07,3.8515384886118175e-07,3.168706921065116e-07,1.1822008812158358e-05
3100,4.926983616226471e-05,6.07735567264962e-07,2.948526213320545e-07,6.383641567235531e-07,3.4058448818285437e-07,2.5256479772391092e-06,6.968584024733605e-07,3.8695753459385487e-07,3.247358502873553e-07,1.2316236075371874e-05
3200,4.860309510055795e-05,5.98151816348929e-07,2.941324177974059e-07,6.614939196953862e-07,3.516945223908643e-07,2.5154584471941095e-06,7.237165773357064e-07,3.9121104175778573e-07,3.434907664941204e-07,1.251296397988425e-05
3300,4.780035812859059e-05,6.00120237102814e-07,2.9181219078550285e-07,6.759019895323871e-07,3.6409748932904354e-07,2.646096235573298e-06,7.282346038947281e-07,4.135565157663037e-07,3.453103854685787e-07,1.2938757532112433e-05
3400,4.757341655376753e-05,5.92936315113453e-07,2.930153382634833e-07,6.951497457940709e-07,3.800984369846173e-07,2.6613213198631446e-06,7.376581069402687e-07,4.235447755792121e-07,3.5181697723868295e-07,1.371594441585384e-05
3500,4.682951307654844e-05,5.857525342764025e-07,2.931907613452795e-07,7.039889421484319e-07,3.8779493576545405e-07,2.734776533175477e-06,7.75403616761786e-07,4.3107803997844233e-07,3.6225327766073735e-07,1.3512875663602252e-05
3600,4.6312816680824516e-05,5.806344377645566e-07,2.904878833749591e-07,7.087250701534346e-07,3.8978080199648575e-07,2.858196923922606e-06,7.967576010168767e-07,4.4462658806053606e-07,3.672808730321568e-07,1.4015204856442606e-05
3700,4.596762495366521e-05,5.741948837399129e-07,2.8764682013916314e-07,7.215384407019243e-07,4.0276662512236803e-07,2.8540157301034623e-06,8.129642520796312e-07,4.564065344870806e-07,3.761999644125795e-07,1.4709441348900886e-05
3800,4.5922029083894525e-05,5.7006798048659e-07,2.864569676106786e-07,7.493757687790049e-07,4.0565549936410587e-07,2.9545938223103193e-06,8.078361212061412e-07,4.5486714010255795e-07,3.9637672547834003e-07,1.4854531049799667e-05
3900,4.477864137428526e-05,5.592782732482687e-07,2.8347617023859994e-07,7.645405110088813e-07,4.287089446758966e-07,3.0037560498995783e-06,8.375389327899061e-07,4.6266136647027287e-07,4.017922628422914e-07,1.5031451506117437e-05
4000,4.501109643318e-05,5.533237099006941e-07,2.834168868839356e-07,7.661673844207128e-07,4.248640873772135e-07,3.110577191660446e-06,8.543196483908606e-07,4.819403531332887e-07,4.1347560609554644e-07,1.5248734795564349e-05
4100,4.445970462160684e-05,5.464612085308733e-07,2.8225256702575464e-07,8.003617960129835e-07,4.345709419300263e-07,3.1341930980597427e-06,8.796927089213301e-07,4.897095465578309e-07,4.118695823324181e-07,1.5591059186781158e-05
4200,4.4066091268015126e-05,5.407199018402428e-07,2.773182163479761e-07,8.173980573281039e-07,4.4877694621198224e-07,3.156024251894791e-06,8.8552476514823e-07,5.037920761881783e-07,4.2875530941347316e-07,1.6460157448625327e-05
4300,4.318644315272891e-05,5.430679722138119e-07,2.801166618657889e-07,8.364969606910987e-07,4.5477202328153387e-07,3.284378773140238e-06,9.184465445753929e-07,5.0326879470555e-07,4.2476529005817377e-07,1.656011160255931e-05
4400,4.289997420438536e-05,5.287769842081823e-07,2.7729121916091545e-07,8.384439958342361e-07,4.581379104849377e-07,3.3557188694232175e-06,9.0721049890423e-07,5.254666420504524e-07,4.4150930256261003e-07,1.691690102178706e-05
4500,4.243072815453145e-05,5.22610470838868e-07,2.7437992676753837e-07,8.580306762420261e-07,4.769666258576388e-07,3.376658063873531e-06,9.427153731394581e-07,5.327282152109876e-07,4.446395492076006e-07,1.6948754871470014e-05
4600,4.162444229990422e-05,5.181110783921998e-07,2.766301066759545e-07,8.668115463738205e-07,4.811890861683299e-07,3.4686907828299324e-06,9.57892819668253e-07,5.354422387817659e-07,4.5103563047631603e-07,1.7525311122173345e-05
4700,4.134005252027761e-05,5.222444985459264e-07,2.6880399527369113e-07,8.780984344154861e-07,4.853503990953211e-07,3.516406165649627e-06,9.788953963315413e-07,5.399967049598733e-07,4.6639363442557205e-07,1.7799561011289985e-05
4800,4.119540342990056e-05,5.104287149234195e-07,2.7107572047782193e-07,8.991095378754881e-07,4.897078144346862e-07,3.530205035468658e-06,9.839453008264185e-07,5.460025163446949e-07,4.7181924595392307e-07,1.8405132649645873e-05
4900,4.1002431887717536e-05,5.075334101566047e-07,2.6574117231330003e-07,9.147564169378798e-07,5.031120020715061e-07,3.6238476993436487e-06,1.0171289920586266e-06,5.596648478828299e-07,4.835928236176573e-07,1.8513193254673868e-05
5000,4.061077636348984e-05,5.086213189060164e-07,2.6279236445889925e-07,9.384036248394747e-07,5.181298509411416e-07,3.6320404888348425e-06,1.011953367138903e-06,5.673509906569597e-07,4.861978201166923e-07,1.8526807555531003e-05
