milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.73476658010118e-05,-4.940079727476119e-09,-1.6284414031455282e-09,-5.421289950558861e-09,-5.182628272808848e-10,1.6877358216338208e-08,-5.2982363627857735e-09,-7.83706979641051e-09,3.0432220584230433e-09,2.479002871397196e-07
100,6.621429416957093e-05,3.5583401833946565e-07,3.233094023719492e-08,2.5871836868408276e-08,8.03970472507055e-09,1.1313069558000421e-07,3.95229818901404e-08,1.775706736084477e-08,1.1226396345058005e-08,2.3186850548886808e-07
200,6.559093923976176e-05,5.479018956226471e-07,5.4635072107539676e-08,3.443970209617556e-08,2.1848301163783857e-08,1.7174971307973418e-07,4.167647230636131e-08,2.9799223899904482e-08,2.983655491885353e-08,4.0559379708943856e-07
300,6.503589128963604e-05,6.554397362399505e-07,7.917205778044084e-08,7.822108720935082e-08,4.175737220128578e-08,2.5376140215988284e-07,8.281631846063636e-08,5.1025588710257333e-08,3.9337094318622905e-08,9.908539418300402e-07
400,6.420977531451395e-05,7.123263737503227e-07,1.0269832186847947e-07,1.0082579465408856e-07,4.9272144740276606e-08,3.5827262170838527e-07,9.372766023616858e-08,6.534670336089091e-08,4.5831121343435534e-08,1.0499822008036555e-06
500,6.347950423024392e-05,7.490044023663727e-07,1.1973917789187886e-07,1.0728738317408483e-07,6.464932148558357e-08,4.031574785476369e-07,1.2298320301472263e-07,7.292069569037833e-08,6.6169239300223e-08,1.644760585489048e-06
600,6.267000405806392e-05,7.582292985647879e-07,1.412925866466051e-07,1.416507139321991e-07,7.054417934035176e-08,5.600576616881384e-07,1.49559741118342e-07,7.831817620717962e-08,6.928097570620399e-08,1.985766064782919e-06
700,6.230626000963701e-05,7.606558340179916e-07,1.5643863228236238e-07,1.617758534580983e-07,8.882533307913434e-08,6.087428626164445e-07,1.6585618706645036e-07,9.905549404118513e-08,8.012813627079244e-08,2.6193021340430237e-06
800,6.145431395220282e-05,7.551231150240483e-07,1.757344352060203e-07,1.795003221988692e-07,1.0787744578606929e-07,6.915454176791787e-07,1.9851390013841533e-07,1.0745747554595155e-07,9.297227662267895e-08,2.9673757119112984e-06
900,6.136212276906614e-05,7.614797945247368e-07,1.8782082669975893e-07,2.0955856940134814e-07,1.1103998934098158e-07,8.214675490635033e-07,2.1215166265995836e-07,1.2197669252773663e-07,1.0167683989183889e-07,3.540830187896648e-06
1000,6.052623052983374e-05,7.508573652045163e-07,2.0189279745511387e-07,2.2468837886040908e-07,1.2737353879493296e-07,9.094519682713296e-07,2.5212981502175634e-07,1.4509768906926583e-07,1.2155011513459186e-07,3.935527983855271e-06
