milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.683311659340321e-05,1.454164931753329e-09,1.7567184774232594e-09,8.584592674358736e-09,5.643840499093108e-09,-2.703550291921286e-08,4.375445202771597e-10,-5.781159316191946e-09,-3.472122612422733e-09,-3.5535403239029747e-09
100,6.656761838852889e-05,3.524865830288541e-07,2.913637540312627e-08,1.7085820657225216e-08,1.6858533154653015e-08,8.517942777731329e-08,1.952871566265818e-08,6.543777665452912e-09,1.3659714688192714e-08,1.7388979137854756e-07
200,6.56327305489161e-05,5.556824882943257e-07,5.805908845859545e-08,4.2127893229389784e-08,3.282965540724644e-08,1.8221078751454275e-07,5.102487299306667e-08,3.459325736952867e-08,2.1222362970026127e-08,6.03592426053663e-07
300,6.520249340964762e-05,6.632718003132291e-07,7.774089199076993e-08,8.109510965833899e-08,4.486992774271547e-08,2.674870140908857e-07,7.737589941277168e-08,4.3389224404883844e-08,3.793979558792206e-08,5.06725332740589e-07
400,6.438257109142906e-05,7.180201359486737e-07,1.0104364583264381e-07,9.668937819168363e-08,4.616467003289371e-08,3.770279564045796e-07,9.325685710469658e-08,6.075270402017127e-08,4.655471793539549e-08,1.0351644393416288e-06
500,6.369666808964156e-05,7.509480438910382e-07,1.2144997818737665e-07,1.129699705522318e-07,5.759439336670572e-08,4.930854758083429e-07,1.2115301265615163e-07,6.745546440923634e-08,5.312608110755627e-08,1.5965386812090934e-06
600,6.33734425524063e-05,7.610222028212192e-07,1.4179417884091257e-07,1.4374145056322064e-07,8.364410085227502e-08,5.016998264680858e-07,1.5921576430196683e-07,9.222859924310906e-08,7.479217046127227e-08,2.21982077310397e-06
700,6.243358557989561e-05,7.595079561020521e-07,1.5610138547680345e-07,1.6585963004560342e-07,9.192814840750339e-08,5.934983552226291e-07,1.6117789555189997e-07,1.0400460308639613e-07,8.971185487880931e-08,2.6974528132060957e-06
800,6.1595599313221e-05,7.590776202459915e-07,1.7290184765422368e-07,1.7639808547567664e-07,1.0120806541164903e-07,7.689461903889596e-07,2.0157286718897638e-07,1.1265892031188004e-07,9.523421585215958e-08,3.1774947899682456e-06
900,6.090673650484009e-05,7.534618861718368e-07,1.8696993057806147e-07,2.1305109632086135e-07,1.1748754707096254e-07,8.32277425447325e-07,2.2951893814886537e-07,1.2655226153727377e-07,1.0528673039173651e-07,3.4780878275412903e-06
1000,6.059531165166144e-05,7.462744042973538e-07,1.9896705871887923e-07,2.3880118079291436e-07,1.265613653356838e-07,9.090869879590852e-07,2.4499643219660975e-07,1.4269613725895316e-07,1.1546894492577853e-07,3.5725079528706585e-06
1100,6.014730651699031e-05,7.405645342881073e-07,2.0938982432399343e-07,2.595535315545623e-07,1.434234976225306e-07,9.229712300375055e-07,2.768229755980592e-07,1.5983741799313497e-07,1.2843301935031968e-07,4.222991982949932e-06
1200,5.966417415753407e-05,7.419352814718925e-07,2.233764948929063e-07,2.5570154780951775e-07,1.5073841004337382e-07,1.015836534231806e-06,2.883858103046611e-07,1.7031427957313876e-07,1.3537712475295541e-07,4.538463197207321e-06
1300,5.9074508039924776e-05,7.31188697210325e-07,2.3030408890402384e-07,2.892288275058126e-07,1.6030198384381718e-07,1.1518266951017222e-06,3.0571249129609443e-07,1.7186762100770084e-07,1.4344546055556507e-07,5.000044923775067e-06
1400,5.838410793543184e-05,7.262965300409588e-07,2.412741063506432e-07,3.032176299328793e-07,1.681418625167833e-07,1.2603150088704242e-06,3.4496739951299136e-07,1.8371946211523848e-07,1.6173256961196932e-07,5.728646173755081e-06
1500,5.7861314020404244e-05,7.123849497543745e-07,2.465138853878503e-07,3.37619046513065e-07,1.8259488591035738e-07,1.2912828468136049e-06,3.634467478263572e-07,1.9628399734860493e-07,1.731666968254236e-07,6.09737286447391e-06
1600,5.674026177159133e-05,7.125636034124534e-07,2.5382872246948364e-07,3.4515825272219905e-07,1.9401250823990437e-07,1.3933125531648798e-06,3.920572794972011e-07,2.2306273765349507e-07,1.8298501747910301e-07,6.155237337974453e-06
1700,5.639508744653052e-05,6.993561394316357e-07,2.5999468469172764e-07,3.606094251340414e-07,2.081264258888968e-07,1.4516330056812408e-06,4.020513470102365e-07,2.197055851955211e-07,1.930898269892858e-07,7.004897706682136e-06
1800,5.595300620868785e-05,6.944699613565431e-07,2.6384388327888424e-07,3.889369930706586e-07,2.2135343817032918e-07,1.5414112230664147e-06,4.323635379944591e-07,2.4813234929812906e-07,1.983644018736713e-07,7.12476082500373e-06
1900,5.5092390200724346e-05,6.883803080325691e-07,2.7322592467208454e-07,4.205216946583836e-07,2.2512062098337038e-07,1.5919608658140952e-06,4.420316485236468e-07,2.5806771773657875e-07,2.1767541615418246e-07,7.494259957494657e-06
2000,5.486768527002696e-05,6.806699183187613e-07,2.771102633285501e-07,4.173333289372024e-07,2.3569040353025435e-07,1.6816746076468685e-06,4.804835413869454e-07,2.6172733470962543e-07,2.2304995527252943e-07,8.164571796807495e-06
2100,5.392871610140759e-05,6.734106052765422e-07,2.811198906075393e-07,4.60624352915907e-07,2.494974690343977e-07,1.7607625717242365e-06,4.84610562805549e-07,2.7798698818536146e-07,2.3165589018059337e-07,8.663007617656585e-06
2200,5.3538197843282e-05,6.688810162863685e-07,2.811562575169571e-07,4.799978346728678e-07,2.534012348830261e-07,1.8236038270906715e-06,5.082245085151889e-07,2.8098352415522307e-07,2.408556828145581e-07,9.101520388563009e-06
2300,5.297099337385012e-05,6.606713443446244e-07,2.8213911600460816e-07,4.8004200776896e-07,2.688058184427081e-07,1.9152911792839458e-06,5.196183569585718e-07,3.011895016047197e-07,2.542275529679328e-07,9.069459904937605e-06
2400,5.279822087561747e-05,6.48671741705344e-07,2.8909560943257816e-07,5.033859793353375e-07,2.782558338065247e-07,2.01678706527503e-06,5.460006477035113e-07,3.0382142612238e-07,2.6802362712942014e-07,9.458995638197362e-06
2500,5.219416499372862e-05,6.41929327109285e-07,2.8765667776276994e-07,5.256583187936469e-07,2.8899696862838174e-07,2.0728013968688935e-06,5.770699725924451e-07,3.285699461578248e-07,2.76663890547992e-07,9.945299464835134e-06
2600,5.170890312485645e-05,6.440877915297423e-07,2.870238008845707e-07,5.381817763310784e-07,2.9496520232915575e-07,2.0908779858196164e-06,6.074381677133182e-07,3.284139076147979e-07,2.760394729073664e-07,1.0601097993286436e-05
2700,5.0828448978144046e-05,6.304972847004469e-07,2.938370069572226e-07,5.610903069634842e-07,3.0993147369440917e-07,2.2373150783546713e-06,6.252462556880583e-07,3.484552159745668e-07,2.9589068277378664e-07,1.0774649572696844e-05
2800,5.038310783348657e-05,6.240629365171123e-07,2.892968304824005e-07,5.744841514086772e-07,3.2076706529744216e-07,2.249244281501635e-06,6.238852194846606e-07,3.6169125689422815e-07,3.075814118494813e-07,1.1267298525586255e-05
2900,5.01012119518541e-05,6.280102319757777e-07,2.9322906597451716e-07,5.971676258662889e-07,3.276172200417679e-07,2.35911711303459e-06,6.526222555258916e-07,3.655362677037036e-07,3.103156635826431e-07,1.1647720773737738e-05
3000,4.904199742816885e-05,6.165155058641384e-07,2.893362314300731e-07,6.264913158114989e-07,3.37919651040788e-07,2.3918462279509184e-06,6.705425434326171e-07,3.815982717401476e-07,3.265207483007862e-07,1.217441243207555e-05
3100,4.856648613762952e-05,6.032413046775005e-07,2.9165738353669e-07,6.263950921724116e-07,3.4147377814808724e-07,2.4961781093736957e-06,6.978018596538423e-07,3.800456007759104e-07,3.238713028162942e-07,1.2627432465560929e-05
3200,4.812282306748399e-05,5.996464183033562e-07,2.9148869395043195e-07,6.347506353293877e-07,3.6015826170051494e-07,2.5043192572633207e-06,6.948075988728397e-07,4.0576707186927077e-07,3.30767315920077e-07,1.2843962962165427e-05
3300,4.759258465622054e-05,5.969308572472667e-07,2.8845270087801314e-07,6.533927345643494e-07,3.7433485793210675e-07,2.5883068688772244e-06,7.389424706898332e-07,4.0944010593146694e-07,3.509161037358852e-07,1.3167335568686529e-05
3400,4.742538065694683e-05,5.891708389451247e-07,2.941962736826729e-07,6.751306027795351e-07,3.8023938630963434e-07,2.731026488310963e-06,7.503976222093133e-07,4.178627100919748e-07,3.576657321639713e-07,1.3339197965841993e-05
3500,4.6790018040000826e-05,5.872650035725596e-07,2.884615759246345e-07,7.086189695254114e-07,3.8965139634433613e-07,2.79177093291671e-06,7.728231939062974e-07,4.349291071624e-07,3.7047202027003366e-07,1.3866025126817196e-05
3600,4.683255612284447e-05,5.730343972689578e-07,2.8575622275109444e-07,7.0661627062776e-07,3.9694227736281365e-07,2.8240308891070613e-06,7.965401616083231e-07,4.448369783879339e-07,3.755593308930424e-07,1.4111210295371675e-05
3700,4.605813291933022e-05,5.71412251636136e-07,2.903707014709857e-07,7.339691467257575e-07,3.964382366373096e-07,2.919813855669614e-06,8.12251494650327e-07,4.527954601793942e-07,3.7682495311078765e-07,1.4357142715899074e-05
3800,4.5236100643352476e-05,5.711266287872593e-07,2.851443465256943e-07,7.515004367455313e-07,4.170399670099904e-07,2.8986995329848133e-06,8.14047951224429e-07,4.520752693494441e-07,3.941927078933634e-07,1.5119830302286534e-05
3900,4.487288042316697e-05,5.594729162664706e-07,2.85035795627375e-07,7.522170931430653e-07,4.282731393743505e-07,3.0447625316199097e-06,8.433829570832168e-07,4.633575182415336e-07,4.0388556681825374e-07,1.4970536687424373e-05
4000,4.458161710631161e-05,5.541427008358476e-07,2.869687970161277e-07,7.787807028163793e-07,4.259003953115023e-07,3.101995957984588e-06,8.455420059850302e-07,4.877323538165208e-07,4.0001273609844383e-07,1.5672061761230046e-05
4100,4.430586861311273e-05,5.505947150496226e-07,2.8150822534412366e-07,8.005061665235226e-07,4.394164288398135e-07,3.167562014836555e-06,8.612678811793954e-07,4.954014518356966e-07,4.203929271811043e-07,1.562000309070936e-05
4200,4.356854632445831e-05,5.428844145274077e-07,2.807861737713011e-07,7.998971316504576e-07,4.4738934718334224e-07,3.204827416526988e-06,8.739375855808854e-07,4.979102175665432e-07,4.1583254105011295e-07,1.6417259399282923e-05
4300,4.347808412415541e-05,5.415669926305003e-07,2.8011023241306835e-07,8.226117352044225e-07,4.5307039077312456e-07,3.2296448236786572e-06,9.021772758739886e-07,5.088582730269339e-07,4.2890575317922857e-07,1.6806383105748725e-05
4400,4.2668243401639215e-05,5.403084641807772e-07,2.785648591976407e-07,8.286552237896747e-07,4.601177958166075e-07,3.3183780678651663e-06,9.344363345696177e-07,5.235151811576484e-07,4.4245142111749116e-07,1.710352628240347e-05
