miliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
2900,5.0014219399217834e-05,6.266362868589144e-07,2.9237203556552307e-07,5.92344756676727e-07,3.326732309618387e-07,2.3456889453889277e-06,6.422167649052433e-07,3.717127337713507e-07,3.1283926581197867e-07,1.1454223645203142e-05
3000,4.938838958340461e-05,6.213248719832238e-07,2.8815390675984565e-07,6.141722295108674e-07,3.3665218745912027e-07,2.4028749268038997e-06,6.601736743113579e-07,3.7720770721297746e-07,3.1260795654220505e-07,1.1941509173259453e-05
3100,4.892959768518412e-05,6.14417939407027e-07,2.922776570877269e-07,6.33589030370218e-07,3.546300310051108e-07,2.502774482629424e-06,6.777088231068305e-07,3.8227699045436e-07,3.3437108145210087e-07,1.216049896932599e-05
3200,4.805987588355674e-05,6.058002625993134e-07,2.9312486599467067e-07,6.35553698770058e-07,3.506369588266986e-07,2.602849863797029e-06,7.188257726790775e-07,3.9948321617350035e-07,3.32113588321431e-07,1.2851684628216653e-05
3300,4.7820044410485814e-05,5.991085232251709e-07,2.9475822869369283e-07,6.703403567357775e-07,3.6751688280098974e-07,2.659874136632106e-06,7.239533046443516e-07,4.021210716474415e-07,3.4206548635562686e-07,1.30865531624056e-05
3400,4.752557466013082e-05,5.91831555024426e-07,2.889794180098033e-07,6.945818486640174e-07,3.709734133188677e-07,2.7276901502392976e-06,7.605514089039909e-07,4.2745580549474736e-07,3.5858070526652293e-07,1.3696636867039493e-05
3500,4.697116949406514e-05,5.892408068848584e-07,2.8613214355324754e-07,6.895536752417681e-07,3.824785554648014e-07,2.706339051592704e-06,7.790754383507931e-07,4.2475349645818137e-07,3.604446436933511e-07,1.405405290862343e-05
3600,4.628780081602098e-05,5.827769559396761e-07,2.9136872139373433e-07,7.044555983726768e-07,3.944687848840629e-07,2.787823692309702e-06,7.797107084599795e-07,4.482627042391242e-07,3.727388263052211e-07,1.3931428726618949e-05
3700,4.6200732581021986e-05,5.770763924195273e-07,2.882190722738654e-07,7.211269467831802e-07,4.0970227172349457e-07,2.9302258515739116e-06,7.897932093405351e-07,4.552263710223752e-07,3.8125898467471255e-07,1.4219520748677987e-05
3800,4.5792056569375376e-05,5.638446211635663e-07,2.859762264428705e-07,7.422248050051281e-07,4.1527170932366303e-07,2.962422235699614e-06,8.147241205220451e-07,4.5780768645838947e-07,3.9528100366663834e-07,1.4735423059879941e-05
3900,4.484792858945622e-05,5.610992242647724e-07,2.8713088840671054e-07,7.620727553646439e-07,4.2683191914213064e-07,3.0111612302841624e-06,8.43524639670494e-07,4.719877674318905e-07,4.0513448225696913e-07,1.4983872310999908e-05
4000,4.4396273385651e-05,5.61206722241254e-07,2.8094279750301375e-07,7.88656240625856e-07,4.295892276241234e-07,3.043906832724947e-06,8.534852511515715e-07,4.849141571760735e-07,4.1248173470984054e-07,1.54217265854292e-05
4100,4.393192075903884e-05,5.52111653091836e-07,2.788197469902636e-07,7.816747654926696e-07,4.4208335025502614e-07,3.138605749407186e-06,8.654314887284631e-07,4.857760540332453e-07,4.094094056805846e-07,1.5921829934035465e-05
4200,4.408362047784573e-05,5.502802979965914e-07,2.783480514464233e-07,8.060404883507812e-07,4.4859558088271266e-07,3.252039515137262e-06,8.85070372518748e-07,4.956323282769169e-07,4.1596732491236176e-07,1.6070071825286543e-05
4300,4.317065733759188e-05,5.41476787980055e-07,2.810767740446521e-07,8.26847179467608e-07,4.526133395728336e-07,3.222980930569668e-06,9.079252158890887e-07,5.087216631066679e-07,4.3040222401766996e-07,1.6297321390025775e-05
4400,4.3067035700346494e-05,5.292020638080885e-07,2.785432241070617e-07,8.363617632109185e-07,4.6507326066322356e-07,3.368658730349612e-06,9.345333512530656e-07,5.159137616272968e-07,4.3896963637678336e-07,1.6989119026933888e-05
4500,4.207013799042283e-05,5.284113356594203e-07,2.7863059286487546e-07,8.610401296675222e-07,4.773043380327175e-07,3.3701792900929123e-06,9.317760401241431e-07,5.25416256945521e-07,4.399532679451727e-07,1.7344449650168057e-05
4600,4.228578998240841e-05,5.22280897436374e-07,2.760423249233252e-07,8.67242393057899e-07,4.852395052883528e-07,3.3953098530760745e-06,9.525352188804907e-07,5.326483963762792e-07,4.521993641163766e-07,1.769393738808064e-05
4700,4.166617857576164e-05,5.125487904159798e-07,2.705928490996306e-07,8.866253708592331e-07,4.90488406844138e-07,3.521617423552564e-06,9.729667104825847e-07,5.442583993824504e-07,4.671208859996113e-07,1.79377743502996e-05
4800,4.113224955749291e-05,5.162901873271181e-07,2.6708832492307623e-07,9.051017684474113e-07,4.942774773634872e-07,3.539526857068317e-06,9.951298787674383e-07,5.542696662212773e-07,4.6335992259990624e-07,1.8341317044880423e-05
4900,4.043839686934698e-05,5.136776306019194e-07,2.6704076467808985e-07,9.15249925839667e-07,5.013047478244743e-07,3.5755559396333194e-06,9.93680600435378e-07,5.70902988619177e-07,4.7172072852123325e-07,1.8335950332922422e-05
5000,4.043634817562978e-05,5.067480308573997e-07,2.6633497045268586e-07,9.221414185709299e-07,5.18049243095322e-07,3.661064411110912e-06,1.0073152497452357e-06,5.697895574015256e-07,4.903959651037923e-07,1.9022313207900972e-05
