miliseconds,S,N,T,M
0,0.10040970504416442,0.20015034666463272,0.10004606374730518,6.41152622451185e-05
100,0.10088022261045457,0.1996057333115298,0.09969341409096502,5.1241375040442474e-05
200,0.10176738420409019,0.19953553067979773,0.09937588133268535,0.00014262141816559845
300,0.1033444655893865,0.19921173383114466,0.09911695219270948,0.0003600164983565891
400,0.10425858062769461,0.1989210595459086,0.09886688141305815,0.00040851466504663485
500,0.10537086110687602,0.1985978418290533,0.0986556364191705,0.0005273649108659278
600,0.10572243435343093,0.19836683947460307,0.09835108298715405,0.0006236074761030095
700,0.10676596889052285,0.19816791342304627,0.09807228346697325,0.000686534069850239
800,0.10728330687271694,0.197812323421967,0.09796293136608053,0.0008575434217289846
900,0.10921899403457709,0.19761966683003648,0.09748289351642561,0.0009305855762395221
1000,0.10942583734262523,0.19730217423348836,0.09728683841923716,0.0010265082572759507
1100,0.11066524747690827,0.19702477725173365,0.09705877441563951,0.0011350557982633994
1200,0.11120065252553976,0.19691924771981614,0.09686943941862254,0.0011319453948228078
1300,0.11230147428119745,0.19653091237275128,0.09659103350038399,0.0012312081037851
1400,0.11313811765282264,0.19629908669770327,0.09646553899039767,0.0013352059321186764
1500,0.11406550430662571,0.1961840289917133,0.09617385483337954,0.001432251530201026
1600,0.1155920928485982,0.19603694738326066,0.09600138270061084,0.001606301012874225
1700,0.11620903359690178,0.1956835976078379,0.09588562963085097,0.001706532708168951
1800,0.11686926831233882,0.19551661017580205,0.09565610934973358,0.001699183427972861
1900,0.11745039256321864,0.19518134593915049,0.09518007188607179,0.0018775482891995603
2000,0.1183546773873332,0.19512063362071458,0.09498139072055593,0.001997414980041753
2100,0.11952396463311746,0.1948144470788221,0.09483063844631791,0.0020039838410331927
2200,0.12033219903641752,0.19461370968239927,0.09478388398525912,0.0020970417290661664
2300,0.12131051075884741,0.19444342590850314,0.09441602334223859,0.00217533428676077
2400,0.1223077955249457,0.19433032748169796,0.09417892331175079,0.002280118496986164
2500,0.12296205106930111,0.19395025286432788,0.09397558510219538,0.002408307247171735
2600,0.12331414947858774,0.1938241198372157,0.09395575376623369,0.002464875939922929
2700,0.12386148122630382,0.1936292443437705,0.09381729736276358,0.002614653733239688
2800,0.1256323107574493,0.19338127979569947,0.09346346179530947,0.0027434646664322554
2900,0.12593510661697768,0.1931510487244066,0.09340719236430174,0.0028455185803910885
3000,0.12691560668587948,0.19295607160294034,0.09319245725697133,0.0028225373891104526
3100,0.12687887197290387,0.19273205821391878,0.09290223779847717,0.00298235692812156
3200,0.12850747437583201,0.19260797685916536,0.09285272084600106,0.003051902242243375
3300,0.1289546920157498,0.19240846359773905,0.09271485940251713,0.003231250100135207
3400,0.12986241684223815,0.19219343741257866,0.0923581941056616,0.003292948866529012
3500,0.13081352557546408,0.19199347789095736,0.09219061088181539,0.0034083166825176255
3600,0.13160404719212834,0.19205956262257542,0.09206280490421954,0.00345091916777075
3700,0.1317726511021781,0.1918830038764577,0.0918929237911887,0.003538668271042655
3800,0.13327207183882264,0.19176857499817485,0.09173394884207009,0.003645367122655024
3900,0.1332957676932176,0.19150650114017548,0.09160814133324936,0.0037265865486832226
4000,0.13398282486817853,0.19120572610981898,0.09138673360762868,0.0038204776023323703
4100,0.13441255873279337,0.1912762162629421,0.09126305731751831,0.0038517207438712587
4200,0.13570094985407463,0.19109504676144487,0.09105545933891429,0.003964602776683628
4300,0.13689662713259101,0.19094338458863275,0.0910910379081206,0.0041380169703219855
4400,0.13699750287149298,0.19057762912463866,0.09081594904245209,0.0042283888635421115
4500,0.13729640481668143,0.19055693763544962,0.09079825942875928,0.0042956413726102614
4600,0.13848409115177435,0.1903765834673382,0.09040231363184457,0.004346342314783361
4700,0.13904986815779266,0.1902649424272063,0.09032487755755562,0.004473298308030569
4800,0.14009130220818355,0.1899872881717129,0.09031952668544507,0.00454793828709348
4900,0.14000651406008163,0.1900543850987375,0.09003355655387466,0.0046736083207288715
5000,0.14159019056607003,0.18988777350112934,0.09002548866451779,0.004751809595495343
