milliseconds,S,N,T,M
0,0.09958148607786864,0.20008653806656804,0.09994484712479175,8.926804207007768e-06
100,0.10099803838347697,0.19985299281164975,0.09980162232018697,0.00010816640270963214
200,0.10176616783403669,0.19943143849744746,0.09940850876038036,0.00018433958600994776
300,0.10351180649729677,0.1991732641383603,0.099218025218077,0.0003626992665116038
400,0.10420116430897518,0.19878625612716172,0.0990350258890148,0.00035776254597829965
500,0.10548058162598226,0.19853489653832887,0.09856503330178333,0.0004320472393868233
600,0.10626914473971893,0.19834218527306727,0.09847445864167377,0.0006143143256104817
700,0.10698531932233335,0.19811099993271958,0.0982177549542947,0.0007613029801392512
800,0.10715872096758003,0.19800821648250616,0.09791867308719064,0.0007994418851303082
900,0.10855607994232055,0.19755464389159,0.09767839089264105,0.0008693381199742887
1000,0.10943922492863184,0.19737578701602213,0.09736934603861981,0.0009982269236888295
1100,0.11081733277224631,0.1972683067293703,0.09706013633796373,0.001028589903913631
1200,0.11116157452571729,0.1969250396958606,0.09693400469886065,0.0012307051637699409
1300,0.11242973873781842,0.19658064613466725,0.0966108647379073,0.001307295192803885
1400,0.1135793379415043,0.19649249108917657,0.09639330296141076,0.0013232293456595407
1500,0.11467047035240822,0.19611920861260032,0.0961184907549284,0.0014376116989256265
1600,0.1145021904307942,0.19604417602366042,0.09591747297565803,0.0015783630151286812
1700,0.11644657419831556,0.19568323185884015,0.09582883567379409,0.0017142064825615513
1800,0.11707533818327472,0.19564651488169715,0.09542941222683399,0.001780819106072632
1900,0.1180081507462414,0.19540597887618508,0.09543442710999,0.0018065823633309015
2000,0.11844653655455431,0.19510787343626143,0.09510664208529955,0.0019117640323622555
2100,0.11960519641913296,0.19482546018969196,0.09504835153748553,0.002098214571650988
2200,0.11992754131852477,0.19450199796911866,0.09481677433113599,0.002109337219077779
2300,0.12098911571367886,0.19456162133493057,0.09437248268712631,0.002204600131145727
2400,0.12237459544001211,0.19423838575541552,0.0943890818588882,0.002262643096976071
2500,0.12307335842037757,0.1941731431145457,0.09409004739631521,0.0024562909472609857
2600,0.12305807348096211,0.1937225833086787,0.09400715823343787,0.0024608438369236067
2700,0.12372219881647385,0.19358244214339496,0.09356702029643806,0.0026662440260155273
2800,0.12445954457397973,0.19334257390078505,0.09348486944444238,0.002771167461969845
2900,0.1260084400895043,0.1932949112296442,0.09329177793991646,0.0027969566826052516
3000,0.12710877355201078,0.1930657807983656,0.09315015821457229,0.0029090131835405155
3100,0.12781982737954706,0.19288912508509434,0.09288017559023636,0.0030237091343604016
3200,0.12802114210932636,0.19282684499452235,0.09289340364934612,0.003019550065244034
3300,0.12870845726343424,0.1925082620166275,0.09254277930499556,0.003146625379883788
3400,0.12983303692756842,0.1924437709750054,0.09240762278590502,0.0032598948535497666
3500,0.13072577283811945,0.19214100785658633,0.09235162102436295,0.0033375850465363
3600,0.13173401250444244,0.19185114503324546,0.09202887323562046,0.0034780555466253503
3700,0.1322252287201768,0.19183701378119752,0.09192414413353155,0.0034793130833227783
3800,0.13212696422243292,0.1917272389195167,0.09160340975225387,0.0036502229501632517
3900,0.13348933538229152,0.1916092241347946,0.09149342556833634,0.003752428981550849
4000,0.13429532743294648,0.19131751555718124,0.09147938259078647,0.003833106161884185
4100,0.13548544783806057,0.19123706846620514,0.09138434839408813,0.003923721905309976
4200,0.13616707163514924,0.19096469911006075,0.09109549905796874,0.004053449343727921
4300,0.13583169363808495,0.19070143427647845,0.09088935556895818,0.00409562550051859
4400,0.13677530926677567,0.1905223237885413,0.0908100428659519,0.004218891829319203
4500,0.1378786558404499,0.1905057429450767,0.09066783957219811,0.004230568504178861
4600,0.13802973219007017,0.19027485317614404,0.09037922540781602,0.004336925874900603
4700,0.13862489248341286,0.1902173159542729,0.09031039312080366,0.004409869791890539
4800,0.14017149268836313,0.19020535414050202,0.09008135869693279,0.004588409199549254
4900,0.14016520261048657,0.18977624709776017,0.08997464555614296,0.004565347173741657
5000,0.14105892304754072,0.1896987801274606,0.0898583180119348,0.004763304135092477
