milliseconds,A,T,M
0,14087.199808036135,66105278.99024546,995586.2970202577
100,14114.089691639247,66121338.06411259,988688.8562369841
200,14048.503513533204,66054821.244394355,987821.5461285051
300,13974.450979447995,66059887.6433728,977927.3304230364
400,13891.208548039487,66019964.26902529,969457.7688094182
500,13897.736273057475,65983041.037941016,954885.9409224283
600,13780.592272720409,66039258.67894719,945309.2140212292
700,13791.959623937397,66076625.662310414,945171.1077024163
800,13704.623527847676,66034382.65767845,936620.486374785
900,13692.86652827882,65897478.790766746,929721.5240687781
1000,13668.928921939454,65858537.17730277,910884.1739517364
1100,13598.406037835766,65780220.67276939,913740.3802175602
1200,13601.543759580836,65785758.736075245,905347.6407388292
1300,13506.5585834207,65763673.02251756,892822.9639340907
1400,13434.9234404884,65809847.906204805,875191.2721585785
1500,13423.705943722329,65657928.468611956,868004.8368096076
1600,13371.111551207865,65691164.11987996,863376.7708060665
1700,13318.029012630981,65582514.14310436,863229.3681973035
1800,13330.933632757095,65532566.39233513,847920.2811585062
1900,13301.612240900171,65539401.93317065,837530.9953208485
2000,13206.506179512295,65354559.46462344,835450.933355715
2100,13249.902175671117,65288110.823082305,829437.8701781504
2200,13119.307458494925,65335289.05327365,813677.1830531961
2300,13154.669689141607,65296625.53000051,819634.9031413924
2400,13110.272650961233,65077572.2788667,801894.5107351212
2500,13066.325630912115,65035471.35934781,807024.3806521066
2600,13013.923913980903,65090259.04870271,794661.2631575218
2700,12948.505890838544,65016447.277029805,783364.0628011187
2800,13006.723432695093,64843263.108248375,775334.626312244
2900,12956.859866754181,64864770.605281174,766501.136023712
3000,12888.343636523381,64794195.359469585,774190.6824371294
3100,12828.377135948005,64568920.911338344,754835.6981301411
3200,12828.89149132442,64636785.02431691,747375.404096254
3300,12789.507137692966,64439477.78603263,744245.1685789498
3400,12814.792151496928,64291644.06330924,744822.8933847498
3500,12791.503229299511,64348834.980897985,735104.4241554863
3600,12725.625796514543,64315974.09914326,726359.6183411146
3700,12679.040839542351,64112659.84067529,723229.6622885522
3800,12633.705446972283,64114348.693340234,711973.5395091079
3900,12613.778133154909,64036976.84862104,707902.930839023
4000,12650.732736633212,63798882.94386846,708626.9353888546
4100,12617.998485253203,63781417.1781765,701888.9818650973
4200,12506.11122005298,63793322.0291569,682754.8504230415
4300,12548.948507565643,63586665.24136059,692715.4808231861
4400,12445.77079134875,63530759.40579329,680882.962357719
4500,12518.532942196738,63520068.77495292,665692.5130585819
4600,12492.141200168366,63320513.10937451,662413.1887630627
4700,12376.851350446415,63315213.918350235,656427.5828863146
4800,12367.77929554618,63208844.363450445,651703.7334486628
4900,12418.005954674587,62994463.132784575,657179.232696319
5000,12329.911851165858,62933291.28145497,648515.8200146484
