milliseconds,A,T,M
0,14105.427120965056,66158649.42470572,991505.8109005408
100,14110.312147674083,66146013.66982081,989887.5750258559
200,14012.873644384743,66102495.20853716,986535.367488675
300,13957.57471286522,66082467.34939598,969801.8850599795
400,13899.606448729226,66008754.76051273,964031.2863665647
500,13852.718864984785,66119016.4996013,949499.3871968441
600,13860.36853828703,66031393.87831677,957671.8455265122
700,13750.705809878422,65933882.48408669,932071.6702823299
800,13743.642756227737,66057532.966809645,923889.5896524453
900,13694.475471571399,65875866.82055233,925079.2230172153
1000,13614.048100155725,65916723.037954964,914125.6972184303
1100,13610.044388345299,65837934.916166656,907197.9821784267
1200,13549.4550678916,65747884.07770343,899871.8972801613
1300,13528.42895995825,65692172.38809584,883823.9887229527
1400,13499.982492448298,65730076.477046825,892058.2969187428
1500,13453.712244625016,65777041.55559681,884784.533098673
1600,13382.879513170526,65586903.46988235,862118.4974780732
1700,13386.182117159253,65488288.853935234,849254.962154378
1800,13316.501583979725,65572149.93058713,850079.8108496851
1900,13254.54544872188,65378480.63665083,841400.9749425723
2000,13243.026674638078,65473055.739220545,844311.7841148874
2100,13198.25431743894,65327807.884042084,833505.7632542478
2200,13196.263165757153,65183626.566565,830529.4128723793
2300,13172.401784988366,65138208.30860872,814360.9384356233
2400,13090.562178998583,65173159.24949899,813659.7183704532
2500,13048.425348556353,65126484.5412661,790886.9236764598
2600,12987.323350517052,64918268.6444826,794126.9519715519
2700,12956.902122308524,64905123.8453366,785554.8244734762
2800,12970.846521502135,64939109.36733522,785124.2810120746
2900,12896.911620199235,64751551.43179512,774481.4422623944
3000,12866.613248912801,64618468.037803456,759680.1166034087
3100,12889.26530755694,64589060.69102098,762137.3028965696
3200,12868.250727979537,64599573.607378244,743126.6912931855
3300,12832.046380619497,64489887.85744802,738501.0111341691
3400,12766.747621097873,64449990.76458325,748064.9953837207
3500,12723.445693429208,64213378.643493034,734137.5346416073
3600,12689.081454351797,64287175.475888126,720029.8316059988
3700,12682.691519302936,64101260.09267153,723521.8840958978
3800,12687.902587908831,63969688.44086448,705152.9831073704
3900,12675.565108396386,63940098.67844364,702272.1924324777
4000,12579.376851283942,63842421.443600625,703617.2197431815
4100,12608.748882756436,63733036.36360076,700351.099557907
4200,12588.787540920843,63664925.06740203,695580.340514695
4300,12524.668256900215,63611123.48813349,680929.7429313973
4400,12456.347789373152,63478294.684812635,685040.6738405644
4500,12497.629304045826,63498325.25250374,677752.897984821
4600,12457.332526201099,63396455.07891887,658043.2279662833
4700,12451.34571840632,63175094.32346134,654836.6391605333
4800,12446.28607341054,63106054.28294091,657611.7565899529
4900,12358.733557041667,63170002.48409407,658879.8024391256
5000,12393.61987723384,63036109.508344986,648600.0415662313
