milliseconds,A,T,M
0,14125.479727035417,66132890.34134828,1004968.8610541049
100,14022.632559409301,66135360.53353947,994158.4773221002
200,14003.783608776115,66086226.32708022,982383.7645820453
300,13935.167160100304,65978471.70203121,967473.1345087193
400,13891.686437255792,66072626.63600103,963639.0664041456
500,13825.293856682798,66031599.550635025,949141.286239748
600,13789.410937720537,65939255.93098825,956838.9867473906
700,13763.033187308332,65904020.18103795,939024.1188013334
800,13729.022745191565,65969714.63441137,931892.2110659899
900,13649.553085671589,65869578.72322028,932462.4795343742
1000,13688.093967753079,65871510.96759986,905876.8108468348
1100,13553.295455359741,65932245.85245142,909199.6193526072
1200,13593.603535864931,65748459.05510959,899642.1310537861
1300,13467.201119910424,65793407.85233581,888061.8791664771
1400,13498.267872637025,65818499.42880958,890991.0422820121
1500,13427.118755224506,65633862.632216126,874399.2693706142
1600,13417.554872632752,65562752.30043182,863196.4461187212
1700,13312.353975425733,65623805.61589215,853963.843231755
1800,13322.577637737853,65603776.62539236,849171.3279547832
1900,13293.025440654119,65514146.51803732,849262.4262976842
2000,13229.04396456141,65439298.05184659,835059.8853495982
2100,13167.948236421678,65311159.709305935,822476.2670456104
2200,13201.001433177533,65261384.54670054,830495.3241947187
2300,13134.029685647349,65239285.98901897,814713.8280734352
2400,13057.072446485648,65084886.220732845,815627.3762965696
2500,13107.13681626803,64982071.083739184,790562.7261080615
2600,13008.420966900552,64984008.06240033,797237.8527434753
2700,12976.760914267456,64858493.140447006,778451.9685574183
2800,12971.655253291983,64845568.91635465,781785.1619179245
2900,12923.720147199687,64751349.85405511,774657.4119589765
3000,12925.219565104246,64642638.07845128,755669.5500318728
3100,12906.016155328878,64700412.78478938,749160.3188371983
3200,12875.690987728189,64529086.34807847,753330.8734938445
3300,12839.818360025005,64462962.85365497,748638.9276221576
3400,12784.997662407593,64307976.9181096,729444.3553559064
3500,12732.590242557611,64312103.37853997,741084.2301255118
3600,12752.782929071489,64223120.18853775,718246.260098077
3700,12679.94087587331,64189747.14365349,717517.7885146126
3800,12652.55422833846,64059203.95514423,708330.624368633
3900,12607.704826543251,63880910.98069183,699889.2416469603
4000,12573.243019224115,63812793.330047,706355.0430532721
4100,12592.245150586677,63754881.99056239,705432.9802192317
4200,12550.487147001744,63667006.36431064,690839.570333587
4300,12544.877189887759,63630240.75110861,681173.7995378001
4400,12453.590154852496,63521914.368932776,683866.4060180698
4500,12420.196100220039,63537385.03869246,667201.9784184839
4600,12412.783341950086,63289693.31672591,665899.7462083315
4700,12374.60091051593,63210456.95288275,658536.3267969264
4800,12379.02641380419,63253394.700266264,655378.6575314011
4900,12419.742702726275,63124233.175777376,643097.1441764463
5000,12301.154027907212,63022016.512550026,652222.2329791642
