milliseconds,A,T,M
0,14112.542205179256,66119734.55910552,1001486.6322488876
100,14077.100716988589,66099070.86893452,994958.6406500199
200,13999.916015535504,66023911.05077424,986640.840949747
300,13953.987350778023,66028200.67578348,968010.6747914145
400,13928.22756122878,66079832.634543344,973220.4070114054
500,13836.864910265687,65966137.43640603,952151.9810916521
600,13787.945988485753,66100611.676071696,942234.6860588925
700,13756.87437237828,65919289.39513998,945436.5125990142
800,13696.438646478853,66023454.99485964,929285.2564542377
900,13709.977445485745,65988769.54013863,918658.1595649789
1000,13624.718521844956,65911085.510429196,916227.7435069425
1100,13622.65065096875,65847362.61625983,913789.9707247313
1200,13559.913559908444,65737046.152155936,901516.8300511399
1300,13550.206712877376,65798302.16153646,889625.7277896267
1400,13503.453962971527,65803303.65242219,879994.7876245903
1500,13449.211129788866,65680557.63239213,877431.7740656162
1600,13382.688636519099,65719360.06295295,868383.7683947413
1700,13366.775731935068,65592788.9928332,867840.4974395895
1800,13352.466927886928,65509133.60498954,845447.8272830365
1900,13247.725020738138,65432065.88712108,840107.699784942
2000,13275.93716876968,65391464.34657002,834429.9014837866
2100,13161.028837871552,65267003.7450193,822243.9399455825
2200,13182.459984332194,65317405.318725005,827629.6846781244
2300,13171.277500990385,65119877.318821855,805562.0547936723
2400,13044.665931889893,65235283.61108588,809557.68214588
2500,13007.555584905542,65028225.71227369,807996.9276478892
2600,12992.345119713838,64997146.467835,795425.5835101795
2700,13002.376428671723,65021685.62463673,777302.6102224807
2800,12918.639391001489,64937140.721310146,783467.5365037312
2900,12938.970054925427,64847736.60556368,782725.382777023
3000,12857.182176913939,64737611.625190616,774485.3697839412
3100,12847.710886682386,64721090.468489766,768833.6153665825
3200,12807.075645644501,64561309.562746815,761890.122451669
3300,12820.599705348099,64483808.8422587,749839.9221360385
3400,12768.308691842763,64450915.95420666,740422.2100272829
3500,12766.145537117289,64303424.08354233,734002.0004273377
3600,12760.763199381745,64185334.710928544,722080.1105734765
3700,12713.899289490295,64198452.56649862,726119.2017514936
3800,12653.415364003868,63973956.29712435,719531.7088314922
3900,12637.139123409053,64003916.32701843,705148.80387643
4000,12612.274810047156,63795096.28514802,698291.5932784416
4100,12537.18306823735,63782946.44213307,705600.6181140749
4200,12516.340460536085,63723353.77273781,695340.3969073584
4300,12533.30031364576,63677275.78690537,685449.1966011762
4400,12479.358396991463,63459869.931579106,681471.7755577145
4500,12514.64027812544,63392006.7102345,671206.1004245828
4600,12417.289825636937,63264741.78789871,661515.250755578
4700,12437.509264786826,63287685.53199568,669600.7245340745
4800,12370.42316837367,63220763.18521364,659381.037696882
4900,12367.495642160258,63155204.2503467,652404.6652952355
5000,12309.421635292318,63011634.49937601,642476.1301658824
