milliseconds,A,T,M
0,14121.704072217373,66186079.44574201,998257.6433037188
100,14089.184928327757,66119085.199529275,982638.9895863996
200,14001.84918314944,66003544.8020535,979012.6086543184
300,13917.403495650002,66163094.63500176,968160.0976591313
400,13944.745087173818,66092541.72335278,964992.3080670199
500,13828.013776505108,66083349.11214052,950161.431621248
600,13850.640595830979,66036510.54204899,957149.5681893236
700,13814.35455895016,66044843.49195773,946898.2036513259
800,13755.993204582566,65940746.051378414,923539.7950013375
900,13661.002257039183,65852697.87903863,925048.5084696908
1000,13637.109634770586,65803536.31025741,914231.2649520375
1100,13570.713686481053,65849519.18386926,905570.6625259741
1200,13544.87786684655,65853271.344835594,899665.8445632261
1300,13461.192378004815,65784285.29867641,897646.5360396245
1400,13443.874489890111,65654342.901230395,877597.9230059622
1500,13378.94124916914,65762217.86190145,864059.7856993407
1600,13392.004279473376,65665749.89266972,857684.7459652645
1700,13334.33817305661,65517422.46544343,862661.6713597401
1800,13325.800226557783,65514219.25248429,860920.5116908867
1900,13257.85343046619,65398305.803517856,833326.7519831607
2000,13184.409814605446,65485276.60576965,826144.3951447335
2100,13191.865215941265,65323548.657765605,831552.7443642305
2200,13122.808000156598,65352953.833332665,819367.2911861548
2300,13124.455595816702,65150197.33838201,823086.3751409015
2400,13143.416244572732,65104054.87590008,810545.7767724332
2500,13020.758490946608,64994457.299253024,792164.1408693363
2600,13064.423806484649,65010777.57007126,788764.1852792858
2700,12980.629418326633,64978990.320149295,792506.4080877246
2800,12986.576157766536,64788705.56624451,773158.5404485808
2900,12887.415931764002,64875970.58056815,766537.9434999905
3000,12905.68243276037,64609810.83788782,773012.6849601464
3100,12869.204309812323,64633011.2062837,757982.3982229304
3200,12833.600133811575,64611555.046674214,748435.3637115038
3300,12777.008316434347,64400377.50672968,742238.834797814
3400,12820.229806999121,64352179.9678784,747498.3705147759
3500,12694.374619091603,64216657.721494116,723761.7275889431
3600,12668.78177725386,64197003.071314745,723083.9041414039
3700,12667.67786954233,64176711.778965406,723076.9823520785
3800,12614.8323579727,64078045.58796739,723911.1399627702
3900,12635.720258834403,63884482.84248082,713427.193177867
4000,12635.968489877276,63963812.811190344,707207.7990998299
4100,12554.828573587301,63713709.87266495,700364.5784219394
4200,12527.423801974079,63744470.75194648,684201.6193493094
4300,12511.490175456072,63578827.91152377,692254.3374945637
4400,12494.393999206372,63458546.869229995,681151.1081941043
4500,12478.626317309689,63344537.20092,675190.5225471037
4600,12394.586194055628,63369761.428358234,661346.8668279827
4700,12473.47397653603,63221556.275424175,656529.0074858172
4800,12430.233007060002,63221682.15207274,662097.1094215545
4900,12407.92098823017,63088734.463283375,651480.3214994771
5000,12366.27442341795,62934769.38654409,637062.5843436356
