milliseconds,Br,Ce,HBrO2
0,-0.0002656485007630536,0.04916679384338704,4.9989302022381495e-11
100,0.005403890924677781,0.045242583951043226,4.978613337358901e-11
200,0.009688819727516201,0.04218117233909443,5.0273078406536114e-11
300,0.012353546954391077,0.03652374441798999,5.038763051827584e-11
400,0.015691958162162376,0.03314188293344765,5.001054916784253e-11
500,0.019227960664404017,0.03063709639612685,5.037233137218709e-11
600,0.021232621655647325,0.026469399302224972,5.032789053343233e-11
700,0.023629168084018916,0.026065179070715403,5.023548190811571e-11
800,0.025336902990864624,0.02270249242622094,5.0111627196298087e-11
900,0.027630107351726805,0.02097817817869034,5.0494072517618786e-11
1000,0.028705292594523257,0.017095994413044338,4.946492515101366e-11
1100,0.02953220763576942,0.016426306229757052,5.0155002702962417e-11
1200,0.03145815580067335,0.015027057617418666,4.940899288346473e-11
1300,0.03199708004309828,0.013150994518011556,4.965609254865025e-11
1400,0.03328438639432823,0.012771668585857397,4.9778200097592426e-11
1500,0.03277592232443987,0.010583367409767558,5.041790605700113e-11
1600,0.033746199683919766,0.009648139715803725,5.055117841721008e-11
1700,0.034121914053310706,0.009561716215344355,5.0172108984477654e-11
1800,0.03466922595220498,0.007566665590373158,5.019784481749439e-11
1900,0.03421129856137234,0.008416522379237132,5.0288489187586974e-11
2000,0.03546443519267988,0.006195490610087265,5.02043006597797e-11
2100,0.03577324952019584,0.007148981763381948,5.0206977468563004e-11
2200,0.03583879475481457,0.005207855096566167,5.0287874682547354e-11
2300,0.03515439968006627,0.004257008535963441,5.022074371741064e-11
2400,0.03511438991393202,0.00501900951549389,5.020118670468861e-11
2500,0.035633620431145735,0.0032189231388866178,5.030618808196293e-11
2600,0.034190629738366736,0.004756462042278895,5.0209812495263e-11
2700,0.035249178806901614,0.0030357491608524524,5.023389123433038e-11
2800,0.033913605709584314,0.004234527417349523,5.028497455278857e-11
2900,0.033753025742697645,0.003493867175054079,5.0250656291280336e-11
3000,0.03314832567985002,0.001253212141636539,5.0246481071991104e-11
3100,0.03285044268422706,0.0017063924530083497,5.0254862619086925e-11
3200,0.03313299395576819,0.0019692305567097566,5.025201699437272e-11
3300,0.03313302011321972,0.0006839174803838831,5.025614764166036e-11
3400,0.03214196356580274,0.0006797503886270346,5.024702879025821e-11
3500,0.032866079909029844,0.0021889387528829856,5.025460150659763e-11
3600,0.03178732031533807,0.0024493808927105263,5.025482219763321e-11
3700,0.0315328585977996,0.0002814283743006658,5.0243121092426394e-11
3800,0.03082470605876215,0.0012489406916567718,5.0264442144826783e-11
3900,0.030260467427127753,-0.00025331236372687404,5.0246805941448045e-11
4000,0.030351757124878035,0.002009644825337006,5.023034580231777e-11
4100,0.03034048679740428,0.000587373892684288,5.025730912865554e-11
4200,0.029184356039132216,0.0007697704675742321,5.025560183383842e-11
4300,0.02884162515201075,0.0006437219280478392,5.022984243490452e-11
4400,0.02910259109266291,0.001646174978036909,5.026024822665097e-11
4500,0.028244859297599154,0.0006622368015504975,5.025918728619427e-11
4600,0.02753429626714991,0.0008756101406295575,5.029024583070906e-11
4700,0.027202577238152212,-0.00012002835383788564,5.023541669286893e-11
4800,0.026915166805262628,0.00034913361616631963,5.014124874473406e-11
4900,0.027212162736227636,0.00012240116658760825,5.024280650800834e-11
5000,0.026010396756991166,-0.00021083260961703447,5.046640823667148e-11
