milliseconds,Fe3__enos,Fe3__Arg,Fe2,Fe2__Arg,Fe3__NO,NO,Fe2__NO,Fe3__NOHA,NOHA,Fe2__NOHA,Fe3__O2__Arg,Fe3__O2__NOHA,Citrulline
0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.005077609082661518,0.008621673408112677,3.724831447556532e-05,0.00019163707503855657,2.097050527233376e-06,2.6429354960614147e-06,4.087907479513051e-08,0.0004251098447152405,2.0263181067079715e-06,1.7438048324486675e-06,0.0006367974703487765,6.043035329932803e-06,4.7846070121893275e-06
200,0.001797669175833867,0.010752712246460216,2.4047523610452738e-05,0.00024171089518008334,1.2181252302011371e-05,3.822316265439284e-05,5.289651595332997e-07,0.0012987873363847786,1.527723438215418e-05,6.953874957465932e-06,0.0008383700900459369,2.7038605413402456e-05,5.1049741079140645e-05
300,0.0007474010571585156,0.010826363023274976,1.9399307630421017e-05,0.0002465418548581548,2.56769378495175e-05,0.00013986161531107382,1.7159016632065983e-06,0.0022035143135725245,4.424282140307536e-05,1.3048118200516716e-05,0.0008638250460676163,5.251440507504378e-05,0.0001678998531593495
400,0.00044235577023138254,0.010318102740198162,1.764757219133034e-05,0.00023759313641829775,3.8783276434741665e-05,0.0003141687902950955,3.4057897167675165e-06,0.003011994121146191,8.859569193561486e-05,1.8724502946909152e-05,0.0008348804105688096,7.65126454977679e-05,0.00035825621513741656
500,0.00038134652784962855,0.009708040195619052,1.689823883042973e-05,0.00022564669321871258,5.026307634580474e-05,0.0005549667893024514,5.316465503554938e-06,0.0036982060761675357,0.0001464619624610444,2.3620217618971587e-05,0.0007933648003759486,9.729767382073e-05,0.0006145994348182974
600,0.0003957486387670827,0.009142218771610875,1.651308331806541e-05,0.00021420553738436173,5.9931380857564046e-05,0.0008527325595537403,7.23441378661034e-06,0.004268733033531434,0.00021572090852432508,2.7717649117110512e-05,0.0007529740360519027,0.00011472342092535426,0.0009270607238842897
700,0.00042954785786505163,0.008656184597061646,1.6273912498453844e-05,0.00020423917893907067,6.794362972487294e-05,0.0011980477677054038,9.031849948171439e-06,0.004738942152528158,0.00029442502189626536,3.110422367042562e-05,0.0007175960262043389,0.00012913653691016695,0.0012862181779240045
800,0.00046477661913823647,0.00825040465074026,1.6103534190262013e-05,0.0001958623492968687,7.453773368196155e-05,0.001582617475427303,1.06460713709017e-05,0.005124997425426426,0.00038090379176766,3.388816004134243e-05,0.0006877947916364611,0.00014098862982761984,0.0016838747249281671
900,0.0004962303581826961,0.007915469696474754,1.597257100538262e-05,0.00018892509999823669,7.99483078070875e-05,0.0019994399199752435,1.2056064094770206e-05,0.0054414249507093,0.0004737621016285279,3.617125761146765e-05,0.000663091790819497,0.0001507098686471433,0.0021131450056520425
