milliseconds,f
0,1.9033710144517793e-07
100,9.514982988793851e-08
200,1.5241343370824283e-07
300,6.023869398542853e-07
400,1.0993596769574366e-06
500,1.1752542194894904e-06
600,1.7164642024624306e-06
700,2.2975301973109295e-06
800,2.202694936359437e-06
900,2.1915046291915436e-06
1000,2.5154089398475475e-06
1100,3.107969390118609e-06
1200,3.4317976718747098e-06
1300,3.915928994381627e-06
1400,3.715588131334477e-06
1500,4.232061030183982e-06
1600,4.064253230124557e-06
1700,5.095701751625138e-06
1800,4.9983577666383365e-06
1900,5.036002963226527e-06
2000,5.733777290880395e-06
2100,5.808743657304157e-06
2200,5.840088291119876e-06
2300,6.493965939664991e-06
2400,6.830022037060043e-06
2500,6.950899404444324e-06
2600,7.224723584393342e-06
2700,7.346077966748972e-06
2800,8.099709486926411e-06
2900,7.705280687605532e-06
3000,8.166032264663173e-06
3100,8.304660500083167e-06
3200,8.855974432608527e-06
3300,9.113174089058813e-06
3400,9.68320912089685e-06
3500,1.0111922821466061e-05
3600,9.787084419983372e-06
3700,1.0307956444801737e-05
3800,1.022232444259546e-05
3900,1.1018375997770427e-05
4000,1.1300449611650753e-05
4100,1.1382999775695405e-05
4200,1.1952641791447396e-05
4300,1.191476638002898e-05
4400,1.2656532644305927e-05
4500,1.2588105362154082e-05
4600,1.24390796990427e-05
4700,1.3035906507169357e-05
4800,1.316334735486839e-05
4900,1.4068686478677017e-05
5000,1.3965667226834734e-05
