milliseconds,f
0,2.7652445175234455e-07
100,5.258563327344104e-07
200,3.8950614810402486e-07
300,1.1648500035272755e-06
400,1.0702107328056193e-06
500,1.6186179058947259e-06
600,1.6724571162623409e-06
700,2.3326380881179625e-06
800,2.4655035694020133e-06
900,2.3556353511205027e-06
1000,2.9882288549724297e-06
1100,3.1644494847726385e-06
1200,2.965436184756732e-06
1300,4.023127676593133e-06
1400,3.509625812277153e-06
1500,3.871879069619287e-06
1600,4.6630959258294306e-06
1700,4.89693477628306e-06
1800,4.725229918012765e-06
1900,5.6671803111246815e-06
2000,5.468468880805467e-06
2100,5.5089509174918625e-06
2200,5.81055818184536e-06
2300,6.079360470207392e-06
2400,6.604543870166903e-06
2500,6.917853256370112e-06
2600,6.990802756214453e-06
2700,7.910704082878743e-06
2800,8.224515682987517e-06
2900,8.406140740154088e-06
3000,8.196904528736243e-06
3100,9.035346894512699e-06
3200,9.069148945837891e-06
3300,8.934331961483566e-06
3400,9.256267133554862e-06
3500,9.86783970760502e-06
3600,1.0370769656765967e-05
3700,9.965328552810126e-06
3800,1.0525801255371192e-05
3900,1.0488374980022273e-05
4000,1.083046329660861e-05
4100,1.149411497796421e-05
4200,1.2030666530790894e-05
4300,1.1795578871969932e-05
4400,1.2158353634466063e-05
4500,1.2386537214183745e-05
4600,1.2679451404987815e-05
4700,1.2894048548812752e-05
4800,1.3006198140187946e-05
4900,1.3717098021825195e-05
5000,1.3612977214416703e-05
