milliseconds,f
0,2.6930739959431454e-07
100,3.327888604163106e-07
200,3.973540727699066e-07
300,6.282166277056973e-07
400,1.0378727466489383e-06
500,1.0555293137908639e-06
600,1.7521499485418364e-06
700,1.7765581302263075e-06
800,2.2803832528217507e-06
900,2.4084307247751586e-06
1000,2.7550386653407722e-06
1100,3.032652744344625e-06
1200,3.0982089296746612e-06
1300,3.3270017294712738e-06
1400,3.812490677783976e-06
1500,4.088213325598893e-06
1600,4.706720572794119e-06
1700,4.400493820699173e-06
1800,5.256583863242123e-06
1900,5.46653197110005e-06
2000,5.242618530125997e-06
2100,5.451368940685966e-06
2200,5.766403215836081e-06
2300,6.1367134645411725e-06
2400,6.544274385066378e-06
2500,6.631354097709537e-06
2600,7.3468912612872605e-06
2700,7.94807173600595e-06
2800,7.407478859023339e-06
2900,8.364496166240402e-06
3000,7.998206265407891e-06
3100,8.525651354023971e-06
3200,8.762573337108684e-06
3300,9.455697482304834e-06
3400,9.429932354298608e-06
3500,9.909763829335771e-06
3600,1.0089909228678839e-05
3700,1.0691807474207849e-05
3800,1.0782794284979449e-05
3900,1.1057736376758808e-05
4000,1.120605870361257e-05
4100,1.1102577303536725e-05
4200,1.1692980267985834e-05
4300,1.2030413312101968e-05
4400,1.1875934672933535e-05
4500,1.2543879738614928e-05
4600,1.3126175152363558e-05
4700,1.3238359196485467e-05
4800,1.360379539927963e-05
4900,1.3676695863605252e-05
5000,1.4075388287457222e-05
