milliseconds,f
0,1.2583768894665622e-07
100,3.13661406184595e-07
200,4.361730334127484e-07
300,1.0963618997413204e-06
400,1.2771868219162707e-06
500,1.4033562540549493e-06
600,1.784369572216133e-06
700,1.754551098393144e-06
800,2.0274536497651557e-06
900,2.830472918683884e-06
1000,2.575477715205501e-06
1100,3.17112245675029e-06
1200,3.0493649397116076e-06
1300,3.82394066003892e-06
1400,3.995711072178181e-06
1500,4.030843135484349e-06
1600,4.3462957681069185e-06
1700,4.830377826235988e-06
1800,5.099083239163628e-06
1900,5.497125565436082e-06
2000,5.4527618136592085e-06
2100,6.065124247912653e-06
2200,5.879341854163483e-06
2300,6.431765893569959e-06
2400,6.770638011891711e-06
2500,7.373691626451591e-06
2600,6.8439977669471325e-06
2700,7.302338375678614e-06
2800,8.058271078538051e-06
2900,8.501043258642923e-06
3000,8.576062650884281e-06
3100,8.76510723034043e-06
3200,9.18805156226936e-06
3300,8.80608429507158e-06
3400,9.142719933973539e-06
3500,9.668493850280407e-06
3600,9.952576456811958e-06
3700,1.0242679527030793e-05
3800,1.0758012154034683e-05
3900,1.0997538719931174e-05
4000,1.1496220135666797e-05
4100,1.138922163681786e-05
4200,1.1581561738831886e-05
4300,1.2401216517212952e-05
4400,1.2593854598310873e-05
4500,1.2488991244320527e-05
4600,1.2963389035964043e-05
4700,1.2744438068051813e-05
4800,1.347156163112901e-05
4900,1.3563045509666265e-05
5000,1.4118098633466389e-05
