milliseconds,R,LR,G,Gt,Gd,RG,Gbg,LRG,LRGt,RGd,RGt,LRGd,LRrgs,LRrgsG,LRrgsGd,LRrgsGt,Rrgs,RrgsG,RrgsGd,RrgsGt,rgs
0,843.8775510204082,0.0,520.9183673469388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.83516483516485
100,661.3039942132727,0.0,379.4318347890283,0.023526196555344076,0.04929623021909531,133.10222845113367,0.09995804737174145,0.0,0.0,0.017292866706499883,0.008252785866020546,0.0,0.0,0.0,0.0,0.0,41.15984667598623,8.284346065092155,0.0010800315738467244,0.0005099364646255617,159.51023439017723
200,547.4068966473334,0.0,290.5798385917966,0.036036082458557675,0.07535106517044107,205.2954130827396,0.1996056772147578,0.0,0.0,0.05323718785770035,0.02545823155208028,0.0,0.0,0.0,0.0,0.0,66.24351276541697,24.843510000841817,0.006488052671623922,0.0030350575176900712,155.02476758751558
300,470.581171682046,0.0,230.31926383138463,0.04284602407316191,0.08927768264602104,246.85083684000148,0.29865565237499875,0.0,0.0,0.09569421482172163,0.04591331732113564,0.0,0.0,0.0,0.0,0.0,82.8293995291362,43.44961102894513,0.01702533835716431,0.007899075168886332,151.23320260800688
400,415.94671621103583,0.0,187.28825769206367,0.0464549201001896,0.09632831478727782,271.5710678529547,0.3968282710501387,0.0,0.0,0.13970499270781528,0.06733341107208272,0.0,0.0,0.0,0.0,0.0,94.44350838866349,61.66221353676845,0.032180685585146286,0.014825946810330016,148.01871714483255
500,375.59163134847876,0.0,155.41752583688,0.04818438484673518,0.09930093991585025,286.4921403006292,0.4938547396332168,0.0,0.0,0.1831143771808843,0.08875638618884546,0.0,0.0,0.0,0.0,0.0,102.93256348529235,78.51484647595542,0.05109412560721,0.023404525905652018,145.2866516003741
600,344.92727728297046,0.0,131.16798118233163,0.048792301725188364,0.0998136866485296,295.4858455122219,0.5894803555738467,0.0,0.0,0.22498222729808243,0.10978574913015186,0.0,0.0,0.0,0.0,0.0,109.34849355909004,93.67506030332295,0.07287314322917549,0.033233247553735246,142.95966296207172
700,321.114154922131,0.0,112.33644501436952,0.04873837974675614,0.09885667529997258,300.8011507778709,0.68346740979704,0.0,0.0,0.26492730245798024,0.13028044711628026,0.0,0.0,0.0,0.0,0.0,114.3290688183408,107.09730415157098,0.09670084668710864,0.043963758499573215,140.9740992504423
800,302.30334990191267,0.0,97.47922936637683,0.048312577777746675,0.0970592829377829,303.79762786123047,0.7755977149605467,0.0,0.0,0.3028311028590807,0.15021617409944243,0.0,0.0,0.0,0.0,0.0,118.28043499622561,118.86591241112548,0.12186903662894842,0.055309540668094556,139.27724665248758
900,287.2400014351128,0.0,85.6102046715971,0.04770257629542593,0.09483101369273084,305.3225044549848,0.8656746869377716,0.0,0.0,0.33869680257442797,0.1696200384783538,0.0,0.0,0.0,0.0,0.0,121.4719204967473,129.1199835408642,0.14778216806081587,0.067042087845319,137.8252094806531
1000,275.04398756752556,0.0,76.03336346940924,0.04703138260031741,0.09244049993297312,305.9147645366212,0.9535249254529355,0.0,0.0,0.37258081736422183,0.1885392777192305,0.0,0.0,0.0,0.0,0.0,124.08803145513085,138.01671442303657,0.1739498728757705,0.07898307496992395,136.58126096181587
1100,265.0805775345156,0.0,68.24378039444646,0.0463796532564478,0.09006281034473622,305.9225310699431,1.0389992623670887,0.0,0.0,0.40455911289267377,0.2070260304192313,0.0,0.0,0.0,0.0,0.0,126.25882899428312,145.71305662809178,0.19997566899526117,0.09099598646800645,135.51454943623273
1200,256.8808680214762,0.0,61.866441478759356,0.04579966936924268,0.08780950580951988,305.57303742246546,1.1219732905315616,0.0,0.0,0.434710905308557,0.22513011474288758,0.0,0.0,0.0,0.0,0.0,128.0783663037179,152.35691516316152,0.225544787018508,0.10297830829244226,134.59906280566724
1300,250.09128600037928,0.0,56.61727559663278,0.04532422799798189,0.08574806616850811,305.01546727077914,1.202347380331982,0.0,0.0,0.4631118003304862,0.2428960460407168,0.0,0.0,0.0,0.0,0.0,129.61624556199547,158.08327710724768,0.2504124697121771,0.11485477009193465,133.81280284527415
1400,244.44074482040435,0.0,52.27766252952986,0.04497257541650819,0.08391515370005496,304.34758755684885,1.280046228067316,0.0,0.0,0.4898314664594771,0.2603621201022288,0.0,0.0,0.0,0.0,0.0,130.92498911011143,163.01307104058054,0.2743932595863628,0.12657165281270186,133.1371159825637
1500,239.718266759179,0.0,48.67698310274153,0.04475446410858953,0.08232587485576312,303.6330691619102,1.355017989181486,0.0,0.0,0.5149335761092216,0.2775605040289197,0.0,0.0,0.0,0.0,0.0,132.04498035443697,167.2532971011904,0.29735146093545645,0.13809210915355108,132.55614872505282
1600,235.75717855295235,0.0,45.68022401401769,0.04467305942170481,0.0809805578253776,302.9130930125703,1.427233077479129,0.0,0.0,0.5384766729449041,0.29451776033605204,0.0,0.0,0.0,0.0,0.0,133.0078827501485,170.89781725098067,0.31919271413975137,0.14939231282126667,132.0563956786333
1700,232.4245968418471,0.0,43.17966486271123,0.04472689795275559,0.07986944479477791,302.21347131757705,1.496682650239723,0.0,0.0,0.5605155216803968,0.3112556136163265,0.0,0.0,0.0,0.0,0.0,133.83884803545385,174.02854852452762,0.33985675298883933,0.16045841921656226,131.62633434126974
1800,229.61378937585582,0.0,41.08880246920182,0.044911310803002154,0.07897614919972148,301.5494863457307,1.5633768706190716,0.0,0.0,0.5811023499690681,0.3277916952803693,0.0,0.0,0.0,0.0,0.0,134.55808422521616,176.71670166949627,0.3593112046675141,0.17128416070935878,131.25612377672945
1900,227.2379879471417,0.0,39.337412653367515,0.04521956817744302,0.0782804343479509,300.92964823578836,1.6273430599123293,0.0,0.0,0.6002878585799077,0.3441402127285624,0.0,0.0,0.0,0.0,0.0,135.18210838060924,179.02396340597898,0.3775461424536437,0.18186884363477482,130.93734318306497
2000,225.22617720143998,0.0,37.86815576073152,0.04564364365003099,0.07776008964894668,300.3579327969748,1.6886237416380991,0.0,0.0,0.618122071015007,0.3603125754324617,0.0,0.0,0.0,0.0,0.0,135.7245659644422,181.00365505570562,0.39456953576081394,0.19221582614078703,130.66277953282403
2100,223.51994617768125,0.0,36.63402058011002,0.046174768502745295,0.07739227913381837,299.83527138669433,1.7472746549711304,0.0,0.0,0.6346549538360464,0.376317937166296,0.0,0.0,0.0,0.0,0.0,136.19682512192279,182.70180073327376,0.4104033889221031,0.2023313274200761,130.42624908164896
2200,222.0709730045468,0.0,35.596275096607954,0.04680385663166458,0.07715453790839531,299.3606603377585,1.8033627916345774,0.0,0.0,0.6499367709554447,0.39216363391878556,0.0,0.0,0.0,0.0,0.0,136.60844415845958,184.15806912904733,0.4250804934147081,0.21222349881553523,130.22244605153537
2300,220.83906932068496,0.0,34.722864831807556,0.047521812537650095,0.07702546107098573,298.9319252334248,1.856964497611439,0.0,0.0,0.6640182580693534,0.40785554934732854,0.0,0.0,0.0,0.0,0.0,136.96752645658722,185.40661279220498,0.43864170995108387,0.22190170664499137,130.0468143946188
2400,219.7906878294016,0.0,33.98718235620471,0.04831974296990198,0.07698514029655674,298.546204150796,1.9081636631991783,0.0,0.0,0.6769506656532557,0.4233984213965532,0.0,0.0,0.0,0.0,0.0,137.28098308192585,186.47681718484918,0.45113370489199245,0.23137598800087303,129.89543914754256
2500,218.8977488758206,0.0,33.367096784189336,0.04918910184826451,0.0770154152936018,298.200274850773,1.9570500399224844,0.0,0.0,0.6887856686718805,0.4387960823794946,0.0,0.0,0.0,0.0,0.0,137.55473609736794,187.39394568016382,0.46260711785771497,0.24065665388148402,129.7649553148162
2600,218.13667097784528,0.0,32.84415084705456,0.05012179266979022,0.07710001032757419,297.8907947566178,2.0037176924694116,0.0,0.0,0.6995751999106271,0.45405165332699743,0.0,0.0,0.0,0.0,0.0,137.7938853440645,188.1797040589061,0.4731150471727629,0.2497539890716159,129.65246931128382
2700,217.4875831775208,0.0,32.402906473345965,0.05111023343998551,0.0772245772562389,297.61445599320683,2.0482635770107906,0.0,0.0,0.7093712406651796,0.46916770536957886,0.0,0.0,0.0,0.0,0.0,138.00284177837958,188.8527413114834,0.48271179128373826,0.2586780290060258,129.55549082979823
2800,216.9336828763875,0.0,32.03041191839701,0.052147392035780026,0.07737665648177036,297.3680886135674,2.0907862804667787,0.0,0.0,0.7182255809246704,0.48414638848518976,0.0,0.0,0.0,0.0,0.0,138.18543676238582,189.42908054261505,0.4914518581984482,0.2674384043508782,129.47187478977085
2900,216.46075701799464,0.0,31.715802337137916,0.053226790554563266,0.0775455760894506,297.14869791789016,2.1313849195176258,0.0,0.0,0.7261895559326169,0.49898952638210886,0.0,0.0,0.0,0.0,0.0,138.34500135764688,189.92248218050014,0.4993892153705665,0.2760442551982797,129.39977377302998
3000,216.05679083487487,0.0,31.44997448470764,0.05434249532228342,0.07772231436735398,296.9534821976601,2.1701582003117075,0.0,0.0,0.7333137831790227,0.513698688526496,0.0,0.0,0.0,0.0,0.0,138.48443213138262,190.3447524723662,0.5065767341762815,0.2845041847502319,129.33759777921895
3100,215.71162014814252,0.0,31.22529927139791,0.05548910308431791,0.07789935995871604,296.77985220775633,2.207203624541816,0.0,0.0,0.739647925439951,0.5282752486623127,0.0,0.0,0.0,0.0,0.0,138.60625125815886,190.7060122513496,0.5130657571519855,0.2928262302544948,129.28397885891624
3200,215.41660030985375,0.0,31.035349056917994,0.05666172753384175,0.07807058319166099,296.62545508282744,2.242616787611035,0.0,0.0,0.7452404877331384,0.542720439947541,0.0,0.0,0.0,0.0,0.0,138.71266472965013,191.01494642768915,0.5189057132090767,0.3010178360057375,129.2377380209551
3300,215.16436730716552,0.0,30.87470066192821,0.057855970247466866,0.07823108531389159,296.48816573890497,2.2764908139916633,0.0,0.0,0.7501386303313196,0.5570353938541643,0.0,0.0,0.0,0.0,0.0,138.80560408218452,191.27901014022066,0.5241438744940341,0.3090858597607475,129.1978585632514
3400,214.9486528582805,0.0,30.73878348485674,0.0590678852039977,0.07837704337622667,296.3660669250372,2.3089159121974827,0.0,0.0,0.7543880046037255,0.5712211676394787,0.0,0.0,0.0,0.0,0.0,138.8867592270171,191.50460103295399,0.5288252141607146,0.3170365972232999,129.16346399705347
3500,214.7641243231599,0.0,30.623749121520596,0.06029394408705471,0.07850556464235624,296.2574325868583,2.3399790321602487,0.0,0.0,0.7580326177135227,0.5852787647473688,0.0,0.0,0.0,0.0,0.0,138.9576079789509,191.69720661450623,0.5329923290275904,0.3248758119523156,129.13379900256774
3600,214.60624156164826,0.0,30.52635566976665,0.061531003825690024,0.07861455508479485,296.1607156664337,2.36976360980819,0.0,0.0,0.7611147280128708,0.5992091509369795,0.0,0.0,0.0,0.0,0.0,139.01944333888983,191.8615324090368,0.5366854058316449,0.3326087661261696,129.1082126902888
3700,214.47113395374805,0.0,30.443868892642126,0.06277627513345538,0.0787026015305321,296.07453622024354,2.3983493904071334,0.0,0.0,0.7636747708060403,0.6130132672390031,0.0,0.0,0.0,0.0,0.0,139.07339748741902,192.00161285175247,0.5399422233323041,0.34024025237575695,129.0861440708278
3800,214.3555104924372,0.0,30.373990681857986,0.06402729147094753,0.07876887166444256,295.9976665373481,2.4258123606298017,0.0,0.0,0.765751327004928,0.6266920384661635,0.0,0.0,0.0,0.0,0.0,139.1204600244171,192.12089777520941,0.5427982038439249,0.3477746281893518,129.06711076748223
3900,214.25653779437198,0.0,30.31476097144605,0.0652818777148731,0.07881299563161354,295.9290189396005,2.4522245639338327,0.0,0.0,0.7673810440189848,0.6402463854800265,0.0,0.0,0.0,0.0,0.0,139.1615017222815,192.22236288006485,0.5452864128058017,0.355215848292487,129.05069455790536
4000,214.17181557336735,0.0,30.26453996947071,0.06653812029049198,0.07883499968602309,295.8676244726816,2.477654218194092,0.0,0.0,0.7685986730371136,0.6536772235804927,0.0,0.0,0.0,0.0,0.0,139.19728118794077,192.30854869469886,0.5474376964821719,0.36256750512775054,129.0365364418187
4100,214.09926853305706,0.0,30.221922569428983,0.06779434214478262,0.078835211913668,295.8126295105441,2.502165648997528,0.0,0.0,0.7694370451133099,0.6669854734583568,0.0,0.0,0.0,0.0,0.0,139.22846726229136,192.38164962607453,0.5492807220003968,0.36983285437696306,129.02432463161168
