milliseconds,X1,Y1,Z1,V1,X2,Y2,Z2,V2
0,4.2923888888434005,3.24953103878181,2.2517635053852394,2.5092452397319627,0.0072949665599690355,0.0193873367554793,-0.005422385719664132,0.00986265523949347
100,4.067857421440158,3.279788220079384,2.2704258530208006,2.525968616246478,0.4422100718684439,0.0023365630731770537,0.0040005345602990225,0.02637861791257798
200,3.9355196468632636,3.2726025011811593,2.2935158841582317,2.4847798640035035,0.7446149618889997,-0.00357800158613549,-0.006444118044835227,0.02010312137078283
300,3.807623106035469,3.28609740112902,2.3214493303166757,2.5260541391508053,0.9383173171491606,0.003419787394253665,0.005166668148614472,0.02528514385827901
400,3.6306658977355033,3.304467357293365,2.335335091055601,2.4803622848898788,1.1055994398653106,0.03978211467569248,0.004067776363663192,0.03981925082439915
500,3.455845879832947,3.3125557805472483,2.358830941463294,2.5232720035292413,1.2402232320176556,0.028243983119277356,0.0054528484371655144,0.059778040869997454
600,3.372663182910265,3.3420003878995184,2.3812230119275233,2.4897950488126734,1.3857568695617792,0.07836853880252781,-0.0013243960660442597,0.11786409577560718
700,3.140916607576915,3.3310928945794718,2.402525451125738,2.4863108676856327,1.5221489441770337,0.08491103169624864,0.011157690907615633,0.11429099003849393
800,2.9798631667938853,3.3444906854996694,2.432667533229581,2.471968432088038,1.66199223691513,0.084071440358432,0.013803896663839575,0.13863132518553214
900,2.8050632637444313,3.357187558875344,2.4522899828190416,2.4265041807523624,1.7594077766944343,0.10296153050998773,0.009356249165042364,0.21445905001182083
1000,2.660244117673045,3.3351670993534257,2.4681390084871255,2.3935393484466507,1.8862681308719318,0.13210264614929676,0.022061561064952384,0.23798375896695256
1100,2.4012999787664637,3.350074298411869,2.4923148322649213,2.4073289545099716,1.9513795940714014,0.15447996238190076,0.013761052594353408,0.24644162715562287
1200,2.337858688022652,3.329802112509403,2.506741720175308,2.333090250381126,2.021556525197033,0.15749090745571567,0.028129454076207344,0.2743385198531208
1300,2.087684207467564,3.3316854438131767,2.5308214468584533,2.3229213238293456,2.0768393943205807,0.1856747783639929,0.025410331514105718,0.31996436757084756
1400,1.8845501364916775,3.3182015140929497,2.540311197283225,2.2811390184600024,2.230747322778742,0.20439729559934575,0.027432841773648638,0.3638897919518586
