milliseconds,S,V,V_e,I,R
0,0.9424,0.0565,0.0565,0.0012,0.0
100,0.9412938010318154,0.057275863908656785,0.05728648575860913,0.0012679099066460608,0.00026242515288185675
200,0.9401804217335906,0.05804049155257426,0.058062487308151146,0.001339410271784241,0.000539676442050925
300,0.9390588198632231,0.05879397665364152,0.05882814462798423,0.0014146701030127878,0.0008325333801225642
400,0.9379279133360462,0.05953640832551235,0.059583595658440874,0.0014938646486827238,0.0011418136897587466
500,0.9367865797248319,0.06026787120463055,0.060328976477569386,0.0015771752157560165,0.0014683738547815147
600,0.9356336551685944,0.06098844528939207,0.061064421226433435,0.0016647892561451672,0.0018131102858684714
700,0.9344679347209518,0.06169820613977624,0.06179006229803482,0.0017569000836791045,0.0021769590555929773
800,0.9332881701941735,0.0623972247527747,0.06250603040727122,0.0018537066481096247,0.002560898404942337
900,0.9320930701582675,0.06308556731932279,0.06321245432548821,0.0019554139292175922,0.0029659485931923133
1000,0.9308812983597593,0.06376329551327814,0.06390946137514462,0.0020622319108977542,0.00339317421606495
1100,0.9296514728473619,0.06443046608362331,0.0645971770882672,0.0021743758601827086,0.0038436852088322097
1200,0.9284021659936765,0.06508713098796577,0.06527572535523166,0.0022920660680181937,0.004318636950339707
1300,0.9271319021912584,0.06573333708926012,0.06594522839631654,0.0024155270684028747,0.004819233651078842
1400,0.925839159313582,0.06636912631126278,0.06660580679565249,0.002544987613885294,0.005346726761270175
1500,0.9245223673676158,0.06699453547402731,0.06725757950920884,0.002680680089917397,0.005902417068439699
1600,0.9231799088428041,0.06760959626509877,0.06790066393008601,0.002822839286257335,0.006487655605839973
1700,0.9218101191611181,0.0682143352804344,0.06853517585788624,0.0029717027457154066,0.007103842812732339
1800,0.9204112866532614,0.06880877392709389,0.06916122956606022,0.0031275091536325825,0.00775243026601234
1900,0.9189816541654215,0.06939292843614833,0.06977893781704071,0.0032904970153561286,0.008434920383074286
2000,0.9175194187587873,0.06996680989002203,0.07038841184358831,0.003460905349873149,0.009152866001317927
2100,0.9160227342055658,0.07053042418924955,0.0709897614154175,0.003638970675842068,0.009907870929342887
2200,0.9144897135982775,0.07108377214862244,0.07158309484504255,0.0038249257653585078,0.010701588487741857
2300,0.9129184279314451,0.07162684947192426,0.0721685189736933,0.004019000690854441,0.011535721905776593
2400,0.9113069132991363,0.07215964691054619,0.07274613924326584,0.004221417796369043,0.012412021993948776
2500,0.9096531719622215,0.07268215035129955,0.0733160596839632,0.004432391802161245,0.013332285884318014
2600,0.9079551733471847,0.07319434083346353,0.07387838292616397,0.004652129040568678,0.014298356778783411
2700,0.9062108643462163,0.07369619491918175,0.07443321025275135,0.004880822150568212,0.015312118584033939
2800,0.904418168204955,0.07418768468907884,0.07498064158208108,0.005118651112036213,0.016375495993930275
2900,0.902574991097041,0.07466877798285158,0.0755207755004711,0.005365779910172955,0.017490451009934807
3000,0.9006792338255949,0.0751394389119668,0.076053709294686,0.005622351680911188,0.018658975581527477
3100,0.8987287881252377,0.07559962772482308,0.07657953893543035,0.005888490580861844,0.019883093569077675
3200,0.8967215516740914,0.07604930145471697,0.07709835912296956,0.006164295428033547,0.021164851443158328
3300,0.8946554394147536,0.07648841448774699,0.07761026330517752,0.00644983587851307,0.022506310218986712
3400,0.8925283772088025,0.07691691827437683,0.07811534366224222,0.006745154934776324,0.023909549582044536
3500,0.8903383275412703,0.07733476256019273,0.07861369116074532,0.007050259541034019,0.025376650357503243
3600,0.8880832983393578,0.07774189593001275,0.07910539556080849,0.007365118470502543,0.02690968726012711
3700,0.88576133493714,0.07813826532474304,0.0795905454029643,0.0076896647623511186,0.028510734975766134
3800,0.8833705591694037,0.0785238180119269,0.0800692280684476,0.008023783232380632,0.030181839586289113
3900,0.8809091664931603,0.07889850171489393,0.08054152976930452,0.008367312874407408,0.03192501891753875
4000,0.8783754311707312,0.07926226475310132,0.08100753555662128,0.008720044813534262,0.03374225926263346
4100,0.8757677436512893,0.07961505817157402,0.08146732936497775,0.009081712718373807,0.03563548545876326
4200,0.8730846018158642,0.0799568353126199,0.08192099399874286,0.009451995925503224,0.03760656694601296
4300,0.8703246323895353,0.08028755303117284,0.08236861115746637,0.009830514018625133,0.03965730056066704
4400,0.8674866203042559,0.08060717352059535,0.08281026146413151,0.010216821481168281,0.04178938469398073
4500,0.8645694959958722,0.08091566359613918,0.0832460244514115,0.010610410955790888,0.044004429452198075
4600,0.8615723721348586,0.08121299695772768,0.08367597859856143,0.011010706287493469,0.04630392461992062
4700,0.8584945619075349,0.08149915550748331,0.08410020134725905,0.011417061636284935,0.048689220948697216
4800,0.8553355650958631,0.08177412845296424,0.08451876908884871,0.011828763638890696,0.05116154281228241
4900,0.8520951150908151,0.08203791548431572,0.08493175720850293,0.012245026323678854,0.05372194310119065
5000,0.848773185047609,0.08229052742598099,0.08533924009182775,0.012664993845341917,0.05637129368106845
