miliseconds,f
0,2.1681776577509257e-08
100,1.2135305678249315e-07
200,5.32619589695528e-07
300,8.617820734658986e-07
400,1.0503414793744357e-06
500,1.2958381094616514e-06
600,1.5629473179177652e-06
700,1.8732814066511566e-06
800,2.140120597218404e-06
900,2.5702062191911882e-06
1000,2.6478919326572997e-06
1100,3.04769924617211e-06
1200,3.189282763241242e-06
1300,3.5582566720127947e-06
1400,3.874112662181833e-06
1500,4.154164274779186e-06
1600,4.276614120194289e-06
1700,4.939332267912289e-06
1800,5.193151924780045e-06
1900,5.374706443127779e-06
2000,5.610941898980133e-06
2100,5.750045026759453e-06
2200,6.301355280855631e-06
2300,6.379812702821636e-06
2400,6.51388184993176e-06
2500,6.8694662260822115e-06
2600,7.320752943583443e-06
2700,7.351762524339543e-06
2800,7.885513920433402e-06
2900,8.246289301190163e-06
3000,8.486685928184379e-06
3100,8.48832307123107e-06
3200,9.022264891337024e-06
3300,9.363663346244604e-06
3400,9.455068559439892e-06
3500,9.897532021849195e-06
3600,1.001767910927836e-05
3700,1.0303959721113883e-05
3800,1.0496589646436482e-05
3900,1.0948012669811954e-05
4000,1.1311050741358005e-05
4100,1.1420430058024505e-05
4200,1.1617156465527828e-05
4300,1.1966792051169648e-05
4400,1.2426557727916999e-05
4500,1.2372433004282764e-05
4600,1.3000465224816291e-05
4700,1.3160973041973867e-05
4800,1.3381727398584613e-05
4900,1.3863041957320311e-05
5000,1.375335593997372e-05
